"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ALLOGRAFT_REJECTION",3.45987496633264e-11,1.72993748316632e-09,0.851339057116899,0.553366809694361,2.17300028577008,191
"HALLMARK_FATTY_ACID_METABOLISM",6.81232000815698e-06,0.000113538666802616,0.610526878385931,-0.486812104092199,-1.89461370074312,147
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.91423541462755e-06,0.000113538666802616,0.610526878385931,0.452567335301542,1.79299088737255,201
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.59326900362547e-05,0.000324158625453184,0.575610261071129,-0.433176583797627,-1.77504323308978,198
"HALLMARK_MYC_TARGETS_V1",4.12479964897706e-05,0.000353028153385608,0.557332238758646,-0.426457609627712,-1.74226949740112,201
"HALLMARK_MYOGENESIS",4.2363378406273e-05,0.000353028153385608,0.557332238758646,-0.439691343417681,-1.78993406392389,191
"HALLMARK_ADIPOGENESIS",0.000196920428756977,0.00140657449112126,0.518848077743792,-0.415834222101939,-1.69957595756327,200
"HALLMARK_MTORC1_SIGNALING",0.000528634949888283,0.00330396843680177,0.477270815362862,-0.401874485890561,-1.64252045135972,200
"HALLMARK_INFLAMMATORY_RESPONSE",0.0008946405456761,0.00497022525375611,0.477270815362862,0.400642144564588,1.57053454213955,188
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00193366558500745,0.00900395736492781,0.45505986738723,0.443811987091539,1.59896532103711,97
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00198087062028412,0.00900395736492781,0.431707695803346,-0.434417915216663,-1.66374734660888,112
"HALLMARK_KRAS_SIGNALING_DN",0.00712214793552247,0.0296756163980103,0.407017918923954,-0.378418940006967,-1.48082527285106,149
"HALLMARK_TGF_BETA_SIGNALING",0.0180114326416279,0.0692747409293382,0.352487857583619,-0.473801896558416,-1.56889648214021,53
"HALLMARK_HYPOXIA",0.0213978568113229,0.0764209171832962,0.352487857583619,-0.33530249722823,-1.36421910722914,188
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0684931506849315,0.214041095890411,0.261663521711573,-0.376692116458611,-1.31312887584192,72
"HALLMARK_PEROXISOME",0.068339040773063,0.214041095890411,0.287805130535564,-0.363126773802284,-1.34159101166426,95
"HALLMARK_MYC_TARGETS_V2",0.0814977973568282,0.239699403990671,0.234392647294686,-0.405434670918616,-1.35753246070069,58
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.113475177304965,0.298618887644644,0.204294756516886,-0.293962892772062,-1.19602388425706,188
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.110344827586207,0.298618887644644,0.204294756516886,-0.429330576128555,-1.30879404888054,38
"HALLMARK_UV_RESPONSE_UP",0.124705882352941,0.311764705882353,0.193813302725311,-0.308440622926913,-1.20623203464509,152
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.186643835616438,0.444390084801044,0.130777137971974,0.288838650599367,1.13682863632371,197
"HALLMARK_PROTEIN_SECRETION",0.223776223776224,0.508582326764145,0.140406238523342,-0.30260950758802,-1.11800678086404,95
"HALLMARK_ANDROGEN_RESPONSE",0.264976958525346,0.552035330261137,0.126875729929857,-0.291156180203585,-1.08792328841597,98
"HALLMARK_XENOBIOTIC_METABOLISM",0.264423076923077,0.552035330261137,0.130105630751129,-0.269036314081234,-1.08027497983052,174
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.306603773584906,0.613207547169811,0.118287526124085,-0.288512512471217,-1.0737008735019,100
"HALLMARK_APICAL_SURFACE",0.369068541300527,0.636325071207806,0.0886261133285098,0.337834922677266,1.05188015772836,40
"HALLMARK_DNA_REPAIR",0.366666666666667,0.636325071207806,0.107140237276725,-0.264564875332337,-1.02782718525555,146
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.360381861575179,0.636325071207806,0.108394255853397,-0.253848637445203,-1.03233329942435,189
"HALLMARK_NOTCH_SIGNALING",0.363431151241535,0.636325071207806,0.104343952581949,-0.360170548545693,-1.0583056262303,32
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.399644760213144,0.66607460035524,0.0847985102819124,0.293995681710466,1.03228472812542,83
"HALLMARK_COMPLEMENT",0.48122866894198,0.751919795221843,0.0728938564822936,0.250578124970871,0.980859124050508,182
"HALLMARK_GLYCOLYSIS",0.481042654028436,0.751919795221843,0.0905428948469474,-0.240790557237698,-0.981528218179514,187
"HALLMARK_BILE_ACID_METABOLISM",0.526806526806527,0.774189261031366,0.0845557442441281,-0.25952182777927,-0.958817076013576,95
"HALLMARK_G2M_CHECKPOINT",0.557416267942584,0.774189261031366,0.0828962134571565,-0.232744150845523,-0.952058460631084,197
"HALLMARK_IL2_STAT5_SIGNALING",0.51118760757315,0.774189261031366,0.0702812841717392,0.248887071467333,0.976668014632456,193
