"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5.32620844140403e-09,2.66310422070201e-07,0.761460801445585,0.622430510776004,2.04812692473421,191
"HALLMARK_MYOGENESIS",1.99040463435158e-08,4.97601158587896e-07,0.73376198835648,-0.644018359605362,-2.14359631487916,191
"HALLMARK_KRAS_SIGNALING_DN",2.14143577174474e-07,3.56905961957457e-06,0.690132458796796,-0.659047406581869,-2.09789507121763,149
"HALLMARK_INFLAMMATORY_RESPONSE",1.34628613346659e-05,0.000168285766683324,0.593325476396405,0.555010118967256,1.82587004646574,188
"HALLMARK_INTERFERON_GAMMA_RESPONSE",9.33592149435101e-05,0.000933592149435101,0.538434096309916,0.511990350160143,1.6944617855904,201
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00133549770702997,0.0111291475585831,0.45505986738723,0.474642489806881,1.57009313778069,197
"HALLMARK_ALLOGRAFT_REJECTION",0.00238479272327205,0.0170342337376575,0.431707695803346,0.471262038917476,1.55070237368132,191
"HALLMARK_ANGIOGENESIS",0.00469238764003172,0.0293274227501983,0.407017918923954,0.661677996816775,1.72728719557644,34
"HALLMARK_COAGULATION",0.00682738517319133,0.0379299176288407,0.407017918923954,0.50334994194338,1.5580011743203,113
"HALLMARK_COMPLEMENT",0.0102690906067569,0.0513454530337847,0.380730400722792,0.436647119065861,1.43012494464394,182
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.013729093893821,0.0624049722446408,0.380730400722792,0.525659860607109,1.55869006109508,83
"HALLMARK_APICAL_SURFACE",0.0189721195801396,0.0790504982505818,0.352487857583619,-0.595049905335822,-1.54817550376713,40
"HALLMARK_IL2_STAT5_SIGNALING",0.0230993396819575,0.0888436141613751,0.352487857583619,0.424105391012637,1.39823731118674,193
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0295144398548111,0.105408713767183,0.352487857583619,0.476020060817585,1.44565404732622,97
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0477001703577513,0.159000567859171,0.271288554688953,0.478060182621059,1.39395868068304,72
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.114058355437666,0.354643465103083,0.216542836735348,-0.372637686213355,-1.23547973387041,189
"HALLMARK_KRAS_SIGNALING_UP",0.120578778135048,0.354643465103083,0.160801401070022,0.366538847831597,1.20595445947386,192
"HALLMARK_MTORC1_SIGNALING",0.130914826498423,0.363652295828952,0.152144922367565,0.361405252212489,1.19590344198431,200
"HALLMARK_UV_RESPONSE_DN",0.140096618357488,0.368675311467074,0.148261500475107,0.383364899087358,1.21941558113048,143
"HALLMARK_FATTY_ACID_METABOLISM",0.216931216931217,0.542328042328042,0.153158808683073,-0.363602981160176,-1.15867178954012,147
"HALLMARK_APICAL_JUNCTION",0.24468085106383,0.556092843326886,0.143758989039275,-0.338219256884362,-1.11478551326834,183
"HALLMARK_PANCREAS_BETA_CELLS",0.24367816091954,0.556092843326886,0.132846300606183,-0.498839487517617,-1.21143331628705,21
"HALLMARK_P53_PATHWAY",0.282747603833866,0.592269326683292,0.0985499803531691,0.329638352673678,1.08810924556461,196
"HALLMARK_PEROXISOME",0.28428927680798,0.592269326683292,0.127505315300183,-0.3716038110591,-1.12620572032307,95
"HALLMARK_APOPTOSIS",0.32695374800638,0.628757207704576,0.0899860794997137,0.330670869086369,1.06643624871945,157
"HALLMARK_XENOBIOTIC_METABOLISM",0.325333333333333,0.628757207704576,0.122679189568808,-0.327224845062291,-1.06719399914198,174
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.387267904509284,0.717162786128303,0.110564716336619,-0.306775537526038,-1.01483995807511,188
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.459691252144082,0.820877235971576,0.0755015292281669,0.366435128114826,1.00085156840917,48
"HALLMARK_HEDGEHOG_SIGNALING",0.510739856801909,0.880585960003292,0.0875697115548511,-0.364915503495819,-0.934088325785528,32
"HALLMARK_SPERMATOGENESIS",0.537897310513447,0.892577513310366,0.0860347242455604,-0.312362665753738,-0.932487574866747,88
