"pathway","pval","padj","log2err","ES","NES","size"
"DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS",5.3525284768894e-16,3.19010697222608e-13,1.02766987054358,0.730924082980317,2.5901970716875,129
"DESCARTES_FETAL_INTESTINE_LYMPHOID_CELLS",1.88829766826034e-14,4.22135377149978e-12,0.97599468306432,0.728636569070562,2.56358050542799,122
"DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS",2.12484250243278e-14,4.22135377149978e-12,0.97599468306432,0.693488832841464,2.48367340103799,144
"DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS",2.35212145795041e-13,2.80372877787688e-11,0.932595211336209,0.731990501037491,2.48582929576065,100
"DESCARTES_MAIN_FETAL_LYMPHOID_CELLS",2.25881311084893e-13,2.80372877787688e-11,0.943632225232838,0.731913148427162,2.51524659360954,110
"DESCARTES_FETAL_HEART_LYMPHOID_CELLS",4.24358401395306e-13,4.14351415891804e-11,0.932595211336209,0.76948591124257,2.55309292935365,83
"DESCARTES_FETAL_LUNG_LYMPHOID_CELLS",4.86654347523931e-13,4.14351415891804e-11,0.921426003494898,0.733302097099849,2.51879871267767,109
"TRAVAGLINI_LUNG_MACROPHAGE_CELL",6.37131870678417e-13,4.74663243655421e-11,0.921426003494898,-0.619047299533343,-2.38137975050895,191
"DESCARTES_FETAL_STOMACH_LYMPHOID_CELLS",6.38804724179558e-12,4.23030684012241e-10,0.887074988399873,0.777098443070622,2.54463013047705,75
"ZHONG_PFC_MAJOR_TYPES_MICROGLIA",1.58715743277824e-11,9.45945829935833e-10,0.863415391606693,-0.473359576523192,-1.96104521993659,421
"FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA",4.82540216794921e-11,2.61449062917975e-09,0.851339057116899,-0.494763449470015,-2.03280982292427,360
"FAN_OVARY_CL13_MONOCYTE_MACROPHAGE",6.33882800209995e-11,3.14828457437631e-09,0.839088935621274,-0.460713708436946,-1.91842361284537,439
"AIZARANI_LIVER_C6_KUPFFER_CELLS_2",7.50995306812184e-11,3.44302463738509e-09,0.839088935621274,-0.559459202043501,-2.18530636447795,211
"DESCARTES_FETAL_PLACENTA_LYMPHOID_CELLS",1.00683112746428e-10,4.28622394263365e-09,0.839088935621274,0.686097456977601,2.39384281254205,115
"DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS",5.74589077521207e-10,2.28303393468426e-08,0.801215574617779,0.693825933526351,2.34096370856288,91
"FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL",2.70072592436027e-09,1.0060204068242e-07,0.774939030136436,-0.52986002197998,-2.06468866289533,223
"DESCARTES_FETAL_LIVER_LYMPHOID_CELLS",5.69337517505213e-08,1.99603035548887e-06,0.719512826338911,0.684543397314246,2.28966438669781,86
"DESCARTES_FETAL_MUSCLE_LYMPHOID_CELLS",6.88673788038781e-08,2.28027543150618e-06,0.704975715167238,0.660831677988411,2.25210490829814,101
"TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL",7.78920260756222e-08,2.44334987058267e-06,0.704975715167238,0.605995075775618,2.15824166741569,135
"DESCARTES_FETAL_ADRENAL_MYELOID_CELLS",9.60167908221148e-08,2.86130036649902e-06,0.704975715167238,-0.57849021762383,-2.1459035037859,141
"AIZARANI_LIVER_C2_KUPFFER_CELLS_1",3.34054684119854e-07,9.38497159114472e-06,0.674962860011025,-0.516477391821698,-1.97996841350932,188
"DESCARTES_FETAL_MUSCLE_VASCULAR_ENDOTHELIAL_CELLS",3.76409898695242e-07,9.38497159114472e-06,0.674962860011025,-0.703188196147986,-2.20555072005783,54
"FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL",3.75035871827871e-07,9.38497159114472e-06,0.674962860011025,0.604862543680781,2.12560184764339,121
"FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL",3.77918319106499e-07,9.38497159114472e-06,0.674962860011025,-0.450586278424094,-1.80234029128631,300
"HAY_BONE_MARROW_NEUTROPHIL",4.03028766227564e-07,9.60820578686513e-06,0.674962860011025,-0.411889364029329,-1.70789311273987,422
"HU_FETAL_RETINA_MICROGLIA",4.32983825503996e-07,9.92532153847621e-06,0.674962860011025,-0.423070497558534,-1.73882885044585,365
"FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL",6.25102219683251e-07,1.37985527011562e-05,0.659444398037935,0.576597850571591,2.08081818657715,152
"DESCARTES_FETAL_CEREBELLUM_MICROGLIA",8.49218057755417e-07,1.8076212943651e-05,0.659444398037935,-0.394631732085819,-1.6584626997152,466
"AIZARANI_LIVER_C1_NK_NKT_CELLS_1",1.14474478060498e-06,2.352647893933e-05,0.643551836150722,0.568413729452294,2.04057990999158,147
"DESCARTES_FETAL_KIDNEY_MYELOID_CELLS",1.35362567795266e-06,2.68920301353261e-05,0.643551836150722,-0.541697960684637,-2.01752433374614,147
"CUI_DEVELOPING_HEART_C9_B_T_CELL",2.02658563326074e-06,3.89627431426903e-05,0.627256739718528,0.553368290599346,1.99286370146044,151
"CUI_DEVELOPING_HEART_C8_MACROPHAGE",2.30844053920682e-06,4.2994705042727e-05,0.627256739718528,-0.448835965441665,-1.77720506370638,268
"DESCARTES_FETAL_CEREBRUM_MICROGLIA",2.56291080182553e-06,4.56072959872276e-05,0.627256739718528,-0.422120590550107,-1.71177667583114,336
"TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL",2.60175849591567e-06,4.56072959872276e-05,0.627256739718528,-0.746258037655086,-2.23746943959076,42
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES",3.5243995150576e-06,6.00154888849808e-05,0.627256739718528,-0.622826661869654,-2.11731315610591,78
