"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.90525039065071e-07,1.45262519532536e-05,0.674962860011025,-0.524823401677708,-2.02762780677508,191
"HALLMARK_MTORC1_SIGNALING",7.09919390331703e-06,0.000177479847582926,0.610526878385931,-0.479118785007682,-1.85928057075741,200
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.34371870132168e-05,0.000223953116886947,0.593325476396405,-0.615470239445839,-2.05664238803052,72
"HALLMARK_ALLOGRAFT_REJECTION",0.00433453705665077,0.0302987487331667,0.407017918923954,0.416853893842933,1.53102935455849,191
"HALLMARK_APICAL_SURFACE",0.00375173360891623,0.0302987487331667,0.431707695803346,0.576060860159575,1.66519810691396,40
"HALLMARK_COAGULATION",0.00437126410993763,0.0302987487331667,0.407017918923954,-0.443083623045698,-1.58950154260209,113
"HALLMARK_HYPOXIA",0.00421382956461515,0.0302987487331667,0.407017918923954,-0.392740826926116,-1.521151764978,188
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00484779979730667,0.0302987487331667,0.407017918923954,-0.474947157082275,-1.63104193560739,83
"HALLMARK_GLYCOLYSIS",0.00981478295461514,0.0545265719700841,0.380730400722792,-0.384014761369039,-1.48291519849751,187
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.022757882136201,0.113789410681005,0.352487857583619,-0.345420247025049,-1.34212708225756,198
"HALLMARK_KRAS_SIGNALING_DN",0.0273902874087014,0.124501306403188,0.352487857583619,-0.374958859209786,-1.402241309494,149
"HALLMARK_ANGIOGENESIS",0.0310474995725235,0.129364581552181,0.352487857583619,-0.534179180583736,-1.56866298236953,34
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0398724082934609,0.142401458190932,0.287857117255149,0.351423565361395,1.29923531285886,201
"HALLMARK_MYC_TARGETS_V1",0.037701002033263,0.142401458190932,0.321775918075361,-0.337943101765605,-1.31390426928843,201
"HALLMARK_IL2_STAT5_SIGNALING",0.0568770984590312,0.185198475085982,0.321775918075361,-0.33021571447721,-1.28005662837372,193
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0592635120275143,0.185198475085982,0.321775918075361,-0.331529424089379,-1.28772765285468,197
"HALLMARK_E2F_TARGETS",0.0673854447439353,0.196874615479267,0.287857117255149,-0.323348150530067,-1.2547930757114,200
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.07557282230424,0.196874615479267,0.287805130535564,-0.323592161610325,-1.24854916479026,189
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.082687338501292,0.196874615479267,0.252961123069611,-0.313656939773781,-1.21484647081074,188
"HALLMARK_INFLAMMATORY_RESPONSE",0.0775193798449612,0.196874615479267,0.261663521711573,-0.31713262429456,-1.22830838584685,188
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0797101449275362,0.196874615479267,0.248911114434702,-0.353825383402165,-1.27039344483189,112
"HALLMARK_ADIPOGENESIS",0.0943396226415094,0.214408233276158,0.241339976815091,-0.307439305795403,-1.1930568072871,200
"HALLMARK_G2M_CHECKPOINT",0.113756613756614,0.236992945326279,0.216542836735348,-0.303204574574074,-1.17770818147897,197
