"pathway","pval","padj","log2err","ES","NES","size"
"HAY_BONE_MARROW_PLASMA_CELL",4.60045684557284e-18,2.67286542727782e-15,1.0959292864312,0.793830081947467,2.30380204786251,108
"DESCARTES_FETAL_CEREBELLUM_MICROGLIA",8.77979576610422e-15,2.55053067005328e-12,0.986546283587582,0.576576263423751,1.77955755357681,466
"GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS",9.83338497390568e-14,1.9043988899464e-11,0.954541630725724,0.614436373008128,1.87567237546364,311
"DESCARTES_FETAL_CEREBRUM_MICROGLIA",1.36761376479599e-11,1.98645899336617e-09,0.875325132024659,0.581509420002804,1.78132883007183,336
"FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL",7.91421392210749e-11,9.1963165774889e-09,0.839088935621274,-0.418981364665091,-1.92030002657767,263
"DESCARTES_MAIN_FETAL_LYMPHOID_CELLS",1.68143833709802e-10,1.62819278975659e-08,0.826657301178302,0.702464904274485,2.04114733579018,110
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS",4.89410133846152e-10,4.06210411092306e-08,0.801215574617779,0.92252513852462,2.17880062405691,22
"DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS",7.30090038945257e-10,5.30227890783993e-08,0.801215574617779,0.729944714005456,2.07556302918608,91
"DESCARTES_FETAL_STOMACH_CILIATED_EPITHELIAL_CELLS",1.6666443187219e-09,1.07591149908603e-07,0.788186810800237,0.578393253252475,1.76401746999356,264
"FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL",1.90583828297249e-09,1.10729204240702e-07,0.774939030136436,-0.514338028272008,-2.1471754210338,132
"DESCARTES_FETAL_LUNG_LYMPHOID_CELLS",2.23019496274768e-09,1.177948430324e-07,0.774939030136436,0.702346669871835,2.03889894403776,109
"DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS",2.51787821603961e-09,1.21907270293251e-07,0.774939030136436,0.67322715993722,1.96595056448327,129
"DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS",4.05515696342472e-09,1.8053242223421e-07,0.761460801445585,0.703990648264478,2.0235980320965,100
"DESCARTES_FETAL_PLACENTA_LYMPHOID_CELLS",4.3501788490171e-09,1.8053242223421e-07,0.761460801445585,0.682090912092209,1.9835573991371,115
"GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL",7.60919276713885e-09,2.94729399847178e-07,0.747739663149885,0.568707215466043,1.73821101024223,295
"DESCARTES_FETAL_HEART_LYMPHOID_CELLS",2.89205203815203e-08,1.05017639635395e-06,0.73376198835648,0.70699211667961,1.99569321196229,83
"BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS",3.66827489681689e-08,1.21684233543763e-06,0.719512826338911,-0.430628837954398,-1.85987536603441,189
"DESCARTES_FETAL_EYE_MICROGLIA",3.76990740755202e-08,1.21684233543763e-06,0.719512826338911,0.644808529673198,1.887977906477,132
"DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS",6.65010864140868e-08,2.03353322139918e-06,0.704975715167238,0.632776870791085,1.86550068849334,144
"DESCARTES_FETAL_PANCREAS_MYELOID_CELLS",1.13956925187326e-07,3.31044867669183e-06,0.704975715167238,0.60868332050406,1.81780129746454,175
"MANNO_MIDBRAIN_NEUROTYPES_BASAL",1.40871645918749e-07,3.89744887041873e-06,0.690132458796796,-0.575370764888997,-2.26692276605649,77
"DESCARTES_FETAL_INTESTINE_LYMPHOID_CELLS",1.99817998704676e-07,5.27701169306441e-06,0.690132458796796,0.648242343453662,1.89208204102207,122
"MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS",2.68637075076866e-07,6.78600611389822e-06,0.674962860011025,-0.525688722474117,-2.12155439289889,100
"DESCARTES_FETAL_MUSCLE_MYELOID_CELLS",3.27405749310254e-07,7.92594751455239e-06,0.674962860011025,0.646207748124121,1.87768131251028,110
"DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS",3.72530231778271e-07,8.65760258652702e-06,0.674962860011025,0.518035518248403,1.59333828769416,374
"HU_FETAL_RETINA_MICROGLIA",9.37329641789499e-07,2.09457123799884e-05,0.659444398037935,0.510082583791542,1.56608508994319,365
"CUI_DEVELOPING_HEART_C8_MACROPHAGE",1.73892861534965e-06,3.68889369760298e-05,0.643551836150722,0.53464990606574,1.63365491875519,268
"DESCARTES_FETAL_INTESTINE_MYELOID_CELLS",1.77778009523035e-06,3.68889369760298e-05,0.643551836150722,0.577146060758946,1.73019694524359,184
"ZHONG_PFC_MAJOR_TYPES_MICROGLIA",7.58742092123883e-06,0.000152010053628957,0.610526878385931,0.490612235986426,1.51336332471369,421
"DESCARTES_FETAL_LIVER_LYMPHOID_CELLS",1.22358642591565e-05,0.00023422727519679,0.593325476396405,0.649168889533331,1.83890871210554,86
"FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA",1.24974966111884e-05,0.00023422727519679,0.593325476396405,0.495161230022768,1.51936324010725,360
"DESCARTES_FETAL_ADRENAL_MYELOID_CELLS",1.3864267154897e-05,0.000251723100531098,0.593325476396405,0.585390674934306,1.72810102798717,141
"DESCARTES_FETAL_THYMUS_ANTIGEN_PRESENTING_CELLS",1.44693092444054e-05,0.000254747535484834,0.593325476396405,0.572164270833237,1.69821959089436,157
"DESCARTES_FETAL_HEART_MYELOID_CELLS",1.73964125013833e-05,0.000297273990097168,0.575610261071129,0.616282178294528,1.78905537173444,109
"DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS",1.97069382084098e-05,0.000327135174259603,0.575610261071129,0.469012364120521,1.45094357039111,491
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES",2.63214093108526e-05,0.000424798300266816,0.575610261071129,0.651288772481033,1.82808620718292,78
"BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS",2.81213354263262e-05,0.000441580969802581,0.575610261071129,-0.442324828289015,-1.80566322584332,117
"DESCARTES_FETAL_KIDNEY_MYELOID_CELLS",4.44628681351146e-05,0.000662382727859015,0.557332238758646,0.572479754080083,1.69020456910466,147
"DESCARTES_FETAL_STOMACH_LYMPHOID_CELLS",4.41074696155792e-05,0.000662382727859015,0.557332238758646,0.648604552296784,1.80799941836735,75
"CUI_DEVELOPING_HEART_C9_B_T_CELL",7.26418767114361e-05,0.00105512325923361,0.538434096309916,0.556173209466761,1.6439518398084,151
"DESCARTES_FETAL_LIVER_MYELOID_CELLS",0.000128044179429596,0.00181447971338038,0.518848077743792,0.547144626592812,1.6245126663487,158
"AIZARANI_LIVER_C6_KUPFFER_CELLS_2",0.000142862981581527,0.00197627124521112,0.518848077743792,0.51791685852298,1.55997307358448,211
"GAO_ESOPHAGUS_25W_C1_CILIATED_EPITHELIAL_CELLS",0.000210352500936975,0.00284220472196238,0.518848077743792,0.459586015990778,1.41657641277448,395
"AIZARANI_LIVER_C2_KUPFFER_CELLS_1",0.00024118972003646,0.00318480062139053,0.518848077743792,0.524647089423689,1.57124081486863,188
"MANNO_MIDBRAIN_NEUROTYPES_HNBML1",0.000261650509389229,0.00337819879900316,0.49849310876659,0.501195758778284,1.52225527654425,237
"DESCARTES_FETAL_SPLEEN_AFP_ALB_POSITIVE_CELLS",0.000267687752671613,0.00338101270222189,0.49849310876659,-0.382628601773639,-1.60537683583516,128
"DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS",0.000419235048700562,0.00501014898291385,0.49849310876659,0.6372923567445,1.72846843587921,57
"FAN_EMBRYONIC_CTX_BRAIN_B_CELL",0.000422542685305988,0.00501014898291385,0.49849310876659,0.580042277134786,1.65537700518567,94
"GAO_LARGE_INTESTINE_24W_C1_DCLK1POS_PROGENITOR",0.000411766524744184,0.00501014898291385,0.49849310876659,0.586224641385833,1.67398981454931,95
"TRAVAGLINI_LUNG_SIGNALING_ALVEOLAR_EPITHELIAL_TYPE_2_CELL",0.000457668709128047,0.0053181104000679,0.49849310876659,-0.485344503790676,-1.83489664894953,59
"HAY_BONE_MARROW_FOLLICULAR_B_CELL",0.000482837234581536,0.00550055751552691,0.49849310876659,0.556071335040394,1.61975013423375,120
"DESCARTES_FETAL_PLACENTA_AFP_ALB_POSITIVE_CELLS",0.000558026330371663,0.00623487111434492,0.477270815362862,-0.391906242826987,-1.59353917271984,102
"CUI_DEVELOPING_HEART_C7_MAST_CELL",0.000648682816915612,0.007111032389207,0.477270815362862,0.538124954645244,1.58877453850254,147
"DESCARTES_FETAL_LIVER_HEPATOBLASTS",0.00073595970818122,0.00791838130469053,0.477270815362862,-0.310818793988049,-1.3929678315779,249
"DESCARTES_MAIN_FETAL_MICROGLIA",0.000829487423873179,0.00876240351400577,0.477270815362862,0.548363048292061,1.60055554240062,122
"DESCARTES_MAIN_FETAL_PDE11A_FAM19A2_POSITIVE_CELLS",0.000852700615390839,0.00884676888467995,0.477270815362862,0.730939234531533,1.8118107547004,29
"MANNO_MIDBRAIN_NEUROTYPES_HNBML5",0.000971289915590892,0.00990034106944401,0.477270815362862,0.452638841423161,1.38791382621558,353
"DESCARTES_FETAL_PLACENTA_MYELOID_CELLS",0.0010465296829507,0.0104833404447303,0.45505986738723,0.548213393310724,1.59859551504455,121
"DESCARTES_FETAL_LUNG_MYELOID_CELLS",0.00109245502162731,0.010757904535008,0.45505986738723,0.531180036975855,1.55891810796135,135
"AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3",0.0011178982049843,0.0108249809515979,0.45505986738723,0.782975708314897,1.8453561916704,21
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS",0.00119507996511149,0.011382646880816,0.45505986738723,0.606831087305886,1.69474956904589,71
"DESCARTES_FETAL_STOMACH_MYELOID_CELLS",0.00142929834532948,0.0133939086876843,0.45505986738723,0.605562261307163,1.67760564465852,67
"DESCARTES_FETAL_LUNG_VISCERAL_NEURONS",0.00146040741451665,0.0134682017116536,0.45505986738723,0.546087314569972,1.58528102544048,109
"FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL",0.00150519080064589,0.0136643102371134,0.45505986738723,0.520224100769165,1.54005831114954,152
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS",0.00162239717217863,0.0145017347236274,0.45505986738723,0.703877729407564,1.77358765093458,31
"BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS",0.00170215567691572,0.0149841280043641,0.45505986738723,-0.414581380035766,-1.6293846023839,78
"DESCARTES_FETAL_LUNG_MESOTHELIAL_CELLS",0.00173583783421116,0.0150525639056222,0.45505986738723,0.595152954382166,1.64752337304805,66
"RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS",0.00186866914099995,0.0159661289841319,0.45505986738723,-0.293380938291371,-1.29426495436816,216
"MANNO_MIDBRAIN_NEUROTYPES_HOMTN",0.00195217256522185,0.0164378588462883,0.45505986738723,0.459097650146855,1.40272282666366,285
"TRAVAGLINI_LUNG_B_CELL",0.00226628715069025,0.0188101833507291,0.431707695803346,0.507513260043029,1.49989529657928,148
"HAY_BONE_MARROW_DENDRITIC_CELL",0.00249826189001044,0.0204435233534658,0.431707695803346,0.497874645407213,1.48481783057303,169
"DESCARTES_FETAL_PANCREAS_ENS_NEURONS",0.00269753218347607,0.0217675860916611,0.431707695803346,0.559206514324757,1.58492592635772,87
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES",0.00318412846006112,0.0253421730862399,0.431707695803346,0.67319081305084,1.74478819632362,37
"MANNO_MIDBRAIN_NEUROTYPES_HDA2",0.00328747226841266,0.0258110998371319,0.431707695803346,0.430845687743426,1.3256886186471,383
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS",0.0038233804328535,0.0296184537531718,0.431707695803346,0.580549347640323,1.60831168788805,67
"AIZARANI_LIVER_C1_NK_NKT_CELLS_1",0.00440845835082375,0.0330974356974531,0.407017918923954,0.501272137321309,1.47996929293471,147
"AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3",0.00442171240251598,0.0330974356974531,0.407017918923954,-0.310032663722786,-1.33680842304354,170
"DESCARTES_MAIN_FETAL_ANTIGEN_PRESENTING_CELLS",0.00444337346712795,0.0330974356974531,0.407017918923954,0.542691543477175,1.5354441379633,85
"MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS",0.00478026531810474,0.0351561284787197,0.407017918923954,-0.286830653043275,-1.29932838229309,240
"AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS",0.00500181247078677,0.0363256630690889,0.407017918923954,0.516382497649522,1.50721109160408,122
"DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS",0.0052199660978694,0.037432121143991,0.407017918923954,-0.300066015326315,-1.30365832300025,193
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_SUSTENTACULAR_CELLS",0.00533134023106426,0.037432121143991,0.407017918923954,-0.488267381937278,-1.71828737253013,41
"HAY_BONE_MARROW_CD8_T_CELL",0.005347445877713,0.037432121143991,0.407017918923954,0.57900101800834,1.57498953624677,59
"BUSSLINGER_GASTRIC_IMMATURE_PIT_CELLS",0.00619769952226628,0.0428674216956751,0.407017918923954,-0.326418415547327,-1.36835898541838,142
"BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS",0.0063805094465752,0.0429479410509526,0.407017918923954,-0.346513638033488,-1.40896723692099,102
"DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS",0.00648528106868182,0.0429479410509526,0.407017918923954,0.556462601112249,1.55476087117849,76
"DESCARTES_FETAL_LUNG_BRONCHIOLAR_AND_ALVEOLAR_EPITHELIAL_CELLS",0.00653032846214449,0.0429479410509526,0.407017918923954,-0.495786498773897,-1.72765850694418,39
"DESCARTES_FETAL_MUSCLE_ERYTHROBLASTS",0.0063805094465752,0.0429479410509526,0.407017918923954,-0.375678288720864,-1.49358285229782,96
