"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_MYC_TARGETS_V1",2.44166542424418e-06,0.000122083271212209,0.627256739718528,-0.386462324987368,-1.726992495401,201
"HALLMARK_ALLOGRAFT_REJECTION",3.25237055887683e-05,0.000813092639719206,0.557332238758646,0.533992724241826,1.61977326335802,191
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00125153157788502,0.020858859631417,0.45505986738723,-0.318125287923934,-1.43449428460078,198
"HALLMARK_INFLAMMATORY_RESPONSE",0.0114904787748939,0.143630984686174,0.380730400722792,0.463868098601638,1.40220271407129,188
"HALLMARK_COAGULATION",0.0476694915254237,0.36368926389293,0.211400189384923,0.457004524033839,1.35040015945057,113
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0509164969450102,0.36368926389293,0.199915231309662,0.42707401622466,1.29782103441755,201
"HALLMARK_KRAS_SIGNALING_DN",0.0426638917793965,0.36368926389293,0.222056046145248,0.445899901278633,1.33997773347625,149
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0788934426229508,0.493084016393443,0.158514105424824,0.416746710568807,1.26412804655754,191
"HALLMARK_COMPLEMENT",0.104446742502585,0.580259680569918,0.136490437780413,0.410086543745505,1.23904928190182,182
"HALLMARK_DNA_REPAIR",0.125408763042893,0.627043815214466,0.249246554383295,-0.26413226850453,-1.12250728904742,146
"HALLMARK_IL2_STAT5_SIGNALING",0.153846153846154,0.654231625835189,0.108820126769161,0.392493340204301,1.19113439484961,193
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.157015590200445,0.654231625835189,0.112843355675562,0.437371500545567,1.25513722042554,83
"HALLMARK_FATTY_ACID_METABOLISM",0.211679209645233,0.709146968139774,0.249246554383295,-0.247528326940103,-1.0612437660387,147
"HALLMARK_KRAS_SIGNALING_UP",0.212744090441932,0.709146968139774,0.0894366833718621,0.380385270371452,1.15338975660864,192
"HALLMARK_PANCREAS_BETA_CELLS",0.20746887966805,0.709146968139774,0.108820126769161,0.533606938123176,1.24847339162543,21
"HALLMARK_UV_RESPONSE_DN",0.239244491080797,0.747639034627492,0.0840745577910723,0.385111936795757,1.15319687558031,143
"HALLMARK_ANGIOGENESIS",0.311855670103093,0.891412380280046,0.0808589150280032,0.446418564975564,1.13204314231263,34
"HALLMARK_BILE_ACID_METABOLISM",0.353579175704989,0.891412380280046,0.0656813601934011,0.371774996399784,1.08079612813382,95
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.328125,0.891412380280046,0.219250346703755,-0.281896883620539,-1.07819302676383,72
"HALLMARK_XENOBIOTIC_METABOLISM",0.356564952112018,0.891412380280046,0.203508959461977,-0.229362254086199,-0.966222379731612,174
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.43695652173913,0.993083003952569,0.0557104226766671,0.351884517632625,1.02350901835209,97
"HALLMARK_PEROXISOME",0.425,0.993083003952569,0.245041785430996,-0.253970517362671,-1.00168098590253,95
"HALLMARK_ADIPOGENESIS",1,1,NA,-0.139546115327243,-0.628389245382406,200
"HALLMARK_ANDROGEN_RESPONSE",0.941368078175896,1,0.0179363489740654,0.229223524264205,0.667708280301256,98
"HALLMARK_APICAL_JUNCTION",0.619195046439629,1,0.0373029764832679,0.312456369778601,0.943906719125599,183
"HALLMARK_APICAL_SURFACE",0.732620320855615,1,0.114750719227023,-0.248220148880736,-0.831030058524823,40
"HALLMARK_APOPTOSIS",0.947970863683663,1,0.0143399359768684,0.229053194570738,0.688669697058149,157
"HALLMARK_E2F_TARGETS",1,1,0.00651414071836222,0.129419143138291,0.393166269588629,200
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.899590163934426,1,0.01707634511757,0.251696947210318,0.763170401473247,189
