"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00015154167017512,0.00757708350875602,0.518848077743792,-0.531100345987821,-1.61884970002319,191
"HALLMARK_COAGULATION",0.00402555487749701,0.100638871937425,0.407017918923954,-0.525367928372211,-1.53403735052107,113
"HALLMARK_APICAL_SURFACE",0.0163880492580371,0.136567077150309,0.352487857583619,0.488256130615852,1.56971257554584,40
"HALLMARK_IL2_STAT5_SIGNALING",0.0137362391069917,0.136567077150309,0.380730400722792,-0.44756782421203,-1.36651586700548,193
"HALLMARK_INFLAMMATORY_RESPONSE",0.0118773604168228,0.136567077150309,0.380730400722792,-0.465481487320705,-1.41889625571168,188
"HALLMARK_KRAS_SIGNALING_DN",0.0103315983445588,0.136567077150309,0.380730400722792,-0.473008505534675,-1.41678149255063,149
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0492554410080183,0.351824578628702,0.216542836735348,-0.495590143838393,-1.40078125140971,83
"HALLMARK_COMPLEMENT",0.0657476139978791,0.37309082429754,0.178219874951973,-0.418511652365854,-1.27164925810058,182
"HALLMARK_KRAS_SIGNALING_UP",0.0671563483735572,0.37309082429754,0.175204047558551,-0.413974866577863,-1.26364843327317,192
"HALLMARK_ALLOGRAFT_REJECTION",0.0851735015772871,0.425867507886435,0.154190966581424,-0.407504183819381,-1.24211560153894,191
"HALLMARK_ANGIOGENESIS",0.104665825977301,0.451053947838514,0.152144922367565,-0.523895387246325,-1.32395763476518,34
"HALLMARK_UV_RESPONSE_DN",0.108252947481243,0.451053947838514,0.136490437780413,-0.417735754468002,-1.25026675990676,143
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.180862250262881,0.682405711186292,0.10027910675413,-0.381525540460743,-1.16297892733411,188
"HALLMARK_HYPOXIA",0.211356466876972,0.682405711186292,0.0911073131586733,-0.372865539565616,-1.13658122263638,188
"HALLMARK_P53_PATHWAY",0.19811320754717,0.682405711186292,0.0946646223153342,-0.374882938578312,-1.14703182801882,196
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.219077568134172,0.682405711186292,0.0888945288620449,-0.371224265006374,-1.13569043881832,197
"HALLMARK_XENOBIOTIC_METABOLISM",0.232017941803339,0.682405711186292,0.249246554383295,0.275707218060893,1.1367297913844,174
"HALLMARK_FATTY_ACID_METABOLISM",0.26568121920874,0.738003386690945,0.203508959461977,0.254418475216367,1.03434231004829,147
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.288837744533947,0.760099327720913,0.0789209638180035,-0.402106823707167,-1.12088520769323,72
"HALLMARK_MTORC1_SIGNALING",0.32952182952183,0.823804573804574,0.0670512579829467,-0.34950424693749,-1.07104483248909,200
"HALLMARK_BILE_ACID_METABOLISM",0.388825541619156,0.925775099093229,0.0635007968065945,-0.369289415431228,-1.05971933660665,95
"HALLMARK_ADIPOGENESIS",0.881496881496882,1,0.0193794652818346,-0.258159749054757,-0.791122475920106,200
"HALLMARK_ANDROGEN_RESPONSE",0.554926387315968,1,0.0466015072985992,-0.333277383429108,-0.960347446781123,98
"HALLMARK_APICAL_JUNCTION",0.678609062170706,1,0.0339723613634993,-0.301545518666149,-0.918308484339798,183
"HALLMARK_APOPTOSIS",0.931914893617021,1,0.0172342687658066,-0.241902993118654,-0.730092220214169,157
"HALLMARK_DNA_REPAIR",1,1,0.165656695205483,0.155583130351,0.630355871871428,146
"HALLMARK_E2F_TARGETS",0.936590436590437,1,0.0151993170205216,-0.241188536149481,-0.739114724819676,200
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.48688352570829,1,0.0490939668192139,-0.329923999027025,-1.00564168703404,189
"HALLMARK_G2M_CHECKPOINT",0.985324947589098,1,0.011622042518008,-0.217411063684033,-0.665128036053997,197
"HALLMARK_GLYCOLYSIS",0.844936708860759,1,0.0227981839377501,-0.268001745808329,-0.816462695412247,187
"HALLMARK_HEDGEHOG_SIGNALING",0.792525773195876,1,0.0361491929398957,-0.315873330566314,-0.78982623912184,32
"HALLMARK_HEME_METABOLISM",0.963636363636364,1,0.193813302725311,0.199055661073299,0.821448241880112,179
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.643665158371041,1,0.03975964750879,-0.312912260020135,-0.901860517750418,97
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.483904465212876,1,0.0488970772260102,-0.327565594791573,-1.00337541293454,201
"HALLMARK_MITOTIC_SPINDLE",1,1,0.00966564348468499,-0.124933956554119,-0.382473933185546,199
"HALLMARK_MYC_TARGETS_V1",0.846153846153846,1,0.248911114434702,0.206793612468283,0.867182722016358,201
"HALLMARK_MYC_TARGETS_V2",1,1,0.0204893625108019,-0.12571814834701,-0.340530970952763,58
"HALLMARK_MYOGENESIS",0.557308096740273,1,0.0430173196927508,-0.31887151091367,-0.9719538947549,191
"HALLMARK_NOTCH_SIGNALING",0.938053097345133,1,0.0880945010398517,0.225568429007468,0.693836729089848,32
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,1,0.211400189384923,0.127809400856757,0.538100052793917,198
"HALLMARK_PANCREAS_BETA_CELLS",0.709090909090909,1,0.0450442767152794,-0.361625390908904,-0.839328432422913,21
"HALLMARK_PEROXISOME",0.688,1,0.149207542435322,0.24207100320908,0.927203434587449,95
