"gene1","module1"
"ENSMUSG00000025934","blue"
"ENSMUSG00000025936","blue"
"ENSMUSG00000028033","blue"
"ENSMUSG00000037138","blue"
"ENSMUSG00000026077","blue"
"ENSMUSG00000026070","blue"
"ENSMUSG00000042807","blue"
"ENSMUSG00000052331","blue"
"ENSMUSG00000026034","blue"
"ENSMUSG00000067336","blue"
"ENSMUSG00000026185","blue"
"ENSMUSG00000026180","blue"
"ENSMUSG00000043230","blue"
"ENSMUSG00000044340","blue"
"ENSMUSG00000042066","blue"
"ENSMUSG00000070643","blue"
"ENSMUSG00000040181","blue"
"ENSMUSG00000040170","blue"
"ENSMUSG00000026691","blue"
"ENSMUSG00000007097","blue"
"ENSMUSG00000073489","blue"
"ENSMUSG00000039377","blue"
"ENSMUSG00000058248","blue"
"ENSMUSG00000009633","blue"
"ENSMUSG00000045319","blue"
"ENSMUSG00000036813","blue"
"ENSMUSG00000078202","blue"
"ENSMUSG00000026961","blue"
"ENSMUSG00000026921","blue"
"ENSMUSG00000026814","blue"
"ENSMUSG00000059013","blue"
"ENSMUSG00000026879","blue"
"ENSMUSG00000035000","blue"
"ENSMUSG00000049044","blue"
"ENSMUSG00000059588","blue"
"ENSMUSG00000027074","blue"
"ENSMUSG00000044338","blue"
"ENSMUSG00000027221","blue"
"ENSMUSG00000027217","blue"
"ENSMUSG00000087006","blue"
"ENSMUSG00000074971","blue"
"ENSMUSG00000041644","blue"
"ENSMUSG00000027314","blue"
"ENSMUSG00000027293","blue"
"ENSMUSG00000027380","blue"
"ENSMUSG00000074793","blue"
"ENSMUSG00000037014","blue"
"ENSMUSG00000074743","blue"
"ENSMUSG00000027442","blue"
"ENSMUSG00000027463","blue"
"ENSMUSG00000027483","blue"
"ENSMUSG00000037754","blue"
"ENSMUSG00000078956","blue"
"ENSMUSG00000074607","blue"
"ENSMUSG00000018209","blue"
"ENSMUSG00000017754","blue"
"ENSMUSG00000017737","blue"
"ENSMUSG00000027513","blue"
"ENSMUSG00000078866","blue"
"ENSMUSG00000058254","blue"
"ENSMUSG00000036782","blue"
"ENSMUSG00000016239","blue"
"ENSMUSG00000031340","blue"
"ENSMUSG00000031200","blue"
"ENSMUSG00000031216","blue"
"ENSMUSG00000031217","blue"
"ENSMUSG00000071719","blue"
"ENSMUSG00000019359","blue"
"ENSMUSG00000049804","blue"
"ENSMUSG00000043384","blue"
"ENSMUSG00000025270","blue"
"ENSMUSG00000040289","blue"
"ENSMUSG00000039304","blue"
"ENSMUSG00000037211","blue"
"ENSMUSG00000044864","blue"
"ENSMUSG00000027796","blue"
"ENSMUSG00000027820","blue"
"ENSMUSG00000041842","blue"
"ENSMUSG00000027954","blue"
"ENSMUSG00000046280","blue"
"ENSMUSG00000027931","blue"
"ENSMUSG00000105746","blue"
"ENSMUSG00000074457","blue"
"ENSMUSG00000056071","blue"
"ENSMUSG00000005968","blue"
"ENSMUSG00000068874","blue"
"ENSMUSG00000015850","blue"
"ENSMUSG00000080727","blue"
"ENSMUSG00000038543","blue"
"ENSMUSG00000057123","blue"
"ENSMUSG00000086564","blue"
"ENSMUSG00000062778","blue"
"ENSMUSG00000047959","blue"
"ENSMUSG00000056145","blue"
"ENSMUSG00000040724","blue"
"ENSMUSG00000050947","blue"
"ENSMUSG00000045092","blue"
"ENSMUSG00000028116","blue"
"ENSMUSG00000027978","blue"
"ENSMUSG00000046561","blue"
"ENSMUSG00000040253","blue"
"ENSMUSG00000040264","blue"
"ENSMUSG00000045573","blue"
"ENSMUSG00000028248","blue"
"ENSMUSG00000028444","blue"
"ENSMUSG00000028475","blue"
"ENSMUSG00000028476","blue"
"ENSMUSG00000028480","blue"
"ENSMUSG00000028347","blue"
"ENSMUSG00000003032","blue"
"ENSMUSG00000059810","blue"
"ENSMUSG00000008305","blue"
"ENSMUSG00000048706","blue"
"ENSMUSG00000038007","blue"
"ENSMUSG00000006386","blue"
"ENSMUSG00000052684","blue"
"ENSMUSG00000035407","blue"
"ENSMUSG00000057722","blue"
"ENSMUSG00000028713","blue"
"ENSMUSG00000046093","blue"
"ENSMUSG00000028859","blue"
"ENSMUSG00000028909","blue"
"ENSMUSG00000028906","blue"
"ENSMUSG00000028862","blue"
"ENSMUSG00000047281","blue"
"ENSMUSG00000028832","blue"
"ENSMUSG00000037266","blue"
"ENSMUSG00000057530","blue"
"ENSMUSG00000060572","blue"
"ENSMUSG00000028977","blue"
"ENSMUSG00000002944","blue"
"ENSMUSG00000042453","blue"
"ENSMUSG00000029168","blue"
"ENSMUSG00000037379","blue"
"ENSMUSG00000054252","blue"
"ENSMUSG00000029096","blue"
"ENSMUSG00000107134","blue"
"ENSMUSG00000051022","blue"
"ENSMUSG00000048373","blue"
"ENSMUSG00000039706","blue"
"ENSMUSG00000029090","blue"
"ENSMUSG00000037999","blue"
"ENSMUSG00000054920","blue"
"ENSMUSG00000029231","blue"
"ENSMUSG00000005672","blue"
"ENSMUSG00000029238","blue"
"ENSMUSG00000037605","blue"
"ENSMUSG00000029273","blue"
"ENSMUSG00000029371","blue"
