"gene1","module1","EntrezID"
"ENSMUSG00000025980","green","15510"
"ENSMUSG00000073676","green","15528"
"ENSMUSG00000026203","green","56812"
"ENSMUSG00000014226","green","12301"
"ENSMUSG00000026831","green","69327"
"ENSMUSG00000026864","green","14828"
"ENSMUSG00000067925","green","66158"
"ENSMUSG00000025757","green","18415"
"ENSMUSG00000028410","green","15502"
"ENSMUSG00000028776","green","94242"
"ENSMUSG00000100801","green","727711"
"ENSMUSG00000029126","green","18196"
"ENSMUSG00000037720","green","67878"
"ENSMUSG00000009013","green","56455"
"ENSMUSG00000041548","green","80888"
"ENSMUSG00000008348","green","22190"
"ENSMUSG00000015944","green","80909"
"ENSMUSG00000029675","green","13717"
"ENSMUSG00000004951","green","15507"
"ENSMUSG00000018143","green","17135"
"ENSMUSG00000029657","green","15505"
"ENSMUSG00000025823","green","12304"
"ENSMUSG00000029817","green","101214"
"ENSMUSG00000030357","green","14228"
"ENSMUSG00000054499","green","67379"
"ENSMUSG00000058145","green","233332"
"ENSMUSG00000039405","green","76453"
"ENSMUSG00000070436","green","12406"
"ENSMUSG00000030847","green","29810"
"ENSMUSG00000037887","green","18218"
"ENSMUSG00000019916","green","18451"
"ENSMUSG00000037846","green","170799"
"ENSMUSG00000020048","green","22027"
"ENSMUSG00000020205","green","21664"
"ENSMUSG00000025408","green","13198"
"ENSMUSG00000071072","green","56351"
"ENSMUSG00000005483","green","81489"
"ENSMUSG00000079003","green","666704"
"ENSMUSG00000003814","green","12317"
"ENSMUSG00000025316","green","53325"
"ENSMUSG00000039960","green","69581"
"ENSMUSG00000001774","green","66917"
"ENSMUSG00000015656","green","15481"
"ENSMUSG00000032115","green","12282"
"ENSMUSG00000032285","green","58233"
"ENSMUSG00000032575","green","74840"
"ENSMUSG00000020482","green","104479"
"ENSMUSG00000020407","green","22271"
"ENSMUSG00000020288","green","268390"
"ENSMUSG00000020363","green","14584"
"ENSMUSG00000018906","green","18452"
"ENSMUSG00000083899","green","544800"
"ENSMUSG00000054517","green","338364"
"ENSMUSG00000058672","green","22151"
"ENSMUSG00000021411","green","66895"
"ENSMUSG00000037933","green","76895"
"ENSMUSG00000056749","green","18030"
"ENSMUSG00000014905","green","27362"
"ENSMUSG00000059970","green","15512"
"ENSMUSG00000021037","green","217737"
"ENSMUSG00000021270","green","15519"
"ENSMUSG00000022206","green","18162"
"ENSMUSG00000068522","green","239435"
"ENSMUSG00000022403","green","70356"
"ENSMUSG00000023272","green","76737"
"ENSMUSG00000008393","green","52502"
"ENSMUSG00000022769","green","64136"
"ENSMUSG00000047714","green","66849"
"ENSMUSG00000089774","green","53881"
"ENSMUSG00000090877","green","15511"
"ENSMUSG00000091971","green","193740"
"ENSMUSG00000023944","green","15516"
"ENSMUSG00000019487","green","106628"
"ENSMUSG00000024966","green","20867"
"ENSMUSG00000071604","green","381217"
