Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR_Ure_RT_vs_PBS,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,FDR_Cluster1
ENSMUSG00000071540,ENSMUSG00000071540,3425401B19Rik,1.68117166067169,1.58314729901113,21.2890196988151,3.94987539549212e-06,0.0010162970439237,,,,,,,
ENSMUSG00000084771,ENSMUSG00000084771,A230072E10Rik,2.06215282835254,-0.846386057548403,12.1255825444981,0.0004973479248463,0.0306206459872394,,,,,,,
ENSMUSG00000074497,ENSMUSG00000074497,A430078G23Rik,1.10168678125978,1.95292768941348,11.8333917947281,0.0005817792346298,0.0342873426085834,ENSMUSG00000074497,ENSMUSG00000074497,1.09941478887666,2.18787721351092,20.6647597114378,5.47137793803583e-06,0.0009069335026326
ENSMUSG00000031972,ENSMUSG00000031972,Acta1,4.24027877048471,4.84483899268794,17.3141768408467,3.16814429539036e-05,0.0039576550368285,,,,,,,
ENSMUSG00000017697,ENSMUSG00000017697,Ada,3.56729460222677,3.73878496160861,16.603239669107,4.60722552539356e-05,0.0050588510084241,,,,,,,
ENSMUSG00000032807,ENSMUSG00000032807,Alox12b,7.16288565711977,-0.491245342622097,15.0164772893654,0.0001065765573841,0.00952149512278,,,,,,,
ENSMUSG00000001998,ENSMUSG00000001998,Ap4e1,1.78972249732477,5.01953823187811,19.2362632755579,1.15498441271351e-05,0.0019520368912517,ENSMUSG00000001998,ENSMUSG00000001998,1.78970546784111,5.08443468128308,41.605959007549,1.11652432137877e-10,9.62388138812429e-08
ENSMUSG00000033508,ENSMUSG00000033508,Asprv1,5.08232715744566,2.51052357959782,19.3636830219744,1.08042299121023e-05,0.0018625411945473,,,,,,,
ENSMUSG00000030730,ENSMUSG00000030730,Atp2a1,2.58676902063666,3.35834948582736,12.6457059998365,0.0003764292870093,0.0249587095336686,,,,,,,
ENSMUSG00000037922,ENSMUSG00000037922,Bank1,1.43238689974001,3.1198063538505,28.4879526609305,9.42833280257576e-08,6.73390759760061e-05,ENSMUSG00000037922,ENSMUSG00000037922,1.43209096667973,3.1728495581419,30.4986585507932,3.34097444482189e-08,1.30897860123374e-05
,,Blk,,,,,,ENSMUSG00000014453,ENSMUSG00000014453,1.06752503583265,2.84065097941706,23.7858943428786,1.07668614980463e-06,0.0002474799004864
ENSMUSG00000022416,ENSMUSG00000022416,Cacna1i,1.52337404991158,1.31757005775897,13.906163308624,0.000192167288866,0.0151526232673859,ENSMUSG00000022416,ENSMUSG00000022416,1.52537459818554,1.53676250055054,20.9654950023435,4.67630192166137e-06,0.0008142905942173
ENSMUSG00000026407,ENSMUSG00000026407,Cacna1s,2.72258216456566,-0.0383852405298923,11.1751417957099,0.00082900559622,0.0422817380865016,,,,,,,
ENSMUSG00000033765,ENSMUSG00000033765,Calm4,10.7422815156971,0.898775027893109,22.9404124676904,1.67101556639098e-06,0.0005435214594153,,,,,,,
ENSMUSG00000032373,ENSMUSG00000032373,Car12,2.3696021245162,-0.147248714512012,12.360737198623,0.0004384575261747,0.0280987706086509,,,,,,,
ENSMUSG00000007122,ENSMUSG00000007122,Casq1,2.26593746035133,1.40041457483612,13.9139209910509,0.0001913757889353,0.0151526232673859,,,,,,,
ENSMUSG00000026940,ENSMUSG00000026940,Ccdc183,1.93219340118306,-0.378295000445272,11.7297695327591,0.0006150820913284,0.0354029182306125,,,,,,,
ENSMUSG00000037944,ENSMUSG00000037944,Ccr7,1.3823463635786,3.96632296110062,36.6058465431727,1.4459738008909402e-09,2.76968248372877e-06,ENSMUSG00000037944,ENSMUSG00000037944,1.38216927592474,4.08491107373125,39.9634303350064,2.58762265764669e-10,2.0276375906896e-07
ENSMUSG00000030724,ENSMUSG00000030724,Cd19,1.45854338833078,3.55280174030437,21.248257588132,4.03476977854101e-06,0.0010228734737098,ENSMUSG00000030724,ENSMUSG00000030724,1.45785840934152,3.67958199219026,30.1979929821432,3.90112960660898e-08,1.43088453804962e-05
ENSMUSG00000030156,ENSMUSG00000030156,Cd69,1.2680583938888,2.38181277099132,26.1129747959879,3.22012888197708e-07,0.0001682175812012,ENSMUSG00000030156,ENSMUSG00000030156,1.26698357329216,2.52297131326988,32.1332342709705,1.43953598985215e-08,6.7070705213679e-06
ENSMUSG00000003379,ENSMUSG00000003379,Cd79a,1.23163786831135,4.64079678524999,29.5072056838513,5.57092006596697e-08,4.57319481034308e-05,ENSMUSG00000003379,ENSMUSG00000003379,1.23136442016434,4.58148637485932,60.5853405235986,7.045675277186071e-15,2.0243399350568398e-11
ENSMUSG00000040592,ENSMUSG00000040592,Cd79b,1.17781171979011,4.34900376287714,24.2088003676669,8.64364174253178e-07,0.0003386539545443,ENSMUSG00000040592,ENSMUSG00000040592,1.17756462282105,4.42252426438975,72.300572684504,1.8479375914626302e-17,7.96414903480609e-14
ENSMUSG00000039518,ENSMUSG00000039518,Cdsn,1.80512936908667,0.906123605840309,11.6916003817959,0.0006278287497803,0.0357199333909663,,,,,,,
ENSMUSG00000074156,ENSMUSG00000074156,Ces1h,4.4578070377509,-0.890210847109196,16.4762780253053,4.9262599541309e-05,0.0053077372093289,,,,,,,
ENSMUSG00000063651,ENSMUSG00000063651,Cnfn,9.68061665739862,-0.135958366346843,17.632759165792,2.67933109886395e-05,0.0034912383581526,,,,,,,
ENSMUSG00000032572,ENSMUSG00000032572,Col6a4,1.66344320354271,1.36579790977385,16.1602511162712,5.82027161188398e-05,0.0059020977833687,,,,,,,
ENSMUSG00000032564,ENSMUSG00000032564,Cpne4,1.49289693077188,0.0515117207144514,10.8451382765365,0.0009905548246784,0.0469125676445905,,,,,,,
ENSMUSG00000027913,ENSMUSG00000027913,Crct1,10.5715808489918,0.726362682681738,19.8779057740167,8.25488616597839e-06,0.0016171134388102,,,,,,,
ENSMUSG00000078925,ENSMUSG00000078925,D030018L15Rik,2.9608782314016,1.76011669138783,11.4393398989491,0.0007190533106939,0.0384760838759729,,,,,,,
ENSMUSG00000059824,ENSMUSG00000059824,Dbp,2.7592146445257,5.2589661531659,29.862909324607,4.63699114688356e-08,3.99685451905629e-05,ENSMUSG00000059824,ENSMUSG00000059824,2.75977777534041,4.78077128453551,43.6419803222381,3.9428958579307695e-11,4.24822385592928e-08
ENSMUSG00000044322,ENSMUSG00000044322,Dsc1,9.37754469109766,-0.392324257565789,17.8121194961835,2.438252174666e-05,0.0032333099414667,,,,,,,
ENSMUSG00000069441,ENSMUSG00000069441,Dsg1a,8.66853083515942,-0.833738155145258,20.6798643426277,5.42838557819884e-06,0.0011907793851346,,,,,,,
ENSMUSG00000035105,ENSMUSG00000035105,Egln3,1.34996009437831,2.39612001200171,10.8838885479671,0.0009700437328521,0.0463229471208796,,,,,,,
ENSMUSG00000033730,ENSMUSG00000033730,Egr3,1.01421474788357,1.92376801241993,13.5796794249487,0.0002286472810899,0.0171376107769977,,,,,,,
ENSMUSG00000032262,ENSMUSG00000032262,Elovl4,3.02986035087151,-0.105069512813746,14.2646627970264,0.0001588186736792,0.0132906559007585,,,,,,,
ENSMUSG00000043681,ENSMUSG00000043681,Fam25c,4.76787051522357,-0.0323255883099589,17.2752199517863,3.2337663050832e-05,0.0039819212380949,,,,,,,
ENSMUSG00000005540,ENSMUSG00000005540,Fcer2a,1.42701541236174,3.69647321231554,36.9400350599506,1.2181870402972502e-09,2.62504079846054e-06,ENSMUSG00000005540,ENSMUSG00000005540,1.42692704311254,3.69656408905388,49.7831412619588,1.7171308030189199e-12,2.96016179132432e-09
ENSMUSG00000042474,ENSMUSG00000042474,Fcmr,1.38559515703613,3.48401552457023,18.5512151954276,1.65399750182878e-05,0.0023526051707782,ENSMUSG00000042474,ENSMUSG00000042474,1.38478804701314,3.66683212649964,23.2255848285896,1.44067857602088e-06,0.0003042335711256
ENSMUSG00000059994,ENSMUSG00000059994,Fcrl1,1.40358243078589,2.27708407134438,18.9599422750162,1.33491826718856e-05,0.0021507155147722,ENSMUSG00000059994,ENSMUSG00000059994,1.403679430199,2.34738413903277,24.8939571288005,6.05719947787766e-07,0.0001522055840597
ENSMUSG00000038421,ENSMUSG00000038421,Fcrla,1.64328650551708,2.461004412839,22.8090347494247,1.78922607566529e-06,0.0005657552798276,ENSMUSG00000038421,ENSMUSG00000038421,1.64038498443456,2.6322964136383,42.5421929132441,6.91738211717892e-11,6.27625001673933e-08
ENSMUSG00000044453,ENSMUSG00000044453,Ffar1,1.7482773300454,0.300024746391892,15.6619364081393,7.57330752109532e-05,0.0071342212216482,ENSMUSG00000044453,ENSMUSG00000044453,1.74338375896418,0.546599720194418,22.5583355951633,2.03858073635409e-06,0.0004039436013104
ENSMUSG00000085174,ENSMUSG00000085174,Gm16206,1.73603887639933,-0.619511585740097,10.9127956134536,0.0009550229174106,0.0459149022352701,,,,,,,
ENSMUSG00000097534,ENSMUSG00000097534,Gm16675,1.02620925603023,1.64919424274903,12.8646063666893,0.0003348553240417,0.0229275087735107,,,,,,,
ENSMUSG00000105646,ENSMUSG00000105646,Gm30211,1.85419071372151,0.575176283912583,20.2437000324039,6.81776039709897e-06,0.0014160406203083,ENSMUSG00000105646,ENSMUSG00000105646,1.85174185189098,0.143546695179703,24.1887253058014,8.7342103677173e-07,0.0002091236840681
ENSMUSG00000103622,ENSMUSG00000103622,Gm38391,1.25166259727912,0.893543106804834,11.7267049376676,0.0006160957984328,0.0354029182306125,,,,,,,
ENSMUSG00000105128,ENSMUSG00000105128,Gm42870,1.88204396920849,-0.0225062926168592,14.5197992952864,0.0001386941805041,0.0120148189834705,,,,,,,
ENSMUSG00000109904,ENSMUSG00000109904,Gm45819,1.29642702219237,3.30434758945832,18.4033880109191,1.78739892361573e-05,0.0024454738130326,ENSMUSG00000109904,ENSMUSG00000109904,1.29498296716749,3.04276743658969,29.7010963772057,5.0406304372815e-08,1.73790856216591e-05
ENSMUSG00000073008,ENSMUSG00000073008,Gpr174,1.22455614272557,2.0791205727305,16.2686417969122,5.49661167574113e-05,0.0056068691525503,,,,,,,
ENSMUSG00000017204,ENSMUSG00000017204,Gsdma,5.32622192578937,-0.883620285678141,11.6948099999753,0.0006267466944663,0.0357199333909663,,,,,,,
ENSMUSG00000000031,ENSMUSG00000000031,H19,3.36728056375508,3.05577041314407,19.5450775297213,9.82535810042084e-06,0.0017484610036278,,,,,,,
ENSMUSG00000041538,ENSMUSG00000041538,H2-Ob,1.21494641409844,4.11617733273882,31.9171848975023,1.60887465430485e-08,1.86125584528948e-05,ENSMUSG00000041538,ENSMUSG00000041538,1.21495325490646,4.20084955757307,28.7879317794027,8.07527305639051e-08,2.67710831190608e-05
ENSMUSG00000104213,ENSMUSG00000104213,Ighd,1.72487609112387,4.62205159475267,31.3441632512016,2.16107407261986e-08,2.32842224611836e-05,ENSMUSG00000104213,ENSMUSG00000104213,1.72431529134255,4.75742269774888,59.3510617539658,1.31908994953016e-14,3.24854166285006e-11
ENSMUSG00000076550,ENSMUSG00000076550,Igkv4-63,1.77930011892948,2.53103831257254,12.1902471672748,0.0004804001763258,0.0298975402154591,,,,,,,
ENSMUSG00000105547,ENSMUSG00000105547,Iglc3,1.30039381718797,2.10943652255776,13.3351614908836,0.0002604755681051,0.0190268572820545,,,,,,,
ENSMUSG00000059832,ENSMUSG00000059832,Kprp,9.36318145931821,-0.434288229186786,17.2168443755183,3.33466503706248e-05,0.0040200203198545,,,,,,,
ENSMUSG00000044041,ENSMUSG00000044041,Krt13,10.2677383353648,5.26534712009075,41.7332876003661,1.04612645860968e-10,4.50854350499308e-07,,,,,,,
ENSMUSG00000059668,ENSMUSG00000059668,Krt4,9.75190236885324,5.51760074285558,42.7917581711671,6.08881510686244e-11,3.49883612090672e-07,,,,,,,
ENSMUSG00000061527,ENSMUSG00000061527,Krt5,3.13690409338225,2.42246611291399,12.0912340290011,0.000506594339939,0.0310789317658715,,,,,,,
ENSMUSG00000074199,ENSMUSG00000074199,Krtdap,11.4246354797388,1.58466048243656,21.1739666554263,4.19423176522934e-06,0.0010312680337401,,,,,,,
ENSMUSG00000068890,ENSMUSG00000068890,Lce1a2,8.76044809984528,-0.945636857910869,15.4697622326649,8.38357431138633e-05,0.0077701310512897,,,,,,,
ENSMUSG00000042092,ENSMUSG00000042092,Lce1c,8.65771668103862,-1.03044746957155,15.952891131574,6.4938520815741e-05,0.0063640050916145,,,,,,,
ENSMUSG00000054325,ENSMUSG00000054325,Lce3a,8.71563625732713,-0.991908411578258,15.9908257371368,6.36501813157001e-05,0.006306123423571,,,,,,,
ENSMUSG00000053522,ENSMUSG00000053522,Lgals7,6.23899359103697,0.688056143296766,19.3162224811426,1.10761297757156e-05,0.0018905089228075,,,,,,,
ENSMUSG00000043165,ENSMUSG00000043165,Lor,7.11563876538589,5.30054523564829,26.8678421078449,2.17853785272166e-07,0.0001211477872357,,,,,,,
ENSMUSG00000057454,ENSMUSG00000057454,Lypd3,6.97847354666941,-0.610165257814136,12.9769754237936,0.0003153449700786,0.0220090361910366,,,,,,,
ENSMUSG00000030484,ENSMUSG00000030484,Lypd5,7.3354915784746,-0.341588395603324,15.0448810817601,0.000104984602477,0.00952149512278,,,,,,,
ENSMUSG00000031757,ENSMUSG00000031757,Mt4,9.22654874068356,-0.544055384006868,16.3093969787136,5.379651413251e-05,0.0055432771398797,,,,,,,
ENSMUSG00000020061,ENSMUSG00000020061,Mybpc1,8.67766505354092,0.981539034362577,15.4911381151356,8.28929690162787e-05,0.0077242805020088,,,,,,,
ENSMUSG00000038670,ENSMUSG00000038670,Mybpc2,1.63974071720459,2.77218780486242,13.0312714620955,0.0003063325014832,0.0219123070251842,,,,,,,
ENSMUSG00000056328,ENSMUSG00000056328,Myh1,7.31417110100904,2.92491016885257,22.9979678088385,1.62172736533495e-06,0.0005376338086732,,,,,,,
ENSMUSG00000033196,ENSMUSG00000033196,Myh2,6.76475300881724,0.486502956296846,20.4488790907865,6.12454152685965e-06,0.0013197621422691,,,,,,,
ENSMUSG00000057003,ENSMUSG00000057003,Myh4,6.49157877516825,-0.338426681970576,11.3588849349244,0.0007508789164383,0.0394646391478062,,,,,,,
ENSMUSG00000055775,ENSMUSG00000055775,Myh8,9.2760595969136,4.32355703703553,25.5480771673152,4.31495847839919e-07,0.0002187810859091,,,,,,,
ENSMUSG00000059741,ENSMUSG00000059741,Myl3,2.58293232140946,2.36063973194691,12.8629339227026,0.0003351547195849,0.0229275087735107,,,,,,,
ENSMUSG00000030672,ENSMUSG00000030672,Mylpf,3.53565992591228,2.05994365927238,18.8591619580961,1.40733505992159e-05,0.0022257843209163,,,,,,,
ENSMUSG00000024471,ENSMUSG00000024471,Myot,9.23361555732553,-0.506894628042843,24.4698124898822,7.54832823472546e-07,0.0003211332207483,,,,,,,
ENSMUSG00000068697,ENSMUSG00000068697,Myoz1,5.12632799824365,-0.093281366425063,20.1678039411544,7.09368949452736e-06,0.0014558108713828,,,,,,,
ENSMUSG00000026950,ENSMUSG00000026950,Neb,3.76252524827615,2.39161560472359,19.539354667997,9.85483611771204e-06,0.0017484610036278,,,,,,,
ENSMUSG00000020889,ENSMUSG00000020889,Nr1d1,1.81005422400361,5.83448074444813,19.9870493415919,7.79684473253255e-06,0.001544940302806,ENSMUSG00000020889,ENSMUSG00000020889,1.81014192632046,5.46574969530782,23.2169861085838,1.44713456884426e-06,0.0003042335711256
ENSMUSG00000021775,ENSMUSG00000021775,Nr1d2,1.96012328351132,6.76350979389965,45.7478417680172,1.3449745636583799e-11,1.15930082514534e-07,ENSMUSG00000021775,ENSMUSG00000021775,1.96012547289717,6.32575101399344,48.1211664884725,4.006777841707399e-12,6.279349383017621e-09
