Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR_Ure_RT_vs_PBS,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,FDR_Cluster1,entrezgene_id
,,Acta1,,,,,,ENSMUSG00000031972,ENSMUSG00000031972,1.29844972013467,2.78457220599974,34.2507398913697,4.84491208183625e-09,5.568095958585e-06,11459.0
ENSMUSG00000022416,ENSMUSG00000022416,Cacna1i,1.35812153237716,1.31757005775897,11.2403875598433,0.0008003644190804,0.105787045044364,,,,,,,,
ENSMUSG00000028195,ENSMUSG00000028195,Cyr61,1.21985613518263,7.83579786623218,34.4206451316696,4.43988732997986e-09,1.27565362802538e-05,,,,,,,,
,,D030018L15Rik,,,,,,ENSMUSG00000078925,ENSMUSG00000078925,1.70433494972284,1.21903912766976,29.275588015387,6.27816675602716e-08,4.50955486279801e-05,402773.0
ENSMUSG00000038418,ENSMUSG00000038418,Egr1,1.70127420915359,6.37153860334927,29.1717360741905,6.62384502874686e-08,0.0001336727941992,,,,,,,,
ENSMUSG00000033730,ENSMUSG00000033730,Egr3,1.66641149413013,1.92376801241993,39.4458330512248,3.37286704706356e-10,1.64445252728987e-06,,,,,,,,
ENSMUSG00000005540,ENSMUSG00000005540,Fcer2a,1.14900941371682,3.69647321231554,25.0916268834376,5.46697282755219e-07,0.0005036872509212,,,,,,,,
ENSMUSG00000042474,ENSMUSG00000042474,Fcmr,1.34169676751859,3.48401552457023,17.4478541606228,2.95297435350983e-05,0.0110166429219473,,,,,,,,
ENSMUSG00000059994,ENSMUSG00000059994,Fcrl1,1.09728966340551,2.27708407134438,12.0842725849463,0.0005084893633918,0.081165260514008,,,,,,,,
ENSMUSG00000038421,ENSMUSG00000038421,Fcrla,1.10830018659681,2.461004412839,10.8374845059894,0.0009946576597433,0.122477881402259,,,,,,,,
ENSMUSG00000021250,ENSMUSG00000021250,Fos,1.04419935781594,5.989945619258,15.3005042105261,9.16920338844033e-05,0.0229385708853188,,,,,,,,
ENSMUSG00000086610,ENSMUSG00000086610,Gm15408,1.42696442980614,-0.252979444143725,13.0810855448095,0.0002982925363135,0.0571362781500996,,,,,,,,
ENSMUSG00000103527,ENSMUSG00000103527,Gm37261,1.15857833573333,0.524859179584932,11.6846060506015,0.0006301932814683,0.0905325164936003,,,,,,,,
ENSMUSG00000058470,ENSMUSG00000058470,Gm8369,1.32757871138853,1.19007092586534,12.8617707524391,0.0003353631057299,0.0621647804266564,,,,,,,,
ENSMUSG00000073008,ENSMUSG00000073008,Gpr174,1.19967596539572,2.0791205727305,16.2473239625213,5.55880532287434e-05,0.0171110056194063,,,,,,,,
,,Hspa1a,,,,,,ENSMUSG00000091971,ENSMUSG00000091971,2.44982776385028,4.77617811550536,218.011870958001,2.45501410772833e-49,4.23219882031287e-45,193740.0
,,Hspa1b,,,,,,ENSMUSG00000090877,ENSMUSG00000090877,2.58335412500922,5.38326389734012,207.229832932263,5.52403530239731e-47,4.76144222890136e-43,15511.0
,,Hsph1,,,,,,ENSMUSG00000029657,ENSMUSG00000029657,1.25339630643081,6.30410973432982,88.1721978273975,5.99972897685675e-21,2.58573319580084e-17,15505.0
ENSMUSG00000104213,ENSMUSG00000104213,Ighd,1.39972485330719,4.62205159475267,21.123458143093,4.30624280786317e-06,0.0023946877343468,,,,,,,,
ENSMUSG00000095170,ENSMUSG00000095170,Ighv8-11,2.24534482753878,3.30482990912078,35.2935344041342,2.8357190195223102e-09,9.77699203550903e-06,,,,,,,,
,,Krt13,,,,,,ENSMUSG00000044041,ENSMUSG00000044041,2.90602896892784,-0.743375794085767,30.6222243914444,3.13482273200968e-08,3.00228939317304e-05,16663.0
,,Mir6236,,,,,,ENSMUSG00000098973,ENSMUSG00000098973,1.1390248932551,3.95561815749536,46.8301810208063,7.74120093745915e-12,1.90643661372655e-08,102465959.0
,,Myh8,,,,,,ENSMUSG00000055775,ENSMUSG00000055775,3.38400380493632,-1.19837886253878,29.4317493950466,5.79209257423659e-08,4.50955486279801e-05,17885.0
ENSMUSG00000023034,ENSMUSG00000023034,Nr4a1,1.17656995788278,6.86403321618702,17.4155724780584,3.00355135060922e-05,0.0110166429219473,,,,,,,,
ENSMUSG00000014030,ENSMUSG00000014030,Pax5,1.18716224026397,3.99468548093286,19.203036307693,1.17526309228044e-05,0.0053316738020585,,,,,,,,
