Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,entrezgene_id
,,A2m,,,,,,6724.0,ENSMUSG00000030111,7.21452616890027,3.13279517082595,11.8328112599505,0.0005819606456499,232345.0
ENSMUSG00000074497,ENSMUSG00000074497,A430078G23Rik,1.1103125244669,1.95292768941348,12.2284674233936,0.0004706584296787,0.26173163449134,,,,,,,
ENSMUSG00000001998,ENSMUSG00000001998,Ap4e1,1.73158756848995,5.01953823187811,18.1556543465658,2.03564109580632e-05,0.0841581722478842,,,,,,,
,,Btnl9,,,,,,11829.0,ENSMUSG00000040283,1.96933953454888,4.00479357484332,18.1917946023062,1.99737520722024e-05,237754.0
,,Cyp26b1,,,,,,6463.0,ENSMUSG00000063415,1.57159209649605,3.2071784373606,26.680894815214,2.39982691800782e-07,232174.0
,,Dkk2,,,,,,3685.0,ENSMUSG00000028031,1.6068828775001,2.27041015436365,17.4367670235616,2.9702477793131e-05,56811.0
,,Exoc3l2,,,,,,7140.0,ENSMUSG00000011263,1.45215076366774,3.54581494867718,23.3104327409378,1.37850250786487e-06,74463.0
ENSMUSG00000042474,ENSMUSG00000042474,Fcmr,1.07552239759681,3.48401552457023,11.3551599636976,0.0007523864074491,0.343450970442818,,,,,,,
,,Fgf23,,,,,,6804.0,ENSMUSG00000000182,4.06809084869525,0.143731556835544,14.6709659392186,0.0001280028877513,64654.0
ENSMUSG00000073902,ENSMUSG00000073902,Gm1966,1.8831564716763,-0.567318620185872,12.9350942507302,0.0003224790001054,0.219777675777963,,,,,,,
,,Gm47283,,,,,,16211.0,ENSMUSG00000096768,1.30016482936229,4.27324269199669,36.3133266681153,1.68011081182498e-09,
ENSMUSG00000073008,ENSMUSG00000073008,Gpr174,1.16097634508755,2.0791205727305,15.5050629425406,8.22845652674186e-05,0.122202445430643,,,,,,,
ENSMUSG00000031551,ENSMUSG00000031551,Ido1,1.5558020359353,-0.162490688440204,12.8237091554449,0.0003422545519951,0.219777675777963,,,,,,,
ENSMUSG00000104213,ENSMUSG00000104213,Ighd,1.08777976153653,4.62205159475267,12.9427703627344,0.0003211593797386,0.219777675777963,,,,,,,
,,Ighg1,,,,,,14117.0,ENSMUSG00000076614,1.5705605689492,4.9780584946158,18.535079349707,1.66805856376543e-05,
,,Ighg3,,,,,,14118.0,ENSMUSG00000076615,1.033916004041,4.64953355045974,26.566535362076,2.54616096676723e-07,
,,Ighv1-53,,,,,,14179.0,ENSMUSG00000093894,1.7412449433451,2.0987446563595,19.6031303143744,9.53129099955482e-06,
,,Ighv1-64,,,,,,14187.0,ENSMUSG00000094088,1.6760474066345,1.68659213326679,15.311544864637,9.11576992812475e-05,
,,Ighv1-74,,,,,,14196.0,ENSMUSG00000094124,2.15653933009203,1.18841406762927,14.3880459094811,0.0001487435796151,
ENSMUSG00000087582,ENSMUSG00000087582,Ighv6-7,6.79735576502666,-0.995921831097101,11.1795539091314,0.000827036544112,0.356432074598679,,,,,,,
,,Igkv12-46,,,,,,6335.0,ENSMUSG00000076564,1.00684113338845,5.66945042012442,14.8238459891187,0.0001180335554347,
,,Igkv14-100,,,,,,6303.0,ENSMUSG00000096515,1.42961266337012,2.74237056756383,14.8365694926691,0.000117239948761,
,,Igkv17-121,,,,,,6294.0,ENSMUSG00000076514,1.24869029873473,3.10291599462467,17.0776238453579,3.58825994844269e-05,
,,Igkv3-2,,,,,,6364.0,ENSMUSG00000095351,1.55148711338691,4.45568025166297,19.1508682598683,1.20782548240832e-05,
ENSMUSG00000076562,ENSMUSG00000076562,Igkv4-50,3.19197041268523,2.89640142249291,14.4265129718574,0.0001457360158935,0.17945308414204,,,,,,,
,,Igkv4-51,,,,,,6332.0,ENSMUSG00000094993,7.34760178612286,-0.741734319807243,14.3304936023486,0.0001533604545107,
,,Igkv4-53,,,,,,6331.0,ENSMUSG00000095753,1.64842106617035,3.77578030275676,33.3649297607564,7.63891309749982e-09,
