"gene1","module1","EntrezID"
"ENSMUSG00000042474","red","69169"
"ENSMUSG00000020423","red","12227"
"ENSMUSG00000041642","red","16565"
"ENSMUSG00000026581","red","20343"
"ENSMUSG00000038421","red","98752"
"ENSMUSG00000015314","red","30925"
"ENSMUSG00000037318","red","215243"
"ENSMUSG00000026616","red","12902"
"ENSMUSG00000027347","red","19419"
"ENSMUSG00000042851","red","78751"
"ENSMUSG00000050600","red","100043757"
"ENSMUSG00000031389","red","171207"
"ENSMUSG00000073008","red","213439"
"ENSMUSG00000059994","red","229499"
"ENSMUSG00000037922","red","242248"
"ENSMUSG00000014030","red","18507"
"ENSMUSG00000029084","red","12494"
"ENSMUSG00000039264","red","83408"
"ENSMUSG00000029804","red","73998"
"ENSMUSG00000030337","red","22317"
"ENSMUSG00000030156","red","12515"
"ENSMUSG00000003379","red","12518"
"ENSMUSG00000008496","red","18987"
"ENSMUSG00000030468","red","243958"
"ENSMUSG00000008193","red","272382"
"ENSMUSG00000030724","red","12478"
"ENSMUSG00000030707","red","12721"
"ENSMUSG00000000486","red","54204"
"ENSMUSG00000044770","red","268297"
"ENSMUSG00000047146","red","52463"
"ENSMUSG00000045193","red","12696"
"ENSMUSG00000005540","red","14128"
"ENSMUSG00000050357","red","234695"
"ENSMUSG00000014453","red","12143"
"ENSMUSG00000034959","red","271221"
"ENSMUSG00000035566","red","219228"
"ENSMUSG00000047880","red","12145"
"ENSMUSG00000032572","red","68553"
"ENSMUSG00000018654","red","22778"
"ENSMUSG00000000861","red","14025"
"ENSMUSG00000001588","red","216859"
"ENSMUSG00000018168","red","22780"
"ENSMUSG00000037944","red","12775"
"ENSMUSG00000040592","red","15985"
"ENSMUSG00000016756","red","12763"
"ENSMUSG00000036006","red","193385"
"ENSMUSG00000021250","red","14281"
"ENSMUSG00000104213","red","380797"
"ENSMUSG00000022416","red","239556"
"ENSMUSG00000068105","red","72049"
"ENSMUSG00000022686","red","108105"
"ENSMUSG00000052013","red","208154"
"ENSMUSG00000035356","red","80859"
"ENSMUSG00000033826","red","13417"
"ENSMUSG00000041538","red","15002"
"ENSMUSG00000045826","red","19265"
"ENSMUSG00000040247","red","108995"
"ENSMUSG00000024673","red","12482"
"ENSMUSG00000056290","red","60361"
"ENSMUSG00000058470","red","666926"
