"Gene_ID","PC1_Loading","Gene.name"
"ENSMUSG00000005204",0.00898900607321075,"Senp3"
"ENSMUSG00000013787",0.00899361252064441,"Ehmt2"
"ENSMUSG00000021546",0.00899855155109316,"Hnrnpk"
"ENSMUSG00000024576",0.00899191381837712,"Csnk1a1"
"ENSMUSG00000025544",0.00898751393472529,"Tm9sf2"
"ENSMUSG00000026926",0.00899993702934186,"Pmpca"
"ENSMUSG00000029148",0.0089827484409763,"Nrbp1"
"ENSMUSG00000031691",0.0089855761805829,"Tnpo2"
"ENSMUSG00000031753",0.00898390389454664,"Cog4"
"ENSMUSG00000034042",0.0089980349095197,"Gpbp1l1"
"ENSMUSG00000034341",0.00900281857114923,"Wbp2"
"ENSMUSG00000036104",0.00898296467825933,"Rab3gap1"
"ENSMUSG00000036940",0.00900679417266296,"Kdm1a"
"ENSMUSG00000037514",0.00899110606527222,"Pank2"
"ENSMUSG00000038102",0.0089844033759864,"Trappc11"
"ENSMUSG00000042211",0.00899146633740681,"Fbxo38"
"ENSMUSG00000044496",0.00898215363935446,"2510039O18Rik"
"ENSMUSG00000046722",0.00899283115063295,"Cdc42se1"
"ENSMUSG00000063362",0.00900947672305596,"Alg11"
"ENSMUSG00000072946",0.00898223990096838,"Ptgr2"
