"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000063362",0.00900947672305596,0.000413592452753865,"Alg11","Positive","Positive"
"ENSMUSG00000036940",0.00900679417266296,0.00133069869378052,"Kdm1a","Positive","Positive"
"ENSMUSG00000034341",0.00900281857114923,-0.000536492375168783,"Wbp2","Positive","Negative"
"ENSMUSG00000026926",0.00899993702934186,0.000685838925007827,"Pmpca","Positive","Positive"
"ENSMUSG00000021546",0.00899855155109316,-0.000175304686396549,"Hnrnpk","Positive","Negative"
"ENSMUSG00000034042",0.0089980349095197,-0.00142068877072037,"Gpbp1l1","Positive","Negative"
"ENSMUSG00000013787",0.00899361252064441,0.000211459616030778,"Ehmt2","Positive","Positive"
"ENSMUSG00000046722",0.00899283115063295,0.000589256412642011,"Cdc42se1","Positive","Positive"
"ENSMUSG00000024576",0.00899191381837712,0.00140771599261298,"Csnk1a1","Positive","Positive"
"ENSMUSG00000042211",0.00899146633740681,-0.000793193244774355,"Fbxo38","Positive","Negative"
"ENSMUSG00000037514",0.00899110606527222,-0.000872902779010563,"Pank2","Positive","Negative"
"ENSMUSG00000005204",0.00898900607321075,0.000718806362892248,"Senp3","Positive","Positive"
"ENSMUSG00000025544",0.00898751393472529,0.001186270453056,"Tm9sf2","Positive","Positive"
"ENSMUSG00000031691",0.0089855761805829,0.00135261828418633,"Tnpo2","Positive","Positive"
"ENSMUSG00000038102",0.0089844033759864,-0.00104739384259253,"Trappc11","Positive","Negative"
"ENSMUSG00000031753",0.00898390389454664,0.00145621832795906,"Cog4","Positive","Positive"
"ENSMUSG00000036104",0.00898296467825933,-0.00158792132818008,"Rab3gap1","Positive","Negative"
"ENSMUSG00000029148",0.0089827484409763,-0.00073151440405118,"Nrbp1","Positive","Negative"
"ENSMUSG00000072946",0.00898223990096838,-0.000400771122718004,"Ptgr2","Positive","Negative"
"ENSMUSG00000044496",0.00898215363935446,0.000817698137403288,"2510039O18Rik","Positive","Positive"
"ENSMUSG00000024236",0.00898204799772444,-0.000113269600860687,"Svil","Positive","Negative"
"ENSMUSG00000038212",0.00898199157635314,-0.000217868794394945,"Mfsd14b","Positive","Negative"
"ENSMUSG00000047213",0.00898172946982818,0.00108544450215998,"Ythdf3","Positive","Positive"
"ENSMUSG00000024908",0.00898151565309598,-0.000109420773018612,"Ppp6r3","Positive","Negative"
"ENSMUSG00000030374",0.00898014506070194,-0.000103903098391587,"Strn4","Positive","Negative"
"ENSMUSG00000044857",0.00897897058399068,0.000213633878053432,"Lemd2","Positive","Positive"
"ENSMUSG00000027942",0.00897896287393694,0.00100886388790506,"4933434E20Rik","Positive","Positive"
"ENSMUSG00000035203",0.00897844524744471,0.000526365240149925,"Epn1","Positive","Positive"
"ENSMUSG00000003464",0.00897737233436224,0.00060085065648099,"Pex19","Positive","Positive"
"ENSMUSG00000033732",0.0089769813999193,0.00204159210777967,"Sf3b3","Positive","Positive"
"ENSMUSG00000020235",0.00897670462070291,-0.00149346024325468,"Fzr1","Positive","Negative"
"ENSMUSG00000025484",0.00897656250241105,-0.0014714399505928,"Bet1l","Positive","Negative"
"ENSMUSG00000010392",0.00897649378186617,0.00128924150420164,"Gosr1","Positive","Positive"
"ENSMUSG00000040818",0.00897639921132612,-0.000165040886594195,"Dennd6a","Positive","Negative"
"ENSMUSG00000038346",0.00897514070100903,-0.000468311104566303,"Zfp384","Positive","Negative"
"ENSMUSG00000020375",0.00897440207590981,-0.0020854764608041,"Rufy1","Positive","Negative"
"ENSMUSG00000019132",0.00897393220518272,0.0025701056670742,"BC005537","Positive","Positive"
"ENSMUSG00000019977",0.0089738136296604,-0.00134353597938969,"Hbs1l","Positive","Negative"
"ENSMUSG00000022771",0.00897339403512703,-0.00173589677716819,"Ppil2","Positive","Negative"
"ENSMUSG00000042572",0.00897296300848414,7.88358533380737e-05,"Ube2q1","Positive","Positive"
"ENSMUSG00000047379",0.00897226494064503,0.00148532578423217,"B4gat1","Positive","Positive"
