"Gene.name.x","Gene_ID","PC1_Loading","PC2_Loading","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","PC1_Direction","PC2_Direction","Gene.name.y","ENTREZID"
"2510039O18Rik","ENSMUSG00000044496",0.00898215363935446,0.000817698137403288,1745,1581,1570,2040,1775,1615,3091,1865,2262,1681,1780,1796,2584,2099,2784,"Positive","Positive","2510039O18Rik","77034"
"4933434E20Rik","ENSMUSG00000027942",0.00897896287393694,0.00100886388790506,1464,1246,1349,1624,1409,1315,2869,1433,2051,1504,1451,1548,2256,1682,2697,"Positive","Positive","4933434E20Rik","99650"
"Alg11","ENSMUSG00000063362",0.00900947672305596,0.000413592452753865,493,439,450,581,540,445,921,497,653,501,494,531,749,592,839,"Positive","Positive","Alg11","207958"
"Aplp2","ENSMUSG00000031996",0.00896406212119171,0.00243619721999568,17543,15392,14258,19211,16953,15374,31499,17360,23358,16803,16657,19012,25831,21651,29094,"Positive","Positive","Aplp2","11804"
"App","ENSMUSG00000022892",0.00896477629474659,0.00228153843375477,36787,32481,32290,42460,38443,33741,69726,38892,50644,37200,38373,43063,55834,46653,60634,"Positive","Positive","App","11820"
"Appbp2","ENSMUSG00000018481",0.00896640572513731,0.000858407879915819,1374,1120,1086,1507,1315,1358,2573,1335,1861,1341,1282,1419,2015,1653,2267,"Positive","Positive","Appbp2","66884"
"Atad1","ENSMUSG00000013662",0.0089578709171238,0.00100747599339618,1493,1293,1292,1632,1384,1394,2646,1449,2030,1513,1365,1559,2132,1738,2348,"Positive","Positive","Atad1","67979"
"Atp6v0e2","ENSMUSG00000039347",0.00895957017390341,-0.00169895724618781,841,662,719,915,768,745,1425,778,1037,780,744,789,1162,852,1241,"Positive","Negative","Atp6v0e2","76252"
"Atrnl1","ENSMUSG00000054843",0.00895833051010262,0.000254659202227125,2946,2469,2269,3224,2703,2498,5239,2541,3827,2758,2716,2993,4247,3378,4501,"Positive","Positive","Atrnl1","226255"
"B4gat1","ENSMUSG00000047379",0.00897226494064503,0.00148532578423217,702,626,631,824,743,673,1376,770,955,732,759,798,1151,841,1205,"Positive","Positive","B4gat1","108902"
"BC005537","ENSMUSG00000019132",0.00897393220518272,0.0025701056670742,5522,4668,4627,5885,5295,5068,9923,5543,7368,5628,5312,5828,8081,6618,9306,"Positive","Positive","BC005537","79555"
"Bet1l","ENSMUSG00000025484",0.00897656250241105,-0.0014714399505928,531,414,450,590,506,477,956,505,633,461,500,501,736,576,852,"Positive","Negative","Bet1l","54399"
"Brap","ENSMUSG00000029458",0.00895947443334937,-0.00061588353124583,1589,1300,1322,1625,1455,1404,2755,1405,1987,1405,1372,1557,2138,1797,2356,"Positive","Negative","Brap","72399"
"Cbx6","ENSMUSG00000089715",0.00897048364659782,0.000338705603450809,2784,2426,2438,3077,2690,2410,4524,2662,3595,2546,2654,2870,3847,2999,4235,"Positive","Positive","Cbx6","494448"
"Cdc23","ENSMUSG00000024370",0.00896310250530946,-0.00190513152232226,932,793,732,1000,863,752,1620,808,1114,863,853,883,1264,953,1370,"Positive","Negative","Cdc23","52563"
"Cdc42se1","ENSMUSG00000046722",0.00899283115063295,0.000589256412642011,2539,2212,2406,2762,2628,2414,4672,2569,3376,2462,2532,2648,3744,3088,4135,"Positive","Positive","Cdc42se1","57912"
"Cdk9","ENSMUSG00000009555",0.00896876671928477,-0.00152885344209979,1276,1122,1259,1503,1346,1224,2335,1260,1625,1224,1336,1360,1810,1481,2023,"Positive","Negative","Cdk9","107951"
"Clptm1","ENSMUSG00000002981",0.00896475343526319,0.000706060670167983,2853,2512,2610,3144,2806,2574,4995,2933,3612,2796,2757,2935,4204,3355,4269,"Positive","Positive","Clptm1","56457"
"Cnot7","ENSMUSG00000031601",0.00896487454741729,0.000861889536069086,1157,920,898,1168,1053,977,1960,1083,1494,1012,1025,1126,1582,1234,1830,"Positive","Positive","Cnot7","18983"
"Cog4","ENSMUSG00000031753",0.00898390389454664,0.00145621832795906,971,831,824,1055,891,819,1681,956,1239,892,937,974,1387,1109,1580,"Positive","Positive","Cog4","102339"
"Copg1","ENSMUSG00000030058",0.00896263254937048,0.00168395296448578,2774,2367,2395,2932,2837,2363,4789,2802,3482,2701,2730,2964,4011,3188,4170,"Positive","Positive","Copg1","54161"
"Csnk1a1","ENSMUSG00000024576",0.00899191381837712,0.00140771599261298,5812,5065,4942,6821,5688,5470,10636,5789,8000,5985,5973,6326,8728,6938,9488,"Positive","Positive","Csnk1a1","93687"
"Ddx6","ENSMUSG00000032097",0.00896413381111552,-0.00102314134830798,7931,6721,6283,8403,7699,7031,13546,6951,9813,7250,6772,7915,10605,8383,12535,"Positive","Negative","Ddx6","13209"
"Dennd6a","ENSMUSG00000040818",0.00897639921132612,-0.000165040886594195,1471,1268,1195,1793,1416,1334,2714,1387,1983,1486,1413,1528,2208,1694,2391,"Positive","Negative","Dennd6a","211922"
"Eftud2","ENSMUSG00000020929",0.00896225601545693,-0.00182768873534257,1430,1294,1258,1546,1429,1230,2596,1366,1758,1376,1296,1401,2014,1583,2151,"Positive","Negative","Eftud2","20624"
"Ehbp1l1","ENSMUSG00000024937",0.00895901666638974,0.000661680909030844,1455,1335,1187,1551,1378,1370,2663,1430,1862,1350,1410,1622,2073,1656,2345,"Positive","Positive","Ehbp1l1","114601"
"Ehmt2","ENSMUSG00000013787",0.00899361252064441,0.000211459616030778,2629,2302,2261,2959,2739,2291,4521,2656,3247,2508,2557,2827,3615,2984,3978,"Positive","Positive","Ehmt2","110147"
"Eif3c","ENSMUSG00000030738",0.00896107350815913,0.00192665149298735,4009,3336,3518,4105,3960,3669,6942,3982,5044,3994,3931,4196,5734,4718,6024,"Positive","Positive","Eif3c","56347"
"Epn1","ENSMUSG00000035203",0.00897844524744471,0.000526365240149925,2674,2281,2288,3108,2630,2436,4637,2712,3299,2608,2744,2790,3838,3079,4023,"Positive","Positive","Epn1","13854"
"Fbxl17","ENSMUSG00000023965",0.00895816749287159,0.00155938729893449,845,721,691,1006,858,762,1504,855,1141,842,852,919,1268,1010,1339,"Positive","Positive","Fbxl17","50758"
"Fbxl3","ENSMUSG00000022124",0.00896078328789254,-0.00169261137244655,2527,2137,2079,2855,2367,2284,4533,2351,3152,2158,2389,2351,3456,2880,3952,"Positive","Negative","Fbxl3","50789"
