"gene1","module1","EntrezID"
"ENSMUSG00000025938","turquoise","240726"
"ENSMUSG00000067780","turquoise","94227"
"ENSMUSG00000025776","turquoise","83691"
"ENSMUSG00000026158","turquoise","70155"
"ENSMUSG00000037447","turquoise","214855"
"ENSMUSG00000048234","turquoise","67702"
"ENSMUSG00000050967","turquoise","263764"
"ENSMUSG00000070942","turquoise","107527"
"ENSMUSG00000026069","turquoise","17082"
"ENSMUSG00000026065","turquoise","110895"
"ENSMUSG00000046828","turquoise","403183"
"ENSMUSG00000026043","turquoise","12825"
"ENSMUSG00000026042","turquoise","12832"
"ENSMUSG00000025993","turquoise","53945"
"ENSMUSG00000026107","turquoise","109019"
"ENSMUSG00000026094","turquoise","98267"
"ENSMUSG00000025981","turquoise","67876"
"ENSMUSG00000025969","turquoise","18187"
"ENSMUSG00000025964","turquoise","23792"
"ENSMUSG00000026193","turquoise","14268"
"ENSMUSG00000039395","turquoise","381269"
"ENSMUSG00000039323","turquoise","16008"
"ENSMUSG00000061815","turquoise","435626"
"ENSMUSG00000048480","turquoise","227288"
"ENSMUSG00000026177","turquoise","18173"
"ENSMUSG00000047330","turquoise","57814"
"ENSMUSG00000026249","turquoise","20720"
"ENSMUSG00000079465","turquoise","12828"
"ENSMUSG00000079445","turquoise","227327"
"ENSMUSG00000090124","turquoise","394432"
"ENSMUSG00000044337","turquoise","12778"
"ENSMUSG00000048126","turquoise","12835"
"ENSMUSG00000026303","turquoise","171531"
"ENSMUSG00000067071","turquoise","55927"
"ENSMUSG00000014602","turquoise","16560"
"ENSMUSG00000026285","turquoise","18566"
"ENSMUSG00000040710","turquoise","20452"
"ENSMUSG00000047496","turquoise","320311"
"ENSMUSG00000026321","turquoise","21934"
"ENSMUSG00000037035","turquoise","16324"
"ENSMUSG00000026384","turquoise","19258"
"ENSMUSG00000050777","turquoise","170706"
"ENSMUSG00000026389","turquoise","68428"
"ENSMUSG00000026390","turquoise","17167"
"ENSMUSG00000036086","turquoise","226409"
"ENSMUSG00000026405","turquoise","12269"
"ENSMUSG00000042510","turquoise","212439"
"ENSMUSG00000052688","turquoise","226421"
"ENSMUSG00000042115","turquoise","213417"
"ENSMUSG00000041757","turquoise","240753"
"ENSMUSG00000051998","turquoise","240754"
"ENSMUSG00000041559","turquoise","14264"
"ENSMUSG00000064246","turquoise","12654"
"ENSMUSG00000042429","turquoise","11539"
"ENSMUSG00000073557","turquoise","329251"
"ENSMUSG00000097993","turquoise","13924"
"ENSMUSG00000031506","turquoise","320139"
"ENSMUSG00000041801","turquoise","27280"
"ENSMUSG00000026398","turquoise","26424"
"ENSMUSG00000033849","turquoise","26878"
"ENSMUSG00000026360","turquoise","19735"
"ENSMUSG00000026358","turquoise","50778"
"ENSMUSG00000026480","turquoise","17970"
"ENSMUSG00000026478","turquoise","226519"
"ENSMUSG00000026475","turquoise","19734"
"ENSMUSG00000026471","turquoise","15064"
"ENSMUSG00000026600","turquoise","20652"
"ENSMUSG00000073530","turquoise","23850"
"ENSMUSG00000040265","turquoise","103967"
"ENSMUSG00000026586","turquoise","18933"
"ENSMUSG00000026582","turquoise","20339"
"ENSMUSG00000026580","turquoise","20344"
"ENSMUSG00000026574","turquoise","56429"
"ENSMUSG00000040713","turquoise","433375"
"ENSMUSG00000040612","turquoise","100039795"
"ENSMUSG00000026678","turquoise","19737"
"ENSMUSG00000026675","turquoise","15490"
"ENSMUSG00000026656","turquoise","14130"
"ENSMUSG00000059089","turquoise","246256"
"ENSMUSG00000059498","turquoise","14131"
"ENSMUSG00000038370","turquoise","66425"
"ENSMUSG00000058715","turquoise","14127"
"ENSMUSG00000006403","turquoise","240913"
"ENSMUSG00000038209","turquoise","16429"
"ENSMUSG00000004707","turquoise","17085"
"ENSMUSG00000038179","turquoise","75345"
"ENSMUSG00000038147","turquoise","12523"
"ENSMUSG00000044708","turquoise","16513"
"ENSMUSG00000005339","turquoise","14125"
"ENSMUSG00000037872","turquoise","13349"
"ENSMUSG00000037860","turquoise","383619"
"ENSMUSG00000073490","turquoise","226691"
"ENSMUSG00000026535","turquoise","26388"
"ENSMUSG00000038776","turquoise","13849"
"ENSMUSG00000026620","turquoise","226778"
"ENSMUSG00000039239","turquoise","21808"
"ENSMUSG00000026628","turquoise","11910"
