"gene1","module1","EntrezID"
"ENSMUSG00000025931","yellow","74229"
"ENSMUSG00000064294","yellow","71724"
"ENSMUSG00000026175","yellow","22349"
"ENSMUSG00000026380","yellow","81879"
"ENSMUSG00000042268","yellow","320718"
"ENSMUSG00000041782","yellow","16763"
"ENSMUSG00000041605","yellow","67313"
"ENSMUSG00000016262","yellow","214791"
"ENSMUSG00000037254","yellow","16425"
"ENSMUSG00000001864","yellow","108897"
"ENSMUSG00000027030","yellow","53416"
"ENSMUSG00000027186","yellow","13711"
"ENSMUSG00000000308","yellow","12716"
"ENSMUSG00000016024","yellow","16803"
"ENSMUSG00000017950","yellow","15378"
"ENSMUSG00000047797","yellow","14618"
"ENSMUSG00000042750","yellow","12069"
"ENSMUSG00000047844","yellow","406217"
"ENSMUSG00000047230","yellow","12738"
"ENSMUSG00000047045","yellow","209497"
"ENSMUSG00000015401","yellow","57394"
"ENSMUSG00000015405","yellow","70008"
"ENSMUSG00000051224","yellow","245695"
"ENSMUSG00000000402","yellow","54156"
"ENSMUSG00000027690","yellow","20526"
"ENSMUSG00000042784","yellow","17829"
"ENSMUSG00000049128","yellow","16447"
"ENSMUSG00000040969","yellow","77669"
"ENSMUSG00000052544","yellow","20447"
"ENSMUSG00000028392","yellow","192120"
"ENSMUSG00000028358","yellow","72701"
"ENSMUSG00000033253","yellow","230676"
"ENSMUSG00000042367","yellow","14620"
"ENSMUSG00000046623","yellow","14621"
"ENSMUSG00000041351","yellow","110351"
"ENSMUSG00000057751","yellow","230971"
"ENSMUSG00000029102","yellow","54426"
"ENSMUSG00000029188","yellow","20531"
"ENSMUSG00000067219","yellow","70701"
"ENSMUSG00000029368","yellow","11657"
"ENSMUSG00000029379","yellow","330122"
"ENSMUSG00000029375","yellow","20309"
"ENSMUSG00000029377","yellow","13874"
"ENSMUSG00000034981","yellow","231440"
"ENSMUSG00000029522","yellow","18778"
"ENSMUSG00000070473","yellow","12739"
"ENSMUSG00000029695","yellow","30956"
"ENSMUSG00000038600","yellow","140494"
"ENSMUSG00000029829","yellow","77522"
"ENSMUSG00000056370","yellow","20388"
"ENSMUSG00000053460","yellow","56316"
"ENSMUSG00000030049","yellow","66284"
"ENSMUSG00000030413","yellow","21946"
"ENSMUSG00000040564","yellow","11812"
"ENSMUSG00000052212","yellow","68891"
"ENSMUSG00000054169","yellow","26366"
"ENSMUSG00000001249","yellow","15451"
"ENSMUSG00000034957","yellow","12606"
"ENSMUSG00000030494","yellow","52428"
"ENSMUSG00000039013","yellow","233186"
"ENSMUSG00000054046","yellow","626834"
"ENSMUSG00000062785","yellow","16504"
"ENSMUSG00000074129","yellow","22121"
"ENSMUSG00000055978","yellow","14344"
"ENSMUSG00000040364","yellow","56546"
"ENSMUSG00000070564","yellow","243967"
"ENSMUSG00000030513","yellow","18553"
"ENSMUSG00000039202","yellow","54608"
"ENSMUSG00000030688","yellow","56018"
"ENSMUSG00000030849","yellow","14183"
"ENSMUSG00000048200","yellow","213573"
"ENSMUSG00000040653","yellow","76142"
"ENSMUSG00000078452","yellow","19368"
"ENSMUSG00000019893","yellow","19886"
"ENSMUSG00000038602","yellow","215085"
"ENSMUSG00000020080","yellow","216019"
"ENSMUSG00000020057","yellow","71712"
"ENSMUSG00000020183","yellow","70574"
"ENSMUSG00000044433","yellow","69697"
"ENSMUSG00000059463","yellow","546038"
"ENSMUSG00000090137","yellow","22186"
"ENSMUSG00000034472","yellow","75141"
"ENSMUSG00000021789","yellow","20387"
"ENSMUSG00000021795","yellow","20390"
"ENSMUSG00000021876","yellow","58809"
"ENSMUSG00000072115","yellow","11727"
"ENSMUSG00000053093","yellow","140781"
"ENSMUSG00000022156","yellow","14942"
"ENSMUSG00000048582","yellow","14611"
"ENSMUSG00000046352","yellow","14619"
"ENSMUSG00000040055","yellow","14623"
"ENSMUSG00000022037","yellow","12759"
"ENSMUSG00000034248","yellow","67712"
"ENSMUSG00000022097","yellow","20389"
"ENSMUSG00000033595","yellow","213469"
"ENSMUSG00000022114","yellow","24064"
"ENSMUSG00000001943","yellow","57276"
"ENSMUSG00000032202","yellow","11891"
"ENSMUSG00000032357","yellow","26944"
"ENSMUSG00000032359","yellow","13036"
"ENSMUSG00000032554","yellow","22041"
"ENSMUSG00000041012","yellow","70031"
"ENSMUSG00000039115","yellow","104099"
"ENSMUSG00000025786","yellow","69035"
"ENSMUSG00000011256","yellow","11492"
"ENSMUSG00000020679","yellow","21410"
"ENSMUSG00000019312","yellow","14786"
"ENSMUSG00000006777","yellow","94179"
"ENSMUSG00000035112","yellow","69847"
"ENSMUSG00000017724","yellow","18612"
"ENSMUSG00000000567","yellow","20682"
"ENSMUSG00000039114","yellow","68404"
"ENSMUSG00000021556","yellow","105348"
"ENSMUSG00000021456","yellow","14120"
"ENSMUSG00000021608","yellow","210992"
"ENSMUSG00000020609","yellow","238055"
"ENSMUSG00000020566","yellow","68775"
"ENSMUSG00000020644","yellow","15902"
"ENSMUSG00000021062","yellow","104886"
"ENSMUSG00000021125","yellow","11847"
"ENSMUSG00000021187","yellow","74413"
"ENSMUSG00000040856","yellow","13386"
"ENSMUSG00000021268","yellow","17263"
"ENSMUSG00000097391","yellow","100040724"
"ENSMUSG00000051225","yellow","239463"
"ENSMUSG00000023031","yellow","109901"
"ENSMUSG00000041247","yellow","239739"
"ENSMUSG00000038094","yellow","224079"
"ENSMUSG00000022780","yellow","30060"
"ENSMUSG00000035638","yellow","224116"
