ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.212248272,3.528966444,1.435322085,0.230897831,0.529878556,66050,Trappc2b,-0.212248272,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,0.023288921,-0.504607808,0.002899018,0.957060627,0.986432239,100125929,0610009E02Rik,0.023288921,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,0.30412961,1.184925625,1.257429612,0.262138191,0.565794451,66838,0610009L18Rik,0.30412961,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,0.308943612,5.471881364,7.139143721,0.007541916,0.064046845,66839,Dele1,0.308943612,TRUE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,-0.169822848,4.743329522,1.940562626,0.163607458,0.441589004,71675,Sanbr,-0.169822848,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.252097105,1.632920697,0.832887428,0.361438926,0.66243309,104457,0610010K14Rik,0.252097105,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.089019581,4.503308747,0.47258015,0.491802567,0.758470608,106264,Ncbp2as2,-0.089019581,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,0.253126737,5.431306265,4.47183694,0.034457927,0.177160813,68364,0610030E20Rik,0.253126737,TRUE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,0.02752947,5.063508369,0.051471292,0.820522611,0.934526248,74098,Czib,0.02752947,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,-0.038055501,-0.106064246,0.009096783,0.924015338,0.976186497,70345,0610038B21Rik,-0.038055501,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.948723793,-0.192576663,4.742940019,0.029418755,0.161166556,68386,0610039K10Rik,0.948723793,TRUE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,0.215332577,4.030471551,1.907542406,0.167236508,0.447235453,76261,0610040J01Rik,0.215332577,FALSE
ENSMUSG00000026621,ENSMUSG00000026621,1-Mar,-0.069241462,-0.555916782,0.021010728,0.884749734,0.962350743,66112,Mtarc1,-0.069241462,FALSE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.693563874,4.108892045,15.54034996,8.08E-05,0.002242632,54204,Septin1,0.693563874,TRUE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.456173877,0.141717163,1.267837876,0.260172685,0.563457458,632687,Marchf10,-0.456173877,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,-0.077045224,4.772563997,0.362877672,0.546912378,0.795295021,103080,Septin10,-0.077045224,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.131897951,6.890486069,1.587944871,0.20762,0.49828222,52398,Septin11,-0.131897951,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,1.898703857,1.243538668,10.82471364,0.001001542,0.014654906,102634333,1110002E22Rik,1.898703857,TRUE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,0.012411408,1.813934369,0.003004356,0.956288237,0.986208,100043040,1110002L01Rik,0.012411408,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.231767925,5.0710987,3.132666748,0.076738118,0.291513534,68001,Cfap298,-0.231767925,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.02613969,6.144949849,0.067446746,0.795091247,0.922164001,56372,1110004F10Rik,0.02613969,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,0.345735504,-0.417523162,0.718412262,0.39666521,0.692887989,66123,1110006O24Rik,0.345735504,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.074530554,5.621849474,0.366536946,0.544898007,0.793906081,67388,Rab5if,-0.074530554,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,0.053616702,3.064867181,0.08630654,0.768926211,0.91086041,66132,Prorp,0.053616702,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,-0.272808778,4.159453529,2.543686471,0.11073597,0.357397903,73737,Bbln,-0.272808778,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.065377423,3.365439807,0.148052769,0.700403191,0.878031877,68618,Eola1,-0.065377423,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,-0.444694179,4.339342061,10.810301,0.001009369,0.014746195,73721,Spmip6,-0.444694179,TRUE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.775329515,-0.171265821,3.577239339,0.058576421,0.247560413,68531,1110020A21Rik,0.775329515,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,-0.011188214,4.490808198,0.007403192,0.931433186,0.978936813,68721,Cfap68,-0.011188214,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,0.209340796,2.615626075,1.183828914,0.276577881,0.580887682,73747,Shld1,0.209340796,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,0.134339597,2.718153266,0.411773149,0.521070894,0.776583483,68763,1110038B12Rik,0.134339597,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,0.222090099,4.57056533,3.001970278,0.083163324,0.305097369,117171,1110038F14Rik,0.222090099,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.529403514,1.336702694,4.270784956,0.038773015,0.190321188,68808,1110046J04Rik,-0.529403514,TRUE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,0.035474417,4.364807317,0.072549517,0.787660224,0.918607282,228356,Cstpp1,0.035474417,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.055838291,4.596555227,0.182354438,0.669357633,0.862218627,118568607,1110059E24Rik,0.055838291,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.00451954,4.002206579,0.001067795,0.973932054,0.99286583,66202,1110059G10Rik,0.00451954,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.066738417,3.345532884,0.166808325,0.682964069,0.869750805,68920,1110065P20Rik,-0.066738417,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,0.171723115,6.886635352,1.800593697,0.179640736,0.462750291,68861,Dipk2a,0.171723115,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.265041663,-0.26070813,0.530018472,0.466599094,0.742077365,68918,1190005I06Rik,-0.265041663,FALSE
