ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.344445971,4.144079909,3.551847659,0.059479185,0.468035108,72925,Marchf1,0.344445971,FALSE
ENSMUSG00000079557,ENSMUSG00000079557,2-Mar,-0.02879152,6.146570273,0.086448541,0.768741607,0.968620335,224703,Marchf2,-0.02879152,FALSE
ENSMUSG00000032656,ENSMUSG00000032656,3-Mar,-0.023214965,2.754715609,0.014359456,0.904617066,0.989769128,320253,Marchf3,-0.023214965,FALSE
ENSMUSG00000039372,ENSMUSG00000039372,4-Mar,0.119787432,3.205483178,0.425037629,0.514434009,0.899552945,381270,Marchf4,0.119787432,FALSE
ENSMUSG00000023307,ENSMUSG00000023307,5-Mar,-0.009738275,6.049620554,0.010451345,0.918572672,0.990982702,69104,Marchf5,-0.009738275,FALSE
ENSMUSG00000039100,ENSMUSG00000039100,6-Mar,0.049414693,7.460019697,0.287240881,0.591994088,0.925064475,223455,Marchf6,0.049414693,FALSE
ENSMUSG00000026977,ENSMUSG00000026977,7-Mar,0.198224436,6.140270655,2.710460904,0.099692184,0.576709054,57438,Marchf7,0.198224436,FALSE
ENSMUSG00000025702,ENSMUSG00000025702,8-Mar,-0.008539051,6.893382625,0.009055048,0.924189318,0.991603887,71779,Marchf8,-0.008539051,FALSE
ENSMUSG00000040502,ENSMUSG00000040502,9-Mar,-0.222196917,3.923552276,2.092469144,0.148026656,0.654239648,216438,Marchf9,-0.222196917,FALSE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.11767284,0.141717163,0.074820602,0.784443107,0.971240701,632687,Marchf10,-0.11767284,FALSE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.538429451,4.108892045,9.176818027,0.002450998,0.080943966,54204,Septin1,0.538429451,TRUE
ENSMUSG00000026276,ENSMUSG00000026276,2-Sep,-0.10037028,8.265628981,1.164921178,0.280447265,0.787655652,18000,Septin2,-0.10037028,FALSE
ENSMUSG00000022456,ENSMUSG00000022456,3-Sep,0.102280845,3.547349602,0.369339122,0.543364724,0.911015802,24050,Septin3,0.102280845,FALSE
ENSMUSG00000020486,ENSMUSG00000020486,4-Sep,-0.110712815,7.561366687,0.927633636,0.335478579,0.821851385,18952,Septin4,-0.110712815,FALSE
ENSMUSG00000072214,ENSMUSG00000072214,5-Sep,-0.12984271,3.114550356,0.413342313,0.520277935,0.901443539,18951,Septin5,-0.12984271,FALSE
ENSMUSG00000050379,ENSMUSG00000050379,6-Sep,0.398145712,4.377861853,6.148595434,0.013151651,0.223937924,56526,Septin6,0.398145712,TRUE
ENSMUSG00000001833,ENSMUSG00000001833,7-Sep,-0.126962539,8.027983799,1.695231104,0.192912827,0.711211341,235072,Septin7,-0.126962539,FALSE
ENSMUSG00000018398,ENSMUSG00000018398,8-Sep,-0.050743977,6.912101629,0.321326624,0.570811481,0.919646647,20362,Septin8,-0.050743977,FALSE
ENSMUSG00000059248,ENSMUSG00000059248,9-Sep,-0.021938377,7.421758176,0.032697854,0.856504563,0.985012945,53860,Septin9,-0.021938377,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.060017711,4.772563997,0.212218484,0.645034108,0.941016737,103080,Septin10,0.060017711,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.302353546,6.890486069,8.27999112,0.004008433,0.109012386,52398,Septin11,-0.302353546,TRUE
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.394553145,3.528966444,4.847015799,0.027694006,0.330850286,66050,Trappc2b,-0.394553145,TRUE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.525988274,-0.504607808,1.462587586,0.226518857,0.743678061,100125929,0610009E02Rik,-0.525988274,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,0.368733327,1.184925625,1.689104912,0.193719004,0.71265939,66838,0610009L18Rik,0.368733327,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,0.032733995,5.471881364,0.079287688,0.778265044,0.969611266,66839,Dele1,0.032733995,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,-0.116334772,4.743329522,0.87900313,0.348474859,0.827060853,71675,Sanbr,-0.116334772,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.225044624,1.632920697,0.627082298,0.42842757,0.864619369,104457,0610010K14Rik,0.225044624,FALSE
