ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.267948248,-0.504607808,0.39655098,0.528875872,0.906058608,100125929,0610009E02Rik,-0.267948248,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,0.238223515,1.184925625,0.77294934,0.379306194,0.848294363,66838,0610009L18Rik,0.238223515,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.23869325,1.632920697,0.743342497,0.388592256,0.854456876,104457,0610010K14Rik,0.23869325,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,0.217027363,5.431306265,3.285526249,0.069893219,0.487809393,68364,0610030E20Rik,0.217027363,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,-0.021835564,-0.106064246,0.003007146,0.956267966,0.993193396,70345,0610038B21Rik,-0.021835564,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.209481717,-0.192576663,0.25467604,0.613801611,0.929246155,68386,0610039K10Rik,0.209481717,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,0.27838411,4.030471551,3.165468785,0.075210841,0.50371394,76261,0610040J01Rik,0.27838411,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,1.440749779,1.243538668,6.427727143,0.011235226,0.184813038,102634333,1110002E22Rik,1.440749779,TRUE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,0.086784722,1.813934369,0.144346531,0.703997644,0.953132372,100043040,1110002L01Rik,0.086784722,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.026013521,6.144949849,0.06664657,0.79628345,0.971993781,56372,1110004F10Rik,0.026013521,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,-0.342693119,-0.417523162,0.788388402,0.374587883,0.844341071,66123,1110006O24Rik,-0.342693119,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.516632881,-0.171265821,1.649683395,0.199002028,0.720713438,68531,1110020A21Rik,0.516632881,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,0.187807844,2.718153266,0.796694476,0.372083508,0.842662585,68763,1110038B12Rik,0.187807844,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,0.201068528,4.57056533,2.456409154,0.117046086,0.60105972,117171,1110038F14Rik,0.201068528,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.290707912,1.336702694,1.239713976,0.265526185,0.78144188,68808,1110046J04Rik,-0.290707912,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.111124616,4.596555227,0.717887837,0.396837612,0.856527306,118568607,1110059E24Rik,0.111124616,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,-0.026594461,4.002206579,0.036888984,0.847691251,0.978662175,66202,1110059G10Rik,-0.026594461,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.037697109,3.345532884,0.052762446,0.818324292,0.975159945,68920,1110065P20Rik,-0.037697109,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,0.223800262,-0.26070813,0.342842945,0.558192799,0.913242643,68918,1190005I06Rik,0.223800262,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,0.343651027,4.026106464,4.512397932,0.033650034,0.337459529,100043489,1300002E11Rik,0.343651027,TRUE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,0.298999314,2.167727085,1.661031286,0.197464139,0.719071461,319830,1500004A13Rik,0.298999314,FALSE
