ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.319691224,3.528966444,3.22638037,0.072460682,0.87470596,66050,Trappc2b,-0.319691224,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.299351934,-0.504607808,0.440890241,0.506693087,0.998267784,100125929,0610009E02Rik,-0.299351934,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,-0.148272486,1.184925625,0.280116931,0.596624586,0.998267784,66838,0610009L18Rik,-0.148272486,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,0.048365765,5.471881364,0.173256109,0.677234066,0.998267784,66839,Dele1,0.048365765,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,-0.03929502,4.743329522,0.10482341,0.746116383,0.998267784,71675,Sanbr,-0.03929502,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.038957141,1.632920697,0.019442685,0.889104814,0.999594276,104457,0610010K14Rik,0.038957141,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.130618257,4.503308747,1.014394825,0.313852272,0.996946328,106264,Ncbp2as2,-0.130618257,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,-0.03748071,5.431306265,0.097015545,0.755440924,0.998267784,68364,0610030E20Rik,-0.03748071,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,-0.093586736,5.063508369,0.590948124,0.442052719,0.998267784,74098,Czib,-0.093586736,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,0.343055711,-0.106064246,0.785349355,0.375510094,0.998267784,70345,0610038B21Rik,0.343055711,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.694044729,-0.192576663,2.446346596,0.117798756,0.927476247,68386,0610039K10Rik,0.694044729,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,0.048135832,4.030471551,0.094407386,0.758647116,0.998267784,76261,0610040J01Rik,0.048135832,FALSE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.38604779,4.144079909,4.715634879,0.029889527,0.713397364,72925,Marchf1,0.38604779,TRUE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.536473816,4.108892045,9.258990426,0.002343422,0.215141528,100043580,Septin1,0.536473816,TRUE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.312494597,0.141717163,0.605340882,0.436547463,0.998267784,632687,Marchf10,-0.312494597,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.01014427,4.772563997,0.006318346,0.936644455,0.999594276,103080,Septin10,0.01014427,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.206046676,6.890486069,3.866949473,0.049245952,0.80089714,52398,Septin11,-0.206046676,TRUE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,0.230023718,1.243538668,0.160151948,0.689016661,0.998267784,102634333,1110002E22Rik,0.230023718,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,-0.028701938,1.813934369,0.015988972,0.8993777,0.999594276,100043040,1110002L01Rik,-0.028701938,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.239155391,5.0710987,3.333972129,0.067862797,0.864188598,68001,Cfap298,-0.239155391,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.030188873,6.144949849,0.089971796,0.764213015,0.998267784,56372,1110004F10Rik,0.030188873,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,-0.096334569,-0.417523162,0.05035725,0.822442795,0.998267784,66123,1110006O24Rik,-0.096334569,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.128226317,5.621849474,1.082587727,0.298119384,0.996946328,67388,Rab5if,-0.128226317,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,0.052834419,3.064867181,0.083746853,0.772282575,0.998267784,66132,Prorp,0.052834419,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,-0.065699891,4.159453529,0.149132599,0.69936566,0.998267784,73737,Bbln,-0.065699891,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.073512601,3.365439807,0.186888921,0.665518654,0.998267784,68618,Eola1,-0.073512601,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,-0.210557037,4.339342061,2.467289061,0.116238252,0.924789843,73721,Spmip6,-0.210557037,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.464913175,-0.171265821,1.226469437,0.268094749,0.996946328,68531,1110020A21Rik,0.464913175,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,0.001055712,4.490808198,6.60E-05,0.993519496,0.999594276,68721,Cfap68,0.001055712,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,0.135863077,2.615626075,0.49426292,0.482031851,0.998267784,73747,Shld1,0.135863077,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.191794633,2.718153266,0.814687034,0.366738146,0.998267784,68763,1110038B12Rik,-0.191794633,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,-0.094576332,4.57056533,0.533667016,0.465069237,0.998267784,117171,1110038F14Rik,-0.094576332,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.00499413,1.336702694,0.000412901,0.983788133,0.999594276,68808,1110046J04Rik,-0.00499413,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,0.000922895,4.364807317,4.90E-05,0.994416335,0.999797909,228356,Cstpp1,0.000922895,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.050259376,4.596555227,0.147646697,0.700794479,0.998267784,66206,1110059E24Rik,0.050259376,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.064959527,4.002206579,0.221601779,0.637822144,0.998267784,66202,1110059G10Rik,0.064959527,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.111762786,3.345532884,0.465491389,0.495068686,0.998267784,68920,1110065P20Rik,-0.111762786,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,-0.148930323,6.886635352,1.348867457,0.245476207,0.992149084,68861,Dipk2a,-0.148930323,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.347301423,-0.26070813,0.890688966,0.345290673,0.998175578,68918,1190005I06Rik,-0.347301423,FALSE
ENSMUSG00000063320,ENSMUSG00000063320,1190007I07Rik,-0.196670715,1.410933758,0.475291802,0.490562712,0.998267784,544717,Uqcc6,-0.196670715,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,0.093593083,4.026106464,0.327863938,0.566919594,0.998267784,100043489,1300002E11Rik,0.093593083,FALSE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,0.262214057,2.167727085,1.247347943,0.264059611,0.996946328,319830,1500004A13Rik,0.262214057,FALSE
ENSMUSG00000087651,ENSMUSG00000087651,1500009L16Rik,-0.086977593,1.464058483,0.099027437,0.752999884,0.998267784,69784,1500009L16Rik,-0.086977593,FALSE
ENSMUSG00000072694,ENSMUSG00000072694,1500011B03Rik,0.11299737,3.296033203,0.433082289,0.510480379,0.998267784,66236,1500011B03Rik,0.11299737,FALSE
ENSMUSG00000051319,ENSMUSG00000051319,1500011K16Rik,-0.0514031,4.134127065,0.146660265,0.70174758,0.998267784,67885,Mtln,-0.0514031,FALSE
ENSMUSG00000098702,ENSMUSG00000098702,1500015A07Rik,0.184554669,1.934411128,0.565616186,0.452006205,0.998267784,68982,1500015A07Rik,0.184554669,FALSE
ENSMUSG00000026051,ENSMUSG00000026051,1500015O10Rik,0.299752817,-0.152728522,0.51861566,0.4714328,0.998267784,78896,Ecrg4,0.299752817,FALSE
ENSMUSG00000059631,ENSMUSG00000059631,1500035N22Rik,-0.010910199,0.550853943,0.001467973,0.969437219,0.999594276,70258,1500035N22Rik,-0.010910199,FALSE
ENSMUSG00000035595,ENSMUSG00000035595,1600002K03Rik,-0.003572587,2.325511433,0.000289,0.986436618,0.999594276,69770,Fam174c,-0.003572587,FALSE
ENSMUSG00000101585,ENSMUSG00000101585,1600010M07Rik,-0.394054056,-0.008053362,0.922836552,0.336731287,0.996946328,69781,1600010M07Rik,-0.394054056,FALSE
ENSMUSG00000050088,ENSMUSG00000050088,1600012H06Rik,-0.035661612,5.391477087,0.124189005,0.72453485,0.998267784,67912,1600012H06Rik,-0.035661612,FALSE
ENSMUSG00000054676,ENSMUSG00000054676,1600014C10Rik,-0.111970611,4.589051285,0.814444473,0.366809495,0.998267784,72244,1600014C10Rik,-0.111970611,FALSE
ENSMUSG00000029182,ENSMUSG00000029182,1700001C02Rik,-0.008878445,2.57765647,0.00168659,0.967241592,0.999594276,75434,Cimip2c,-0.008878445,FALSE
ENSMUSG00000021534,ENSMUSG00000021534,1700001L19Rik,-0.001082121,1.870612361,2.07E-05,0.996370454,0.999885959,69315,Cfap90,-0.001082121,FALSE
ENSMUSG00000044320,ENSMUSG00000044320,1700001O22Rik,0.406421062,0.410232726,1.564080071,0.211068818,0.988754172,73598,1700001O22Rik,0.406421062,FALSE
ENSMUSG00000030030,ENSMUSG00000030030,1700003E16Rik,-0.053385244,2.975569122,0.072227702,0.78812044,0.998267784,71837,1700003E16Rik,-0.053385244,FALSE
ENSMUSG00000057816,ENSMUSG00000057816,1700007G11Rik,-0.216697261,2.185488523,1.028217201,0.310577764,0.996946328,75784,Cfap299,-0.216697261,FALSE
ENSMUSG00000086330,ENSMUSG00000086330,1700007J10Rik,0.059795718,0.372194353,0.022919834,0.879665729,0.999594276,69320,1700007J10Rik,0.059795718,FALSE
ENSMUSG00000026831,ENSMUSG00000026831,1700007K13Rik,-0.71439448,3.941069312,12.78679254,0.000349075,0.063113747,69327,Pierce1,-0.71439448,TRUE
ENSMUSG00000101225,ENSMUSG00000101225,1700008J07Rik,0.083801101,1.681924458,0.118981316,0.730141971,0.998267784,629159,1700008J07Rik,0.083801101,FALSE
ENSMUSG00000023873,ENSMUSG00000023873,1700010I14Rik,-0.313049389,0.684319542,0.885781201,0.346623129,0.998175578,66931,1700010I14Rik,-0.313049389,FALSE
ENSMUSG00000031927,ENSMUSG00000031927,1700012B09Rik,-0.262365194,0.61642371,0.866303324,0.351980742,0.998267784,69325,1700012B09Rik,-0.262365194,FALSE
ENSMUSG00000110424,ENSMUSG00000110424,1700012D14Rik,0.199337278,0.816388663,0.414878872,0.519503512,0.998267784,75479,Zbed5-ps,0.199337278,FALSE
ENSMUSG00000027886,ENSMUSG00000027886,1700013F07Rik,-0.004543614,1.685008553,0.000330058,0.985505234,0.999594276,75504,Cfap276,-0.004543614,FALSE
