ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.501996097,3.528966444,7.772941113,0.005303463,0.03485566,66050,Trappc2b,-0.501996097,TRUE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.848629129,-0.504607808,3.545903327,0.059692656,0.195933301,100125929,0610009E02Rik,-0.848629129,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,-0.083668769,1.184925625,0.081653278,0.775069317,0.891662371,66838,0610009L18Rik,-0.083668769,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,-0.227843853,5.471881364,3.796551792,0.051358246,0.176266651,66839,Dele1,-0.227843853,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,0.014193056,4.743329522,0.013195969,0.908545223,0.956132782,71675,Sanbr,0.014193056,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.01190466,1.632920697,0.001717358,0.966944316,0.986089322,104457,0610010K14Rik,0.01190466,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.10302735,4.503308747,0.60979752,0.434864058,0.663476545,106264,Ncbp2as2,-0.10302735,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,-0.101836289,5.431306265,0.702617223,0.401905665,0.636806227,68364,0610030E20Rik,-0.101836289,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,-0.401615725,5.063508369,10.73410512,0.001051789,0.010067619,74098,Czib,-0.401615725,TRUE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,0.286075585,-0.106064246,0.496959161,0.480839296,0.701566441,70345,0610038B21Rik,0.286075585,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.319293473,-0.192576663,0.494655351,0.481857976,0.702163998,68386,0610039K10Rik,0.319293473,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,-0.277357641,4.030471551,3.088639511,0.078840701,0.234860003,76261,0610040J01Rik,-0.277357641,FALSE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.746286411,4.144079909,16.82883194,4.09E-05,0.000756649,72925,Marchf1,0.746286411,TRUE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.381339393,4.108892045,4.580423687,0.032339218,0.128525418,100043580,Septin1,0.381339393,TRUE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,0.02600644,0.141717163,0.003722482,0.951349535,0.977700913,632687,Marchf10,0.02600644,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.147207206,4.772563997,1.281835211,0.257558087,0.49383204,103080,Septin10,0.147207206,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.376502272,6.890486069,12.80678368,0.000345365,0.004183938,52398,Septin11,-0.376502272,TRUE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,-0.194708385,1.243538668,0.113607213,0.736074164,0.869950044,102634333,1110002E22Rik,-0.194708385,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,0.010839463,1.813934369,0.002108823,0.963372482,0.9838538,100043040,1110002L01Rik,0.010839463,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.122384377,5.0710987,0.850877879,0.356304109,0.593374179,68001,Cfap298,-0.122384377,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.001701396,6.144949849,0.000280859,0.986628999,0.994981458,56372,1110004F10Rik,0.001701396,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,-0.361928988,-0.417523162,0.664975741,0.414808796,0.647781449,66123,1110006O24Rik,-0.361928988,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.232524193,5.621849474,3.509198928,0.061028958,0.199150909,67388,Rab5if,-0.232524193,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,0.287123875,3.064867181,2.31039762,0.128511172,0.324411202,66132,Prorp,0.287123875,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,0.113101035,4.159453529,0.427819944,0.513060612,0.725179912,73737,Bbln,0.113101035,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.088551953,3.365439807,0.259986774,0.610129241,0.793393527,68618,Eola1,-0.088551953,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,0.132065212,4.339342061,0.918136007,0.337964872,0.576963402,73721,Spmip6,0.132065212,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.152473946,-0.171265821,0.125486053,0.723158949,0.862378052,68531,1110020A21Rik,0.152473946,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,0.152986312,4.490808198,1.32459878,0.249768378,0.484946099,68721,Cfap68,0.152986312,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,-0.293834561,2.615626075,2.274817322,0.131490618,0.329184833,73747,Shld1,-0.293834561,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.415162879,2.718153266,3.718159268,0.053823676,0.182256209,68763,1110038B12Rik,-0.415162879,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,-0.299748711,4.57056533,5.244912827,0.022011031,0.098634823,117171,1110038F14Rik,-0.299748711,TRUE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,0.098251624,1.336702694,0.145965429,0.702421146,0.85018345,68808,1110046J04Rik,0.098251624,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,0.236069008,4.364807317,3.037243742,0.081373976,0.239754908,228356,Cstpp1,0.236069008,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.044360627,4.596555227,0.111457261,0.738491126,0.871021382,66206,1110059E24Rik,0.044360627,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,-0.025779821,4.002206579,0.033663095,0.854425292,0.931064325,66202,1110059G10Rik,-0.025779821,FALSE
