ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.107442952,3.528966444,0.35105868,0.553514448,0.838712803,66050,Trappc2b,-0.107442952,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.322640855,-0.504607808,0.475468122,0.490482274,0.804242759,100125929,0610009E02Rik,-0.322640855,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,-0.452402096,1.184925625,2.566359951,0.10915865,0.406786568,66838,0610009L18Rik,-0.452402096,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,-0.260577848,5.471881364,5.001307119,0.025328183,0.169368718,66839,Dele1,-0.260577848,TRUE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,0.130527829,4.743329522,1.117583724,0.290439336,0.656416191,71675,Sanbr,0.130527829,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,-0.213139964,1.632920697,0.572171229,0.449397416,0.781951387,104457,0610010K14Rik,-0.213139964,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.041598676,4.503308747,0.100002541,0.751826585,0.925634802,106264,Ncbp2as2,-0.041598676,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,-0.290607447,5.431306265,5.790212873,0.016115638,0.123694335,68364,0610030E20Rik,-0.290607447,TRUE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,-0.121116206,5.063508369,0.971195984,0.324382085,0.687149516,74098,Czib,-0.121116206,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,0.381111213,-0.106064246,0.893266853,0.344593554,0.705684044,70345,0610038B21Rik,0.381111213,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,-0.254679065,-0.192576663,0.353787381,0.551976976,0.83747411,68386,0610039K10Rik,-0.254679065,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,-0.167196745,4.030471551,1.125518593,0.288733254,0.654138785,76261,0610040J01Rik,-0.167196745,FALSE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.40184044,4.144079909,5.029020775,0.024925988,0.167524016,72925,Marchf1,0.40184044,TRUE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,-0.157090058,4.108892045,0.80466808,0.369701345,0.724984568,54204,Septin1,-0.157090058,FALSE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,0.14367928,0.141717163,0.114498043,0.735080163,0.917400053,632687,Marchf10,0.14367928,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.087189495,4.772563997,0.455574503,0.499699531,0.809146329,103080,Septin10,0.087189495,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.074148726,6.890486069,0.496356995,0.481105216,0.799014722,52398,Septin11,-0.074148726,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,-1.668680139,1.243538668,8.370529893,0.003813544,0.04305284,102634333,1110002E22Rik,-1.668680139,TRUE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,-0.041113346,1.813934369,0.031167944,0.859866229,0.963702462,100043040,1110002L01Rik,-0.041113346,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.007387466,5.0710987,0.003105482,0.955559407,0.990711133,68001,Cfap298,-0.007387466,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.004049183,6.144949849,0.001598932,0.96810377,0.993182998,56372,1110004F10Rik,0.004049183,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,-0.442070073,-0.417523162,1.042486155,0.307243962,0.672322678,66123,1110006O24Rik,-0.442070073,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.053695763,5.621849474,0.187109173,0.665333598,0.889184666,67388,Rab5if,-0.053695763,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,-0.000782282,3.064867181,1.79E-05,0.996624531,0.999250805,66132,Prorp,-0.000782282,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,0.207108886,4.159453529,1.438811725,0.230331726,0.590349186,73737,Bbln,0.207108886,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.008135178,3.365439807,0.002208535,0.96251717,0.99231973,68618,Eola1,-0.008135178,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,0.234137141,4.339342061,2.894864514,0.088862246,0.361722848,73721,Spmip6,0.234137141,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,-0.31041634,-0.171265821,0.5736449,0.448814154,0.781683897,68531,1110020A21Rik,-0.31041634,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,0.012243926,4.490808198,0.008652345,0.925889277,0.983693161,68721,Cfap68,0.012243926,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,-0.073477719,2.615626075,0.141196274,0.707094639,0.904546009,73747,Shld1,-0.073477719,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.32613423,2.718153266,2.308514927,0.128666928,0.441235163,68763,1110038B12Rik,-0.32613423,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,-0.316666431,4.57056533,5.911615184,0.015041375,0.117970089,117171,1110038F14Rik,-0.316666431,TRUE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,0.524409384,1.336702694,3.966977002,0.046401004,0.246732545,68808,1110046J04Rik,0.524409384,TRUE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,-0.034551522,4.364807317,0.067069133,0.795652918,0.940887683,228356,Cstpp1,-0.034551522,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,-0.005578915,4.596555227,0.001784316,0.966306449,0.993073161,118568607,1110059E24Rik,-0.005578915,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.060439987,4.002206579,0.185961337,0.666299436,0.889694514,66202,1110059G10Rik,0.060439987,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.045024369,3.345532884,0.072596337,0.787593359,0.937207284,68920,1110065P20Rik,-0.045024369,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,-0.320653439,6.886635352,6.224750999,0.012597662,0.104208782,68861,Dipk2a,-0.320653439,TRUE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.08225976,-0.26070813,0.043959773,0.833928472,0.954333771,68918,1190005I06Rik,-0.08225976,FALSE
ENSMUSG00000063320,ENSMUSG00000063320,1190007I07Rik,-0.148222317,1.410933758,0.256362368,0.612630344,0.867402814,544717,Uqcc6,-0.148222317,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,-0.340977747,4.026106464,4.346475291,0.037085624,0.214680682,100043489,1300002E11Rik,-0.340977747,TRUE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,-0.189444491,2.167727085,0.651031738,0.419744048,0.761039928,319830,1500004A13Rik,-0.189444491,FALSE
ENSMUSG00000087651,ENSMUSG00000087651,1500009L16Rik,0.864446537,1.464058483,8.473777877,0.003603024,0.040998366,69784,1500009L16Rik,0.864446537,TRUE
ENSMUSG00000072694,ENSMUSG00000072694,1500011B03Rik,0.243877772,3.296033203,1.934693172,0.164245902,0.502205587,66236,1500011B03Rik,0.243877772,FALSE
ENSMUSG00000051319,ENSMUSG00000051319,1500011K16Rik,0.113078215,4.134127065,0.68202974,0.408888665,0.753789873,67885,Mtln,0.113078215,FALSE
ENSMUSG00000098702,ENSMUSG00000098702,1500015A07Rik,-0.044694081,1.934411128,0.032525315,0.856879562,0.963103915,68982,1500015A07Rik,-0.044694081,FALSE
ENSMUSG00000026051,ENSMUSG00000026051,1500015O10Rik,2.34858941,-0.152728522,21.22233951,4.09E-06,0.000215603,78896,Ecrg4,2.34858941,TRUE
ENSMUSG00000059631,ENSMUSG00000059631,1500035N22Rik,0.512594131,0.550853943,2.735152298,0.098162143,0.383114598,70258,1500035N22Rik,0.512594131,FALSE
