ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.19960621,3.528966444,1.245552319,0.264403664,0.872354978,66050,Trappc2b,-0.19960621,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.590589104,-0.504607808,1.789133006,0.181031833,0.811134334,100125929,0610009E02Rik,-0.590589104,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,-0.214178581,1.184925625,0.585835289,0.444034121,0.93407451,66838,0610009L18Rik,-0.214178581,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,-0.130308426,5.471881364,1.261619098,0.26134484,0.869410069,66839,Dele1,-0.130308426,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,-0.081566472,4.743329522,0.450569506,0.502064629,0.947513001,71675,Sanbr,-0.081566472,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.025553285,1.632920697,0.00832255,0.927311417,0.998010736,104457,0610010K14Rik,0.025553285,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,0.037441956,4.503308747,0.08233613,0.774156172,0.987066842,106264,Ncbp2as2,0.037441956,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,-0.073580084,5.431306265,0.373588416,0.541054742,0.956614588,68364,0610030E20Rik,-0.073580084,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,-0.124518016,5.063508369,1.04426843,0.306830822,0.896974146,74098,Czib,-0.124518016,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,0.359275649,-0.106064246,0.854367048,0.355319849,0.917771261,70345,0610038B21Rik,0.359275649,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,-0.045197347,-0.192576663,0.011470495,0.914709331,0.998010736,68386,0610039K10Rik,-0.045197347,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,0.111187365,4.030471551,0.500237614,0.479395735,0.942702733,76261,0610040J01Rik,0.111187365,FALSE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.463736603,4.144079909,6.763728245,0.00930292,0.300143051,72925,Marchf1,0.463736603,TRUE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.030399911,4.108892045,0.030358795,0.861678617,0.994891596,100043580,Septin1,0.030399911,FALSE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.084874707,0.141717163,0.043701477,0.83441,0.992537666,632687,Marchf10,-0.084874707,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.085285038,4.772563997,0.443523044,0.505426915,0.949557427,103080,Septin10,0.085285038,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.069899946,6.890486069,0.443843805,0.505273025,0.949557427,52398,Septin11,-0.069899946,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,-0.22793036,1.243538668,0.158798413,0.690265206,0.979131499,102634333,1110002E22Rik,-0.22793036,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,0.045671376,1.813934369,0.039742952,0.841984007,0.993834129,100043040,1110002L01Rik,0.045671376,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.055431485,5.0710987,0.177651639,0.673399201,0.979053194,68001,Cfap298,-0.055431485,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.030062704,6.144949849,0.089020094,0.765426619,0.987026027,56372,1110004F10Rik,0.030062704,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,-0.784763191,-0.417523162,3.735231597,0.053276281,0.580917015,66123,1110006O24Rik,-0.784763191,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,0.015967638,5.621849474,0.01668392,0.897226101,0.998010736,67388,Rab5if,0.015967638,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,0.163602987,3.064867181,0.79292961,0.373215743,0.923813278,66132,Prorp,0.163602987,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,0.090608279,4.159453529,0.280873714,0.596129125,0.971657708,73737,Bbln,0.090608279,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.061029939,3.365439807,0.127926973,0.720591182,0.981731224,68618,Eola1,-0.061029939,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,-0.039236802,4.339342061,0.084699894,0.771026492,0.987026027,73721,Spmip6,-0.039236802,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.206216541,-0.171265821,0.250270995,0.616884326,0.972591093,68531,1110020A21Rik,0.206216541,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,0.018908059,4.490808198,0.021059935,0.884615799,0.997260909,68721,Cfap68,0.018908059,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,0.040892694,2.615626075,0.044786888,0.832396384,0.991959163,73747,Shld1,0.040892694,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.138326385,2.718153266,0.419668144,0.51710268,0.951328285,68763,1110038B12Rik,-0.138326385,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,-0.115597903,4.57056533,0.795864011,0.372332846,0.923813278,117171,1110038F14Rik,-0.115597903,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,0.233701473,1.336702694,0.87128163,0.350600743,0.915383825,68808,1110046J04Rik,0.233701473,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,0.04690977,4.364807317,0.125625186,0.723011833,0.982064609,228356,Cstpp1,0.04690977,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.1055457,4.596555227,0.647229611,0.421104911,0.93407303,66206,1110059E24Rik,0.1055457,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.033845526,4.002206579,0.060012809,0.806475696,0.988106634,66202,1110059G10Rik,0.033845526,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.082721478,3.345532884,0.252838111,0.615083728,0.972591093,68920,1110065P20Rik,-0.082721478,FALSE
