ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.302389887,3.528966444,2.92928246,0.086986146,0.439365416,66050,Trappc2b,-0.302389887,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,-0.258040025,-0.504607808,0.396145325,0.529086716,0.854339256,100125929,0610009E02Rik,-0.258040025,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,0.130509811,1.184925625,0.21537996,0.642582933,0.901235569,66838,0610009L18Rik,0.130509811,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,-0.097535427,5.471881364,0.709490425,0.39961303,0.78391039,66839,Dele1,-0.097535427,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,0.095759528,4.743329522,0.614718971,0.433016547,0.803441206,71675,Sanbr,0.095759528,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,-0.013648626,1.632920697,0.002329644,0.961503946,0.992685037,104457,0610010K14Rik,-0.013648626,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.140469306,4.503308747,1.155035614,0.282497495,0.696805597,106264,Ncbp2as2,-0.140469306,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,-0.028256206,5.431306265,0.055008055,0.814567367,0.957876214,68364,0610030E20Rik,-0.028256206,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,-0.277097708,5.063508369,5.236633986,0.022116025,0.226241319,74098,Czib,-0.277097708,TRUE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,-0.073200064,-0.106064246,0.032674845,0.856554512,0.969195822,70345,0610038B21Rik,-0.073200064,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.36449082,-0.192576663,0.68421758,0.408138188,0.789751288,68386,0610039K10Rik,0.36449082,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,-0.388545006,4.030471551,6.146594639,0.013166539,0.169766612,76261,0610040J01Rik,-0.388545006,TRUE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,0.282549808,4.144079909,2.416109566,0.120092852,0.505868622,72925,Marchf1,0.282549808,FALSE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.350939482,4.108892045,3.933765708,0.047325858,0.338246463,54204,Septin1,0.350939482,TRUE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,0.110881147,0.141717163,0.072530644,0.787687183,0.949345805,632687,Marchf10,0.110881147,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,0.061922168,4.772563997,0.229806156,0.631667598,0.896791069,103080,Septin10,0.061922168,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.306602326,6.890486069,8.566506698,0.003424035,0.073876018,52398,Septin11,-0.306602326,TRUE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,0.033221975,1.243538668,0.003380493,0.953635516,0.990866128,102634333,1110002E22Rik,0.033221975,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,-0.034831913,1.813934369,0.022625081,0.880436135,0.975627597,100043040,1110002L01Rik,-0.034831913,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.066952892,5.0710987,0.258877966,0.610892057,0.888135282,68001,Cfap298,-0.066952892,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,-0.028361308,6.144949849,0.07881045,0.77891597,0.946246192,56372,1110004F10Rik,-0.028361308,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,0.422834204,-0.417523162,1.137579717,0.286164327,0.699742813,66123,1110006O24Rik,0.422834204,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.248491831,5.621849474,4.048232912,0.044217608,0.327856922,67388,Rab5if,-0.248491831,TRUE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,0.123520888,3.064867181,0.433996766,0.510034284,0.843308806,66132,Prorp,0.123520888,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,0.022492756,4.159453529,0.017079798,0.896020779,0.979462099,73737,Bbln,0.022492756,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.027522014,3.365439807,0.025893842,0.872159848,0.973338746,68618,Eola1,-0.027522014,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,0.171302014,4.339342061,1.582166079,0.208448963,0.621974291,73721,Spmip6,0.171302014,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,-0.053742595,-0.171265821,0.016009416,0.899313734,0.980389526,68531,1110020A21Rik,-0.053742595,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,0.134078253,4.490808198,1.037074313,0.308502887,0.716266837,68721,Cfap68,0.134078253,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,-0.334727255,2.615626075,3.048464309,0.080813524,0.426163341,73747,Shld1,-0.334727255,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.276836493,2.718153266,1.720086472,0.189681915,0.601421101,68763,1110038B12Rik,-0.276836493,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,-0.184150808,4.57056533,2.039661609,0.153243733,0.556982651,117171,1110038F14Rik,-0.184150808,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.135449848,1.336702694,0.28225978,0.595223888,0.883964726,68808,1110046J04Rik,-0.135449848,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,0.189159238,4.364807317,1.985452416,0.158817183,0.562382994,228356,Cstpp1,0.189159238,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,-0.061185073,4.596555227,0.215001669,0.642875076,0.901235569,118568607,1110059E24Rik,-0.061185073,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,-0.059625347,4.002206579,0.184427675,0.667595458,0.909684769,66202,1110059G10Rik,-0.059625347,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.174793959,3.345532884,1.140392438,0.285569419,0.699280001,68920,1110065P20Rik,-0.174793959,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,-0.029261284,6.886635352,0.05216783,0.819333128,0.959151801,68861,Dipk2a,-0.029261284,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.048333983,-0.26070813,0.014807176,0.903148699,0.981057368,68918,1190005I06Rik,-0.048333983,FALSE
ENSMUSG00000063320,ENSMUSG00000063320,1190007I07Rik,-0.292865275,1.410933758,1.07955897,0.298796238,0.709203959,544717,Uqcc6,-0.292865275,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,-0.169440014,4.026106464,1.078808754,0.298964199,0.709252666,100043489,1300002E11Rik,-0.169440014,FALSE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,-0.108103502,2.167727085,0.210147952,0.646651465,0.902003135,319830,1500004A13Rik,-0.108103502,FALSE
ENSMUSG00000087651,ENSMUSG00000087651,1500009L16Rik,0.685710106,1.464058483,5.171216707,0.022964126,0.230793629,69784,1500009L16Rik,0.685710106,TRUE
ENSMUSG00000072694,ENSMUSG00000072694,1500011B03Rik,0.551632967,3.296033203,9.780585088,0.001763642,0.048854986,66236,1500011B03Rik,0.551632967,TRUE
ENSMUSG00000051319,ENSMUSG00000051319,1500011K16Rik,-0.237455358,4.134127065,3.035740966,0.081449355,0.427372511,67885,Mtln,-0.237455358,FALSE
ENSMUSG00000098702,ENSMUSG00000098702,1500015A07Rik,0.110351299,1.934411128,0.201060111,0.653866512,0.904396833,68982,1500015A07Rik,0.110351299,FALSE
ENSMUSG00000026051,ENSMUSG00000026051,1500015O10Rik,1.41533512,-0.152728522,7.880749843,0.004996376,0.0939521,78896,Ecrg4,1.41533512,TRUE
ENSMUSG00000059631,ENSMUSG00000059631,1500035N22Rik,0.541516762,0.550853943,2.945367341,0.086124116,0.437621202,70258,1500035N22Rik,0.541516762,FALSE
ENSMUSG00000035595,ENSMUSG00000035595,1600002K03Rik,-0.365288505,2.325511433,2.986784126,0.083946728,0.432633077,69770,Fam174c,-0.365288505,FALSE
ENSMUSG00000101585,ENSMUSG00000101585,1600010M07Rik,-0.021261503,-0.008053362,0.002414059,0.960813245,0.992681087,69781,1600010M07Rik,-0.021261503,FALSE
