ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,0.182304873,3.528966444,1.076566985,0.299466816,0.658231346,66050,Trappc2b,0.182304873,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,0.549277195,-0.504607808,1.725033157,0.189046454,0.540370059,100125929,0610009E02Rik,0.549277195,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,-0.064603716,1.184925625,0.052647221,0.818519316,0.947340691,66838,0610009L18Rik,-0.064603716,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,0.276209618,5.471881364,5.665661821,0.017300188,0.135347521,66839,Dele1,0.276209618,TRUE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,-0.053488076,4.743329522,0.192246141,0.661053712,0.888664462,71675,Sanbr,-0.053488076,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.027052481,1.632920697,0.009207957,0.923553848,0.983592029,104457,0610010K14Rik,0.027052481,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.027590907,4.503308747,0.045128049,0.831768747,0.952938223,106264,Ncbp2as2,-0.027590907,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,0.064355579,5.431306265,0.285555308,0.593082974,0.858872137,68364,0610030E20Rik,0.064355579,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,0.308028989,5.063508369,6.480620248,0.010905692,0.097918347,74098,Czib,0.308028989,TRUE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,0.056980126,-0.106064246,0.019983692,0.887582639,0.971371071,70345,0610038B21Rik,0.056980126,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.374751255,-0.192576663,0.656095703,0.4179417,0.760072311,68386,0610039K10Rik,0.374751255,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,0.325493473,4.030471551,4.34503544,0.037116995,0.216764836,76261,0610040J01Rik,0.325493473,TRUE
ENSMUSG00000036469,ENSMUSG00000036469,1-Mar,-0.36023862,4.144079909,3.944665677,0.047020196,0.249774352,72925,Marchf1,-0.36023862,TRUE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.155134423,4.108892045,0.756476112,0.384433569,0.734912973,100043580,Septin1,0.155134423,FALSE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.338501037,0.141717163,0.691153683,0.405772247,0.751434931,632687,Marchf10,-0.338501037,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,-0.137062935,4.772563997,1.133332614,0.287065601,0.646514991,103080,Septin10,-0.137062935,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,0.170455596,6.890486069,2.659486932,0.102933932,0.393628673,52398,Septin11,0.170455596,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,0.424732103,1.243538668,0.545903077,0.459996543,0.788730849,102634333,1110002E22Rik,0.424732103,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,-0.039541401,1.813934369,0.029683142,0.863211148,0.963909973,100043040,1110002L01Rik,-0.039541401,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.116771014,5.0710987,0.794407607,0.372770681,0.726780566,68001,Cfap298,-0.116771014,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.028487477,6.144949849,0.079692003,0.777715233,0.93184892,56372,1110004F10Rik,0.028487477,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,0.265594419,-0.417523162,0.401764877,0.526179206,0.826181869,66123,1110006O24Rik,0.265594419,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,0.104297876,5.621849474,0.718333385,0.396691134,0.744130409,67388,Rab5if,0.104297876,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,-0.234289456,3.064867181,1.579983646,0.208763049,0.561796161,66132,Prorp,-0.234289456,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,-0.178800927,4.159453529,1.089539996,0.296573153,0.654820954,73737,Bbln,-0.178800927,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,0.015039352,3.365439807,0.007783768,0.929697319,0.984669833,68618,Eola1,0.015039352,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,-0.342622249,4.339342061,6.399201796,0.011417168,0.101349417,73721,Spmip6,-0.342622249,TRUE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.312439229,-0.171265821,0.525298603,0.468590159,0.792441253,68531,1110020A21Rik,0.312439229,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,-0.1519306,4.490808198,1.338164445,0.247357932,0.606627576,68721,Cfap68,-0.1519306,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,0.429697638,2.615626075,5.021631099,0.025032578,0.169795304,73747,Shld1,0.429697638,TRUE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,0.223368246,2.718153266,1.131182895,0.287523166,0.646744612,68763,1110038B12Rik,0.223368246,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,0.205172379,4.57056533,2.536167398,0.111264568,0.411518965,117171,1110038F14Rik,0.205172379,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.103245754,1.336702694,0.170351355,0.679799736,0.89787559,68808,1110046J04Rik,-0.103245754,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,-0.235146113,4.364807317,3.090802701,0.078735959,0.340048428,228356,Cstpp1,-0.235146113,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,0.005898749,4.596555227,0.002010197,0.964238652,0.992270184,118568607,1110059E24Rik,0.005898749,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.090739348,4.002206579,0.428124125,0.51291085,0.819548691,66202,1110059G10Rik,0.090739348,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,0.145752651,3.345532884,0.799793834,0.371155017,0.726160356,68920,1110065P20Rik,0.145752651,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,0.096422109,6.886635352,0.566419666,0.451685164,0.784178769,68861,Dipk2a,0.096422109,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.440507942,-0.26070813,1.354695609,0.244458899,0.604200493,68918,1190005I06Rik,-0.440507942,FALSE
ENSMUSG00000063320,ENSMUSG00000063320,1190007I07Rik,0.248263172,1.410933758,0.784831119,0.375667672,0.72891671,544717,Uqcc6,0.248263172,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,0.260359816,4.026106464,2.539126181,0.111056232,0.41136622,100043489,1300002E11Rik,0.260359816,FALSE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,0.260762737,2.167727085,1.214877186,0.270368354,0.630530311,319830,1500004A13Rik,0.260762737,FALSE
ENSMUSG00000087651,ENSMUSG00000087651,1500009L16Rik,-1.046789264,1.464058483,12.45773824,0.000416264,0.008940836,69784,1500009L16Rik,-1.046789264,TRUE
ENSMUSG00000072694,ENSMUSG00000072694,1500011B03Rik,-0.367269807,3.296033203,4.310989623,0.037866927,0.219572135,330173,1500011B03Rik,-0.367269807,TRUE
ENSMUSG00000051319,ENSMUSG00000051319,1500011K16Rik,-0.022058752,4.134127065,0.026763701,0.870049075,0.965420701,67885,Mtln,-0.022058752,FALSE
ENSMUSG00000098702,ENSMUSG00000098702,1500015A07Rik,0.145148481,1.934411128,0.342691216,0.558279905,0.841791013,68982,1500015A07Rik,0.145148481,FALSE
ENSMUSG00000026051,ENSMUSG00000026051,1500015O10Rik,-1.625649882,-0.152728522,10.79119007,0.001019843,0.017423399,78896,Ecrg4,-1.625649882,TRUE
ENSMUSG00000059631,ENSMUSG00000059631,1500035N22Rik,-0.692558156,0.550853943,4.975734429,0.025705288,0.172400067,70258,1500035N22Rik,-0.692558156,TRUE
ENSMUSG00000035595,ENSMUSG00000035595,1600002K03Rik,0.242627229,2.325511433,1.345867938,0.24600179,0.605540646,69770,Fam174c,0.242627229,FALSE
ENSMUSG00000101585,ENSMUSG00000101585,1600010M07Rik,-0.475688457,-0.008053362,1.292205545,0.255641894,0.614376567,69781,1600010M07Rik,-0.475688457,FALSE
ENSMUSG00000050088,ENSMUSG00000050088,1600012H06Rik,-0.067523236,5.391477087,0.440500895,0.506880794,0.815960221,67912,1600012H06Rik,-0.067523236,FALSE
ENSMUSG00000054676,ENSMUSG00000054676,1600014C10Rik,-0.250187566,4.589051285,3.984129247,0.045930835,0.247129109,72244,1600014C10Rik,-0.250187566,TRUE
ENSMUSG00000029182,ENSMUSG00000029182,1700001C02Rik,-0.247727632,2.57765647,1.265594264,0.260594823,0.620153804,75434,Cimip2c,-0.247727632,FALSE
ENSMUSG00000021534,ENSMUSG00000021534,1700001L19Rik,-0.431582993,1.870612361,3.028870361,0.081794946,0.346623174,69315,Cfap90,-0.431582993,FALSE
ENSMUSG00000044320,ENSMUSG00000044320,1700001O22Rik,-0.250705782,0.410232726,0.515163195,0.47291225,0.795195382,73598,1700001O22Rik,-0.250705782,FALSE
ENSMUSG00000030030,ENSMUSG00000030030,1700003E16Rik,-0.032787721,2.975569122,0.026981093,0.869527079,0.965152104,71837,1700003E16Rik,-0.032787721,FALSE
ENSMUSG00000057816,ENSMUSG00000057816,1700007G11Rik,-0.257292034,2.185488523,1.414839391,0.234254685,0.59299802,75784,Cfap299,-0.257292034,FALSE
ENSMUSG00000086330,ENSMUSG00000086330,1700007J10Rik,0.492674101,0.372194353,1.614378835,0.203877364,0.557437251,69320,1700007J10Rik,0.492674101,FALSE
ENSMUSG00000026831,ENSMUSG00000026831,1700007K13Rik,-0.032789462,3.941069312,0.027791917,0.867598961,0.964593324,69327,Pierce1,-0.032789462,FALSE
ENSMUSG00000101225,ENSMUSG00000101225,1700008J07Rik,-0.11541679,1.681924458,0.215257717,0.642677304,0.880552697,629159,1700008J07Rik,-0.11541679,FALSE
ENSMUSG00000023873,ENSMUSG00000023873,1700010I14Rik,-0.519261166,0.684319542,2.292765344,0.129978161,0.447189281,66931,1700010I14Rik,-0.519261166,FALSE
ENSMUSG00000031927,ENSMUSG00000031927,1700012B09Rik,-0.728586025,0.61642371,5.869721852,0.015403485,0.124905777,69325,1700012B09Rik,-0.728586025,TRUE
ENSMUSG00000110424,ENSMUSG00000110424,1700012D14Rik,0.077771866,0.816388663,0.060602755,0.805545785,0.942357242,75479,Zbed5-ps,0.077771866,FALSE
ENSMUSG00000027886,ENSMUSG00000027886,1700013F07Rik,-0.325284469,1.685008553,1.594545466,0.206677914,0.559458549,75504,Cfap276,-0.325284469,FALSE
ENSMUSG00000053783,ENSMUSG00000053783,1700016K19Rik,-0.131418692,3.487238877,0.611674519,0.43415802,0.770357489,74230,Liat1,-0.131418692,FALSE
ENSMUSG00000032300,ENSMUSG00000032300,1700017B05Rik,-0.205400146,5.146036767,1.94892023,0.162703254,0.500060865,74211,1700017B05Rik,-0.205400146,FALSE
ENSMUSG00000038408,ENSMUSG00000038408,1700018A04Rik,-0.070012637,0.367638169,0.037049701,0.847363892,0.958762544,71307,1700018A04Rik,-0.070012637,FALSE
ENSMUSG00000043629,ENSMUSG00000043629,1700019D03Rik,0.499168688,0.79132781,2.260032126,0.132751307,0.451826216,67080,1700019D03Rik,0.499168688,FALSE
ENSMUSG00000035085,ENSMUSG00000035085,1700020L24Rik,1.399591225,1.944743469,20.19508964,6.99E-06,0.000391416,66330,1700020L24Rik,1.399591225,TRUE
ENSMUSG00000100253,ENSMUSG00000100253,1700020N18Rik,-0.450082653,1.303601164,1.698901671,0.192431677,0.544359974,67086,1700020N18Rik,-0.450082653,FALSE
ENSMUSG00000019797,ENSMUSG00000019797,1700021F05Rik,0.199707272,3.154709106,1.170311444,0.279337256,0.638589623,67851,Mtres1,0.199707272,FALSE
ENSMUSG00000107053,ENSMUSG00000107053,1700021F13Rik,0.573646747,-0.714942578,1.526339452,0.21666266,0.569975217,433945,1700021F13Rik,0.573646747,FALSE
ENSMUSG00000097523,ENSMUSG00000097523,1700022N22Rik,-0.446719924,-0.947170456,0.638642851,0.424202668,0.764453927,69431,1700022N22Rik,-0.446719924,FALSE
ENSMUSG00000072473,ENSMUSG00000072473,1700024G13Rik,-0.194528433,2.376277018,0.846433488,0.357563249,0.714836234,67085,1700024G13Rik,-0.194528433,FALSE
ENSMUSG00000032666,ENSMUSG00000032666,1700025G04Rik,-0.149366993,4.940412465,0.99538851,0.318428932,0.676700735,69399,1700025G04Rik,-0.149366993,FALSE
ENSMUSG00000063838,ENSMUSG00000063838,1700027J19Rik,0.171801507,2.91759089,0.792308022,0.373403141,0.727026966,58804,Cdc42ep5,0.171801507,FALSE
ENSMUSG00000097321,ENSMUSG00000097321,1700028E10Rik,0.071497844,0.34725114,0.039424338,0.842610365,0.956397161,625175,1700028E10Rik,0.071497844,FALSE
ENSMUSG00000033053,ENSMUSG00000033053,1700028P14Rik,-0.385472654,1.274949357,1.981123696,0.159272078,0.496149503,67483,Cfap95,-0.385472654,FALSE
ENSMUSG00000044916,ENSMUSG00000044916,1700029I15Rik,-0.024883166,0.359794967,0.005311112,0.941903699,0.987157889,75641,Frey1,-0.024883166,FALSE
ENSMUSG00000071103,ENSMUSG00000071103,1700029J07Rik,0.004620646,2.800987082,0.000475471,0.98260326,0.997614145,69479,Cfap96,0.004620646,FALSE
ENSMUSG00000099759,ENSMUSG00000099759,1700030C10Rik,0.456492895,1.667169846,2.83983205,0.091953825,0.369164412,69513,1700030C10Rik,0.456492895,FALSE
ENSMUSG00000031847,ENSMUSG00000031847,1700030J22Rik,-0.07138924,2.187092757,0.087544458,0.767322392,0.927802756,69528,1700030J22Rik,-0.07138924,FALSE
ENSMUSG00000052794,ENSMUSG00000052794,1700030K09Rik,0.139701987,2.827364072,0.578770241,0.446794751,0.780137214,72254,1700030K09Rik,0.139701987,FALSE
ENSMUSG00000055833,ENSMUSG00000055833,1700034H15Rik,0.118439857,0.262779682,0.090074565,0.764082383,0.927214994,98736,1700034H15Rik,0.118439857,FALSE
ENSMUSG00000005983,ENSMUSG00000005983,1700037C18Rik,-0.201536223,1.794997835,0.664319374,0.415039171,0.75764766,105246059,1700037C18Rik,-0.201536223,FALSE
ENSMUSG00000027327,ENSMUSG00000027327,1700037H04Rik,0.002332183,4.42788464,0.000330473,0.985496114,0.997822882,67326,Adissp,0.002332183,FALSE
ENSMUSG00000085637,ENSMUSG00000085637,1700048M11Rik,1.001669528,-0.865080942,3.651203465,0.056028713,0.278190949,100503166,1700048M11Rik,1.001669528,FALSE
ENSMUSG00000043773,ENSMUSG00000043773,1700048O20Rik,0.160767836,0.150262903,0.177398698,0.673618355,0.895260992,69430,1700048O20Rik,0.160767836,FALSE
ENSMUSG00000044854,ENSMUSG00000044854,1700056E22Rik,0.020159338,-0.506963358,0.001983567,0.964476153,0.99242731,73363,1700056E22Rik,0.020159338,FALSE
ENSMUSG00000024209,ENSMUSG00000024209,1700061G19Rik,-0.742636615,-0.28940761,3.443556089,0.063498882,0.300647414,78625,Acsbg3,-0.742636615,FALSE
ENSMUSG00000073598,ENSMUSG00000073598,1700066B19Rik,-0.448440593,-0.363049668,1.097489427,0.294817731,0.653343986,73449,Smim33,-0.448440593,FALSE
ENSMUSG00000038323,ENSMUSG00000038323,1700066M21Rik,-0.12016455,3.11512854,0.442049406,0.50613495,0.815592817,73467,1700066M21Rik,-0.12016455,FALSE
ENSMUSG00000090307,ENSMUSG00000090307,1700071M16Rik,-0.502317436,-0.310653993,1.231775671,0.26706199,0.627488299,73504,1700071M16Rik,-0.502317436,FALSE
ENSMUSG00000097080,ENSMUSG00000097080,1700086O06Rik,0.165337281,1.387138869,0.384930612,0.534976197,0.830976842,73516,1700086O06Rik,0.165337281,FALSE
ENSMUSG00000033029,ENSMUSG00000033029,1700088E04Rik,0.084584902,2.623926146,0.183132672,0.66869478,0.891980695,27660,1700088E04Rik,0.084584902,FALSE
ENSMUSG00000085407,ENSMUSG00000085407,1700095J03Rik,0.122467717,-0.033754122,0.09478446,0.758180608,0.925279326,74293,1700095J03Rik,0.122467717,FALSE
ENSMUSG00000101856,ENSMUSG00000101856,1700096K18Rik,0.2908072,1.625849361,1.367078572,0.24231446,0.601477175,73571,1700096K18Rik,0.2908072,FALSE
ENSMUSG00000099474,ENSMUSG00000099474,1700097N02Rik,-0.409929026,0.599437408,1.469295963,0.225456808,0.581137845,67522,1700097N02Rik,-0.409929026,FALSE
ENSMUSG00000032611,ENSMUSG00000032611,1700102P08Rik,-0.170779848,-0.550037466,0.187985642,0.664598465,0.889846928,112418,1700102P08Rik,-0.170779848,FALSE
ENSMUSG00000008307,ENSMUSG00000008307,1700109H08Rik,0.050396791,0.96802744,0.016733281,0.897075027,0.97362291,77036,1700109H08Rik,0.050396791,FALSE
ENSMUSG00000097267,ENSMUSG00000097267,1700109K24Rik,0.755950484,-0.675956227,2.519868481,0.11241996,0.414401043,74303,1700109K24Rik,0.755950484,FALSE
ENSMUSG00000096935,ENSMUSG00000096935,1700113A16Rik,0.345877293,0.353912928,1.009489031,0.315025282,0.673619554,76642,1700113A16Rik,0.345877293,FALSE
ENSMUSG00000100599,ENSMUSG00000100599,1700120C14Rik,0.474063781,-0.616481978,0.908751759,0.340445831,0.697634049,73600,1700120C14Rik,0.474063781,FALSE
ENSMUSG00000040822,ENSMUSG00000040822,1700123O20Rik,-0.034018519,4.469741857,0.068250042,0.793901966,0.937916392,58248,1700123O20Rik,-0.034018519,FALSE
ENSMUSG00000100094,ENSMUSG00000100094,1810008I18Rik,-0.049339377,0.633727992,0.016856759,0.896698092,0.973540195,100503969,1810008I18Rik,-0.049339377,FALSE
ENSMUSG00000071653,ENSMUSG00000071653,1810009A15Rik,0.037713155,2.153598599,0.031198597,0.85979805,0.962471337,66276,1810009A15Rik,0.037713155,FALSE
ENSMUSG00000109305,ENSMUSG00000109305,1810010D01Rik,-0.126016089,1.831966029,0.321782448,0.570538423,0.847373241,100040049,Smim38,-0.126016089,FALSE
ENSMUSG00000078607,ENSMUSG00000078607,1810010H24Rik,0.35396504,5.708298379,7.139597207,0.007540009,0.075177687,69066,1810010H24Rik,0.35396504,TRUE
