	B_cell	Dendritic_cells	Granulocytes	Macrophage	Monocytes	NK	T_cell	CD4_T_cell	CD8_T_cell	NKT	Tgd	B1_cell	Follicular_B	Germinal_center_B	Marginal_Zone_B	Memory_B	Plasma_cell	cDC1	cDC2	MoDC	pDC	Basophil	Eosinophil	mast_cell	Neutrophils	M1_macrophage	M2_macrophage	CD4_Tm	Naive_CD4_T	T_helper_cell	Treg	CD8_Tc	CD8_Tcm	CD8_Tem	CD8_Tex	Naive_CD8_T	Infiltration_score
X88	0.26	0.1619	0.195	0.0599	0.0667	0.1699	0.0867	0.0225	0.0277	0.0109	0.0256	0.0043	0.0426	0.0344	0	0.1022	0.0766	0.0242	0.0507	0.0607	0.0263	0.0465	0.1023	0.0215	0.0247	0.0358	0.0241	0	0.0085	0.0116	0.0024	0.0079	0.0095	0.0022	0.0015	0.0066	1.779
X89	0.2317	0.1544	0.2015	0.061	0.0403	0.2479	0.0632	0.0131	0.0223	0.0148	0.013	0	0.015	0.0446	0	0.084	0.0882	0.0237	0.0505	0.058	0.0221	0.041	0.1	0.0309	0.0295	0.025	0.036	0	0.0046	0.0067	0.0018	0.0046	0.0087	0.0023	0.0012	0.0056	0.644
X90	0.1937	0.1541	0.2098	0.0996	0.0523	0.2454	0.0451	0.0063	0.0176	0.0127	0.0085	0	0.0174	0.032	0	0.0606	0.0837	0.0217	0.0522	0.0595	0.0207	0.0324	0.0881	0.0271	0.0622	0.0452	0.0544	0	0.002	0.0031	0.0012	0.0044	0.0065	0.0011	0.001	0.0045	1.069
X92	0.3227	0.1176	0.1958	0.018	0.0029	0.2022	0.1408	0.0451	0.0349	0.0228	0.0379	0.0244	0.0627	0.0184	0.0023	0.1295	0.0855	0.0153	0.0387	0.0445	0.0192	0.0509	0.0974	0.0061	0.0413	0.0119	0.0061	0.0012	0.0187	0.0201	0.0052	0.0065	0.0128	0.0039	0.0024	0.0093	2.809
X93	0.2797	0.1376	0.1995	0.0534	0.025	0.2018	0.1029	0.0284	0.0305	0.0172	0.0268	0.0112	0.0474	0.0283	0.0024	0.1077	0.0828	0.0192	0.0473	0.0534	0.0178	0.0448	0.0939	0.0167	0.0441	0.0186	0.0348	0	0.0089	0.0138	0.0058	0.0065	0.0115	0.0023	0.0015	0.0087	2.058
X94	0.2927	0.1392	0.1873	0.0229	0.0143	0.2108	0.1329	0.0277	0.0474	0.0273	0.0305	0.0226	0.0441	0.0191	7e-04	0.1083	0.098	0.0178	0.0454	0.0546	0.0215	0.0506	0.095	0.0283	0.0134	0.0083	0.0146	0	0.0109	0.0116	0.0052	0.0094	0.0173	0.0046	0.0042	0.0118	2.734
X97	0.3061	0.1107	0.2121	0.0305	0.0288	0.1862	0.1256	0.0243	0.0375	0.0117	0.0521	0.0224	0.0466	0.0134	0.0119	0.1102	0.1016	0.0121	0.0386	0.0445	0.0155	0.0493	0.0979	0.0259	0.039	0.0166	0.0139	1e-04	0.0092	0.0121	0.0028	0.0072	0.0127	0.006	0.0021	0.0095	2.494
X99	0.2424	0.1554	0.179	0.2055	0.0299	0.1244	0.0633	0.0105	0.0288	0.0176	0.0063	0	0.0256	0.0186	0	0.0755	0.1227	0.0219	0.0526	0.0615	0.0193	0.0362	0.0861	0.053	0.0037	0.079	0.1265	0	0.0032	0.006	0.0013	0.0081	0.0096	0.0035	8e-04	0.0069	2.895
X101	0.2522	0.137	0.1963	0.1135	0.0492	0.2148	0.0369	0.0059	0.0178	0.0073	0.0059	0	0.014	0.0295	0	0.0861	0.1226	0.018	0.0463	0.0532	0.0195	0.0393	0.0929	0.0476	0.0164	0.0416	0.0719	0	0.002	0.003	0.001	0.0049	0.0062	0.0018	7e-04	0.0041	1.646
X103	0.2928	0.1232	0.1845	0.1656	0.0264	0.1444	0.063	0.0121	0.0281	0.0229	0	0.0107	0.0464	0.0136	0	0.1038	0.1184	0.0123	0.0424	0.0497	0.0188	0.0393	0.0835	0.0499	0.0118	0.0753	0.0903	0	0.0037	0.0072	0.0011	0.0071	0.0095	0.0033	0.0012	0.007	4.021
