Gene_Symbol	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0.5059	0.5527	0.2252	0.6196	0.7295	0.5812	0.449	0.714	0.7898	0.9581	0.8743	0.575	0.7269	1.0922	0.7963
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338
Gm37363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0.0665	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0.0783	0	0.0729	0.0557	0	0	0	0	0	0
Gm7341	0	0.1819	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	0	0	0.0936	0	0.0455	0	0.0254	0	0	0.0471	0	0	0	0	0.0876
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0.1076	0.1235	0	0.0989	0.1086	0	0.0608	0	0.084	0	0.1149	0.107	0	0	0.0698
Rp1	2.5281	2.3255	2.1795	2.8589	2.4675	2.3146	3.0778	2.3277	3.1929	3.0327	2.7749	2.8108	2.9278	2.7968	3.7406
Gm6101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0.1035	0	0	0	0	0
Sox17	35.3171	42.7374	36.6764	41.3709	39.561	30.9362	41.1428	34.8678	36.7432	33.066	43.4126	35.2173	40.8249	42.4332	48.0906
Gm37587	0.302	0.3464	0.0523	0.4623	0.254	0.0552	0.0853	0	0.1571	0.316	0.2149	0.6507	0.1381	0.2194	0.2609
Gm7357	0.3927	0.7883	0.5607	1.6231	0.7927	0.4844	0.9979	0.4013	0.4215	0.7705	0.9431	0.7322	0.1346	0.3851	0.7634
Gm22307	4.1161	0	2.8497	7.5617	2.7698	6.0183	2.3246	1.4022	0	1.4359	2.9291	2.7292	0	2.3925	0.8892
Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
