Gene,S4,S5,S6,S7,S8,S9,S11,S13,S14,SYMBOL
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,4933401J01Rik
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,Gm26206
ENSMUSG00000051951,0.5059,0.5527,0.2252,0.6196,0.7295,0.5812,0.449,0.714,0.7898,Xkr4
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,Gm18956
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0,Gm37180
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0,Gm37363
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,Gm37686
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,Gm1992
ENSMUSG00000103201,0,0,0,0,0,0.0783,0,0.0729,0.0557,Gm37329
ENSMUSG00000103147,0,0.1819,0,0,0,0,0,0,0,Gm7341
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,Gm38148
ENSMUSG00000102331,0,0,0.0936,0,0.0455,0,0.0254,0,0,Gm19938
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,Gm10568
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,Gm38385
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,Gm27396
ENSMUSG00000102343,0.1076,0.1235,0,0.0989,0.1086,0,0.0608,0,0.084,Gm37381
ENSMUSG00000025900,2.5281,2.3255,2.1795,2.8589,2.4675,2.3146,3.0778,2.3277,3.1929,Rp1
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,Gm6101
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,Gm37483
ENSMUSG00000025902,35.3171,42.7374,36.6764,41.3709,39.561,30.9362,41.1428,34.8678,36.7432,Sox17
ENSMUSG00000104238,0.302,0.3464,0.0523,0.4623,0.254,0.0552,0.0853,0,0.1571,Gm37587
ENSMUSG00000102269,0.3927,0.7883,0.5607,1.6231,0.7927,0.4844,0.9979,0.4013,0.4215,Gm7357
ENSMUSG00000096126,4.1161,0,2.8497,7.5617,2.7698,6.0183,2.3246,1.4022,0,Gm22307
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,Gm38076
ENSMUSG00000104328,0.1059,0.1215,0.055,0.0486,0.0534,0.0581,0,0,0.0413,Gm37323
ENSMUSG00000102735,0,0,0,0,0,0,0.0886,0,0,Gm7369
ENSMUSG00000098104,0.1997,0.2291,0.1037,0.4587,0.3024,0.219,0.4512,0,0.1559,Gm6085
ENSMUSG00000102175,0,0,0,0.1118,0.1229,0.1335,0,0,0,Gm6119
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,Gm25493
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,Gm2053
ENSMUSG00000103922,0.2747,0.1575,0.8557,0.3784,0.4159,0.3012,0.2327,0.2807,0.6432,Gm6123
ENSMUSG00000033845,6.5385,6.5085,6.3591,6.2921,6.6348,6.1839,5.5489,6.2758,6.8461,Mrpl15
ENSMUSG00000102275,0.8936,1.318,2.1211,1.1726,1.0308,0.56,0.9373,0.7828,0.6976,Gm37144
ENSMUSG00000025903,26.3408,26.045,22.127,21.6667,22.1082,23.4781,23.1849,25.7653,28.5499,Lypla1
ENSMUSG00000104217,0.5338,0.4083,0.1848,0,0.7185,0.1951,0.402,0,0.2778,Gm37988
ENSMUSG00000033813,83.5971,75.5801,60.1336,73.7054,68.3204,75.9324,70.3246,76.435,78.6668,Tcea1
ENSMUSG00000062588,0.2435,0.2793,0.2528,0.6709,1.2287,1.6019,0.825,0.2488,0.7602,Gm6104
ENSMUSG00000103280,0,0,0,0.4855,0,0.2898,0.0746,0,0.5158,Gm37277
ENSMUSG00000002459,0.2424,0.0397,0.1798,0.1909,0.0699,0.1519,0.1369,0.177,0.1081,Rgs20
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,Gm17100
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0,Gm37079
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0,Gm16041
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,Gm17101
ENSMUSG00000033793,17.4582,16.8823,16.9726,15.8844,16.2232,17.2123,16.3848,21.9988,19.6841,Atp6v1h
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,Gm7182
ENSMUSG00000104046,0,0,0,0,0,0,0.0364,0.0658,0,Gm37567
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,Gm38264
ENSMUSG00000025905,0,0,0,0,0,0,0,0.0164,0.0125,Oprk1
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,Gm36965
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,Gm22463
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,Gm37429
ENSMUSG00000033774,0.0795,0.0912,0.1652,0.1096,0.0803,0.1308,0.1572,0.1626,0.1242,Npbwr1
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,Gm19214
ENSMUSG00000025907,18.5981,17.9987,13.9795,18.9012,17.3301,18.8387,19.2631,18.6906,20.0258,Rb1cc1
ENSMUSG00000090031,2.4612,2.6993,1.9661,2.9067,2.7573,2.1948,2.4287,2.3771,2.0479,4732440D04Rik
ENSMUSG00000087247,11.944,14.2219,19.1552,13.4712,16.4817,15.7508,10.6734,15.7607,18.6477,Alkal1
ENSMUSG00000103355,0.2297,0.2636,0.2386,0.4221,1.3914,0.7558,0.6488,0,0.538,Gm2147
ENSMUSG00000102706,0.3104,1.4242,0.967,0,1.2531,0.3404,0.3506,0.3172,0.4846,Gm7417
ENSMUSG00000103845,0,0,0,0,0.0327,0,0,0,0,Gm19026
ENSMUSG00000033740,0.0454,0.1042,0.0236,0.1252,0.1146,0.0747,0.0898,0.3714,0.1064,St18
ENSMUSG00000103329,0,0,0,0,0,0.0552,0.0284,0,0,Gm42492
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,Gm7449
ENSMUSG00000102135,0.469,0,0.2435,0.6463,0,0.5143,0.1324,0.719,0.1831,Gm37108
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,Gm37275
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,Gm37225
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,Gm37489
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,Gm5694
ENSMUSG00000051285,46.4863,43.3296,36.8654,51.395,45.3412,47.6871,47.7231,42.4582,46.1571,Pcmtd1
ENSMUSG00000098201,0.3784,0,0,0,0.3819,0,0,0,0.2954,Gm26983
ENSMUSG00000103509,1.4579,1.2961,0.4163,1.9083,1.9498,1.3989,2.1613,1.2292,1.3941,Gm38372
ENSMUSG00000048538,0.113,0,0.1174,0,0,0.1239,0.1915,0,0,Gm9826
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,Nras-ps2
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,Gm23274
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,Gm19002
ENSMUSG00000097797,0,0.1164,0.0703,0,0.1025,0.1484,0.0191,0,0.0264,Gm26901
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,Gm18984
ENSMUSG00000103067,0,0,0,0.0519,0.0571,0.062,0,0,0.0441,Gm30414
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,Gm37791
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,Gm7470
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,Rps2-ps2
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,Gm38216
ENSMUSG00000025909,0.0269,0.0154,0,0.0124,0,0,0,0.0275,0,Sntg1
ENSMUSG00000102647,0,0,0,0,0,0,0,0,0,Gm38024
ENSMUSG00000086235,1.101,1.2631,0.3811,1.0114,1.1114,0.4025,0.8291,1.8754,0.8595,Gm16284
ENSMUSG00000102253,0,0,0,0,0,0,0,0,0,Gm38259
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,Gm23358
ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,Gm37005
ENSMUSG00000084353,0,0,0,0,1.2349,0,0,0,0,Gm15452
ENSMUSG00000103933,0.7414,0,0,0.6811,0,0,0.4187,1.5155,0,Gm36964
ENSMUSG00000076135,1.3346,1.531,1.386,1.2259,0,1.4635,0.7537,0,1.0418,Gm24276
