"source","name","ngenes","pvalue_adjust"
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,4.15098154975059e-20
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,4.15098154975059e-20
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,4.93162423146411e-16
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,4.93162423146411e-16
"M2","ZENG_GU_POST_ICB_METAGENE_39",192,3.19636972210358e-15
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,1.07599480689789e-14
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,1.07599480689789e-14
"M2","LIAN_LIPA_TARGETS_6M",84,1.25942208744652e-13
"M5","GOCC_CORNIFIED_ENVELOPE",51,2.18822410617005e-13
"M3","GOCC_CORNIFIED_ENVELOPE",51,2.18822410617005e-13
"M2","NABA_MATRISOME",941,1.25942208744652e-13
"M2","HOLLERN_SQUAMOUS_BREAST_TUMOR",158,1.33318173448644e-13
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",36,1.83397361781769e-13
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1376,2.64971738625876e-13
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1148,3.04421115615998e-13
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",356,1.55748394926359e-12
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",356,1.55748394926359e-12
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",49,5.64185273780307e-13
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",452,6.29650677780361e-13
"M2","REACTOME_COMPLEMENT_CASCADE",71,2.30155856692294e-12
"M2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",233,5.04229132297538e-12
"M8","ZHANG_UTERUS_C5_MACROPHAGE",157,1.54004356933658e-11
"M2","LIAN_LIPA_TARGETS_3M",67,1.44197561030224e-11
"MH","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",189,7.14425367688444e-12
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",37,4.21381161740341e-10
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",37,4.21381161740341e-10
"M2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",41,7.74944146206898e-11
"M5","GOBP_SENSORY_PERCEPTION",655,1.18532207303902e-09
"M3","GOBP_SENSORY_PERCEPTION",655,1.18532207303902e-09
"M2","REACTOME_FCGR_ACTIVATION",41,3.63472883790292e-10
"M8","ZHANG_UTERUS_C12_MONOCYTE",160,3.71722495570798e-10
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",168,4.57866129210938e-09
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",168,4.57866129210938e-09
"M5","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",475,9.05282103799342e-09
"M3","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",475,9.05282103799342e-09
