"source","name","ngenes","pvalue_adjust"
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,5.55244939100566e-26
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,5.55244939100566e-26
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",51,2.64070339942341e-20
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",38,9.1121798140043e-19
"M2","ZENG_GU_POST_ICB_METAGENE_39",188,3.74990401521591e-17
"M2","HOLLERN_SQUAMOUS_BREAST_TUMOR",158,4.13804893090316e-17
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",361,8.36711057848545e-15
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",361,8.36711057848545e-15
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,1.62790612875698e-14
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,1.62790612875698e-14
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.96090268016867e-14
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.96090268016867e-14
"M2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",43,5.0957045041286e-15
"M2","REACTOME_COMPLEMENT_CASCADE",77,2.60390442736746e-14
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,3.16654389539563e-13
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,3.16654389539563e-13
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",194,1.13037312271631e-12
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",194,1.13037312271631e-12
"M2","REACTOME_FCGR_ACTIVATION",45,3.83237415973687e-12
"M2","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",66,3.83237415973687e-12
"M5","GOMF_ANTIGEN_BINDING",131,2.19064775714566e-11
"M3","GOMF_ANTIGEN_BINDING",131,2.19064775714566e-11
"M2","NABA_MATRISOME",933,5.76200246021021e-12
"M2","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",50,7.89694963652869e-12
"M2","LIAN_LIPA_TARGETS_6M",84,2.2887988163552e-11
"M5","GOCC_CORNIFIED_ENVELOPE",51,1.9536882334391e-10
"M3","GOCC_CORNIFIED_ENVELOPE",51,1.9536882334391e-10
"M2","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",75,7.97267981849735e-11
"M2","REACTOME_CD22_MEDIATED_BCR_REGULATION",37,8.97255135548942e-11
"M2","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",55,1.06361857254648e-10
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING",18,8.45452678045003e-10
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING",18,8.45452678045003e-10
"M2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",229,7.89223056657311e-10
"M2","LIAN_LIPA_TARGETS_3M",67,1.02427042180149e-09
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1382,1.71628505562159e-09
"M5","GOBP_SENSORY_PERCEPTION",646,1.28652336576011e-08
"M3","GOBP_SENSORY_PERCEPTION",646,1.28652336576011e-08
"M2","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",58,3.12226455330773e-09
"M5","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",469,1.90722381696788e-08
"M3","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",469,1.90722381696788e-08
"M2","NABA_CORE_MATRISOME",248,4.32781225442356e-09
"M8","DESCARTES_ORGANOGENESIS_EPENDYMAL_CELL",265,9.18816171476452e-08
"M5","GOCC_IGA_IMMUNOGLOBULIN_COMPLEX",13,5.87516784003977e-07
"M3","GOCC_IGA_IMMUNOGLOBULIN_COMPLEX",13,5.87516784003977e-07
"M2","REACTOME_KERATINIZATION",82,1.38079446254858e-07
"MH","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",185,1.18165372075609e-07
"M2","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3",25,3.6012383993419e-07
"M2","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",51,8.25333557649638e-07
"M2","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",126,8.25333557649638e-07
"M2","HOLLERN_EMT_BREAST_TUMOR_DN",111,8.58829810640669e-07
"M2","HUMMERICH_BENIGN_SKIN_TUMOR_DN",16,1.00082074380659e-06
