"source","name","ngenes","pvalue_adjust"
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,5.55244939100566e-26
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",223,5.55244939100566e-26
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",51,2.64070339942341e-20
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",38,9.1121798140043e-19
"M2","ZENG_GU_POST_ICB_METAGENE_39",188,3.74990401521591e-17
"M2","HOLLERN_SQUAMOUS_BREAST_TUMOR",158,4.13804893090316e-17
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",361,8.36711057848545e-15
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",361,8.36711057848545e-15
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,1.62790612875698e-14
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,1.62790612875698e-14
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.96090268016867e-14
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.96090268016867e-14
"M2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",43,5.0957045041286e-15
"M2","REACTOME_COMPLEMENT_CASCADE",77,2.60390442736746e-14
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,3.16654389539563e-13
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",238,3.16654389539563e-13
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",194,1.13037312271631e-12
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",194,1.13037312271631e-12
"M2","REACTOME_FCGR_ACTIVATION",45,3.83237415973687e-12
"M2","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",66,3.83237415973687e-12
"M5","GOMF_ANTIGEN_BINDING",131,2.19064775714566e-11
"M3","GOMF_ANTIGEN_BINDING",131,2.19064775714566e-11
"M2","NABA_MATRISOME",933,5.76200246021021e-12
"M2","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",50,7.89694963652869e-12
"M2","LIAN_LIPA_TARGETS_6M",84,2.2887988163552e-11
