"source","name","ngenes","pvalue_adjust"
"M2","ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE",185,2.31440313153703e-11
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",537,7.34311113189506e-12
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",211,2.45935596290991e-08
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",211,2.45935596290991e-08
"M8","DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES",183,3.16773697180522e-08
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",272,2.27808697191395e-06
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",272,2.27808697191395e-06
"M2","ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE",184,2.17335171029118e-05
"M2","ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_OVERLAP_UP",95,2.23394959588825e-05
"M2","ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_UP",97,3.11844019384011e-05
"M5","GOBP_LYMPHOCYTE_ACTIVATION",753,0.000414700639741247
"M3","GOBP_LYMPHOCYTE_ACTIVATION",753,0.000414700639741247
"M5","GOBP_ADAPTIVE_IMMUNE_RESPONSE",474,0.000414700639741247
"M3","GOBP_ADAPTIVE_IMMUNE_RESPONSE",474,0.000414700639741247
"M2","SWEET_LUNG_CANCER_KRAS_DN",392,0.00014592761346529
"M5","GOMF_UNFOLDED_PROTEIN_BINDING",74,0.00142243283201106
"M3","GOMF_UNFOLDED_PROTEIN_BINDING",74,0.00142243283201106
"M8","TABULA_MURIS_SENIS_BLADDER_ENDOTHELIAL_CELL_AGEING",368,9.52210724277624e-05
"M2","LEE_BMP2_TARGETS_DN",776,0.000460450577239365
"M5","GOBP_PROTEIN_FOLDING",146,0.0015890821354539
"M3","GOBP_PROTEIN_FOLDING",146,0.0015890821354539
"M5","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",452,0.0015890821354539
"M3","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",452,0.0015890821354539
"M5","GOCC_CONTRACTILE_MUSCLE_FIBER",223,0.0015890821354539
"M3","GOCC_CONTRACTILE_MUSCLE_FIBER",223,0.0015890821354539
