"source","name","ngenes","pvalue_adjust"
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",462,1.15834506824303e-33
"M5","GOCC_EXTRACELLULAR_SPACE",1481,5.97079905326825e-30
"M3","GOCC_EXTRACELLULAR_SPACE",1481,5.97079905326825e-30
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",227,1.65488457658853e-26
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",227,1.65488457658853e-26
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",586,1.03937715552834e-24
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1387,3.12937686046047e-20
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,1.32248112288676e-19
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,1.32248112288676e-19
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,1.37702512771843e-18
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,1.37702512771843e-18
"M5","GOCC_RIBONUCLEOPROTEIN_COMPLEX",652,1.24480524063014e-17
"M3","GOCC_RIBONUCLEOPROTEIN_COMPLEX",652,1.24480524063014e-17
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING",1027,4.32560817283111e-18
"M5","GOMF_ANTIGEN_BINDING",122,4.77716712026364e-17
"M3","GOMF_ANTIGEN_BINDING",122,4.77716712026364e-17
"M8","TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING",961,1.38965721889282e-17
"M2","NABA_MATRISOME",921,1.08520183352237e-15
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",189,2.51821450897178e-15
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",189,2.51821450897178e-15
"M8","TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING",970,3.34742401545233e-16
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",241,9.21405415304394e-15
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",241,9.21405415304394e-15
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.4370929687391e-14
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.4370929687391e-14
"M5","GOCC_RIBOSOME",228,7.76027314322038e-14
"M3","GOCC_RIBOSOME",228,7.76027314322038e-14
"M2","REACTOME_TRANSLATION",206,5.91822231654406e-14
"M8","TABULA_MURIS_SENIS_SKIN_BASAL_CELL_OF_EPIDERMIS_AGEING",841,6.35771823883321e-15
"M5","GOCC_RIBOSOMAL_SUBUNIT",184,1.35892870759713e-13
"M3","GOCC_RIBOSOMAL_SUBUNIT",184,1.35892870759713e-13
"M5","GOMF_ODORANT_BINDING",61,1.63040440907549e-13
"M3","GOMF_ODORANT_BINDING",61,1.63040440907549e-13
"M5","GOBP_ADAPTIVE_IMMUNE_RESPONSE",492,1.63040440907549e-13
"M3","GOBP_ADAPTIVE_IMMUNE_RESPONSE",492,1.63040440907549e-13
"M5","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",159,3.36657682205739e-13
"M3","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",159,3.36657682205739e-13
"M2","REACTOME_METABOLISM_OF_RNA",510,1.0196563509544e-12
"M8","TABULA_MURIS_SENIS_SKIN_BULGE_KERATINOCYTE_AGEING",771,1.03231027960686e-13
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",36,1.43514113527894e-12
"M2","SWEET_LUNG_CANCER_KRAS_DN",411,3.75832035897172e-12
"M2","LIAN_LIPA_TARGETS_6M",82,6.00699800892663e-12
"M2","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,6.00699800892663e-12
"M5","GOBP_SENSORY_PERCEPTION",649,2.08206268605797e-11
"M3","GOBP_SENSORY_PERCEPTION",649,2.08206268605797e-11
"M5","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",463,2.40874194185846e-11
"M3","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",463,2.40874194185846e-11
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1176,1.22914220007319e-11
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING",690,2.71729667538287e-12
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",47,1.72657480239901e-11
"M5","GOBP_RNA_PROCESSING",771,4.25658492241128e-11
"M3","GOBP_RNA_PROCESSING",771,4.25658492241128e-11
"M5","GOCC_CYTOSOLIC_RIBOSOME",120,6.5993024232929e-11
"M3","GOCC_CYTOSOLIC_RIBOSOME",120,6.5993024232929e-11
"M5","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",394,8.64425881387566e-11
"M3","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",394,8.64425881387566e-11
"M8","ZHANG_UTERUS_C7_EPITHELIAL2_CELL",730,1.05905562440345e-11
"M2","REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC",92,9.79346931197486e-11
"M2","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",106,1.39779062799708e-10
"M2","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",112,1.39779062799708e-10
"M2","NABA_MATRISOME_ASSOCIATED",665,1.53683679570188e-10
"M2","REACTOME_FCGR_ACTIVATION",43,3.32712684860613e-10
"M2","REACTOME_COMPLEMENT_CASCADE",73,4.61307394286166e-10
"M2","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",52,4.66256822584708e-10
"M2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",44,4.76660401857621e-10
"M2","LIAN_LIPA_TARGETS_3M",65,6.44074517332828e-10
"M2","MIKKELSEN_MEF_HCP_WITH_H3K27ME3",527,7.10213596201636e-10
"M8","TABULA_MURIS_SENIS_THYMUS_THYMOCYTE_AGEING",601,1.99677573916919e-10
"M2","REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL",165,9.25889597457219e-10
"M8","TABULA_MURIS_SENIS_KIDNEY_EPITHELIAL_CELL_OF_PROXIMAL_TUBULE_AGEING",349,2.68423831439368e-10
"M5","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",373,5.64898654451988e-09
"M3","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",373,5.64898654451988e-09
"M8","TABULA_MURIS_SENIS_LUNG_CLASSICAL_MONOCYTE_AGEING",378,3.45031757636422e-10
"M8","TABULA_MURIS_SENIS_DIAPHRAGM_MESENCHYMAL_STEM_CELL_AGEING",339,3.45031757636422e-10
"M2","ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE",192,2.63482901361993e-09
"M8","TABULA_MURIS_SENIS_HEART_AND_AORTA_ENDOTHELIAL_CELL_OF_CORONARY_ARTERY_AGEING",230,6.64658227965691e-10
"M2","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",50,3.64944091063749e-09
"M2","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",78,4.02581389541834e-09
"M2","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",55,4.02581389541834e-09
"M8","TABULA_MURIS_SENIS_BLADDER_BLADDER_CELL_AGEING",291,1.16061216940315e-09
"M5","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",66,2.76253585467111e-08
"M3","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",66,2.76253585467111e-08
"M8","TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_BRAIN_PERICYTE_AGEING",660,1.33568340379759e-09
"M5","GOCC_LARGE_RIBOSOMAL_SUBUNIT",116,3.09552672896873e-08
"M3","GOCC_LARGE_RIBOSOMAL_SUBUNIT",116,3.09552672896873e-08
"M8","TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING",922,2.52834209965051e-09
"M5","GOBP_IMMUNE_EFFECTOR_PROCESS",685,7.23961253269258e-08
"M3","GOBP_IMMUNE_EFFECTOR_PROCESS",685,7.23961253269258e-08
"M8","ZHANG_UTERUS_C5_MACROPHAGE",153,6.42571197476698e-09
"M5","GOMF_RNA_BINDING",973,2.0343649731978e-07
"M3","GOMF_RNA_BINDING",973,2.0343649731978e-07
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING",18,2.21988189179417e-07
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING",18,2.21988189179417e-07
"M5","GOBP_INFLAMMATORY_RESPONSE",722,2.21988189179417e-07
"M3","GOBP_INFLAMMATORY_RESPONSE",722,2.21988189179417e-07
"M5","GOCC_CELL_SURFACE",965,4.62831819752247e-07
"M3","GOCC_CELL_SURFACE",965,4.62831819752247e-07
"M5","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",455,4.62831819752247e-07
"M3","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",455,4.62831819752247e-07
"M8","ZHANG_UTERUS_C13_EPITHELIAL1_CELL",333,2.75017970500058e-08
"M2","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",122,2.30542779226172e-07
"M2","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",56,2.67293217637593e-07
"M2","HOUNKPE_HOUSEKEEPING_GENES",937,2.82146031977815e-07
"M8","ZHANG_UTERUS_C12_MONOCYTE",154,4.89333802406084e-08
"M8","TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING",329,5.49382555198624e-08
"M5","GOBP_RNA_SPLICING",364,1.26001533204788e-06
"M3","GOBP_RNA_SPLICING",364,1.26001533204788e-06
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",103,1.27938741207041e-06
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",103,1.27938741207041e-06
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",154,1.36848891515432e-06
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",154,1.36848891515432e-06
"M8","TABULA_MURIS_SENIS_DIAPHRAGM_SKELETAL_MUSCLE_SATELLITE_CELL_AGEING",228,7.48587595752661e-08
