"source","name","ngenes","pvalue_adjust"
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",462,1.15834506824303e-33
"M5","GOCC_EXTRACELLULAR_SPACE",1481,5.97079905326825e-30
"M3","GOCC_EXTRACELLULAR_SPACE",1481,5.97079905326825e-30
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",227,1.65488457658853e-26
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",227,1.65488457658853e-26
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",586,1.03937715552834e-24
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1387,3.12937686046047e-20
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,1.32248112288676e-19
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",180,1.32248112288676e-19
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,1.37702512771843e-18
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,1.37702512771843e-18
"M5","GOCC_RIBONUCLEOPROTEIN_COMPLEX",652,1.24480524063014e-17
"M3","GOCC_RIBONUCLEOPROTEIN_COMPLEX",652,1.24480524063014e-17
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING",1027,4.32560817283111e-18
"M5","GOMF_ANTIGEN_BINDING",122,4.77716712026364e-17
"M3","GOMF_ANTIGEN_BINDING",122,4.77716712026364e-17
"M8","TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING",961,1.38965721889282e-17
"M2","NABA_MATRISOME",921,1.08520183352237e-15
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",189,2.51821450897178e-15
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",189,2.51821450897178e-15
"M8","TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING",970,3.34742401545233e-16
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",241,9.21405415304394e-15
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",241,9.21405415304394e-15
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.4370929687391e-14
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,1.4370929687391e-14
