"source","name","ngenes","pvalue_adjust"
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",468,5.29897471544367e-31
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1171,1.37048666093777e-25
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1402,2.03846272938914e-25
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",228,1.49366268536947e-22
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",228,1.49366268536947e-22
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",172,5.46410519982705e-22
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",172,5.46410519982705e-22
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",567,3.79130359959396e-20
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",227,2.15442929642502e-17
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",227,2.15442929642502e-17
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",362,4.07444914604472e-16
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",362,4.07444914604472e-16
"M2","NABA_MATRISOME",940,2.40563432971174e-16
"M2","LIAN_LIPA_TARGETS_6M",84,6.53473968300829e-16
"M8","ZHANG_UTERUS_C5_MACROPHAGE",155,5.35167022432771e-16
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",36,2.70045921943473e-15
"M8","ZHANG_UTERUS_C12_MONOCYTE",153,6.11808428900816e-16
"M2","ZENG_GU_POST_ICB_METAGENE_39",193,1.54286087063037e-14
"M5","GOCC_CORNIFIED_ENVELOPE",50,7.21141536107336e-13
"M3","GOCC_CORNIFIED_ENVELOPE",50,7.21141536107336e-13
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",191,8.72563947537398e-13
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",191,8.72563947537398e-13
"M2","HOLLERN_SQUAMOUS_BREAST_TUMOR",162,4.80818535166297e-13
"M2","LIAN_LIPA_TARGETS_3M",67,5.17577129108271e-13
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",49,1.09243593580058e-12
