"source","name","ngenes","pvalue_adjust"
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",561,3.91332706210785e-26
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",461,4.03988238740165e-21
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1134,4.90032263866037e-16
"M8","ZHANG_UTERUS_C5_MACROPHAGE",153,7.8339583434837e-12
"M2","SWEET_LUNG_CANCER_KRAS_DN",401,1.41818840335202e-09
"M2","NABA_MATRISOME",926,9.63893665769501e-09
"M2","STEARMAN_TUMOR_FIELD_EFFECT_UP",40,9.63893665769501e-09
"M2","LIAN_LIPA_TARGETS_6M",83,9.66224182113731e-09
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",218,6.04950194063646e-07
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",218,6.04950194063646e-07
"M2","NABA_MATRISOME_ASSOCIATED",674,5.90528868973344e-08
"M8","ZHANG_UTERUS_C12_MONOCYTE",154,1.62174006880522e-08
"M2","LIAN_LIPA_TARGETS_3M",66,6.06820953262406e-07
"M8","DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES",179,2.01543868356924e-07
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1360,9.31717180835171e-07
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",278,0.00023427426387994
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",278,0.00023427426387994
"M2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",221,9.68266889570942e-05
"M2","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",104,0.000140917767368254
"M2","NADLER_OBESITY_UP",55,0.000173108814803591
"M5","GOBP_INFLAMMATORY_RESPONSE",711,0.00253834881985728
"M3","GOBP_INFLAMMATORY_RESPONSE",711,0.00253834881985728
"M2","ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE",182,0.000320955504698052
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",117,0.00472550071434355
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",117,0.00472550071434355
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",163,0.00574659901319389
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",163,0.00574659901319389
"M2","NABA_ECM_REGULATORS",246,0.000656276058064113
"M5","GOCC_EXTRACELLULAR_SPACE",1480,0.00696964418246083
"M3","GOCC_EXTRACELLULAR_SPACE",1480,0.00696964418246083
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP",351,0.000855808227247186
"M2","STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN",57,0.0010296497990188
"M5","GOCC_CONTRACTILE_MUSCLE_FIBER",216,0.0081118404387269
