"source","name","ngenes","pvalue_adjust"
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1143,4.67181795209528e-11
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",454,1.31550903306623e-10
"M2","STEARMAN_TUMOR_FIELD_EFFECT_UP",40,1.08278955895675e-09
"M8","ZHANG_UTERUS_C5_MACROPHAGE",159,4.61707667565899e-10
"M2","SWEET_LUNG_CANCER_KRAS_UP",432,3.80275932602487e-08
"M2","NABA_MATRISOME",925,4.5650289435486e-07
"M8","ZHANG_UTERUS_C12_MONOCYTE",158,2.87236792978782e-07
"M2","LIAN_LIPA_TARGETS_6M",83,1.25871611283338e-06
"M2","NABA_MATRISOME_ASSOCIATED",672,1.69025467988827e-05
"M2","LIAN_LIPA_TARGETS_3M",66,2.48392267072859e-05
"M2","NADLER_OBESITY_UP",60,2.49841347391494e-05
"M5","GOMF_ANTIGEN_BINDING",126,0.00172835721970123
"M3","GOMF_ANTIGEN_BINDING",126,0.00172835721970123
"MH","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",178,2.33525197623624e-05
"M2","ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE",189,0.000103305300223414
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,0.00209518016534771
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,0.00209518016534771
"M2","STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN",62,0.000276496506893099
"M2","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",64,0.000276496506893099
"M8","ZHANG_UTERUS_C7_EPITHELIAL2_CELL",723,0.000121229719623863
"M8","TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING",114,0.000121229719623863
"M2","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,0.000344378624274715
"M2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",232,0.000344378624274715
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",209,0.00603650636669619
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",209,0.00603650636669619
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING",994,0.000243973704706109
"M2","NABA_ECM_REGULATORS",243,0.000908566275199279
"M2","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16",72,0.00101607515018824
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",273,0.0187612306037065
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",273,0.0187612306037065
"M2","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",49,0.00202436393673118
"M2","REACTOME_NEUTROPHIL_DEGRANULATION",445,0.00237802925242274
"M2","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",111,0.00249999687038654
"M5","GOMF_PEPTIDE_ANTIGEN_BINDING",49,0.039272779776689
"M3","GOMF_PEPTIDE_ANTIGEN_BINDING",49,0.039272779776689
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",562,0.00115560357203258
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",127,0.039272779776689
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",127,0.039272779776689
"M5","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",180,0.039272779776689
"M3","GOBP_DETECTION_OF_CHEMICAL_STIMULUS",180,0.039272779776689
"M2","MA_RAT_AGING_DN",142,0.00445269939987464
"M2","HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",80,0.00445269939987464
"M5","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",412,0.039272779776689
"M3","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",412,0.039272779776689
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",35,0.00495443313705557
"M2","ZENG_GU_POST_ICB_METAGENE_22",177,0.00610160810454525
"M2","ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_OVERLAP_UP",98,0.00877429314348762
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",49,0.00877429314348762
"M8","ZHANG_UTERUS_C9_DENDRITIC_CELL",86,0.00533250205918377
"M2","ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_UP",99,0.0144050237421258
"M2","BROWN_MYELOID_CELL_DEVELOPMENT_UP",164,0.0192621092137525
"MH","HALLMARK_CHOLESTEROL_HOMEOSTASIS",64,0.00776296202627541
