"source","name","ngenes","pvalue_adjust"
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1143,4.67181795209528e-11
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",454,1.31550903306623e-10
"M2","STEARMAN_TUMOR_FIELD_EFFECT_UP",40,1.08278955895675e-09
"M8","ZHANG_UTERUS_C5_MACROPHAGE",159,4.61707667565899e-10
"M2","SWEET_LUNG_CANCER_KRAS_UP",432,3.80275932602487e-08
"M2","NABA_MATRISOME",925,4.5650289435486e-07
"M8","ZHANG_UTERUS_C12_MONOCYTE",158,2.87236792978782e-07
"M2","LIAN_LIPA_TARGETS_6M",83,1.25871611283338e-06
"M2","NABA_MATRISOME_ASSOCIATED",672,1.69025467988827e-05
"M2","LIAN_LIPA_TARGETS_3M",66,2.48392267072859e-05
"M2","NADLER_OBESITY_UP",60,2.49841347391494e-05
"M5","GOMF_ANTIGEN_BINDING",126,0.00172835721970123
"M3","GOMF_ANTIGEN_BINDING",126,0.00172835721970123
"MH","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",178,2.33525197623624e-05
"M2","ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE",189,0.000103305300223414
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,0.00209518016534771
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,0.00209518016534771
"M2","STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN",62,0.000276496506893099
"M2","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",64,0.000276496506893099
"M8","ZHANG_UTERUS_C7_EPITHELIAL2_CELL",723,0.000121229719623863
"M8","TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING",114,0.000121229719623863
"M2","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,0.000344378624274715
"M2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",232,0.000344378624274715
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",209,0.00603650636669619
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",209,0.00603650636669619
