"source","name","ngenes","pvalue_adjust"
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",229,1.14463751465998e-27
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",229,1.14463751465998e-27
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING",1016,1.25157648421063e-28
"M5","GOMF_ANTIGEN_BINDING",128,2.30980942071075e-23
"M3","GOMF_ANTIGEN_BINDING",128,2.30980942071075e-23
"M8","TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING",949,2.53024620389596e-21
"M8","TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING",692,2.62572654696762e-21
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",38,4.60661098266594e-19
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",38,4.60661098266594e-19
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,4.60661098266594e-19
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",363,4.60661098266594e-19
"M8","TABULA_MURIS_SENIS_SKIN_BASAL_CELL_OF_EPIDERMIS_AGEING",835,2.39892701245196e-20
"M2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",50,1.67530562793112e-17
"M8","TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING",951,7.61811208694961e-19
"M8","ZHANG_UTERUS_C7_EPITHELIAL2_CELL",724,3.51188362904199e-18
"M2","REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION",37,2.46505938035329e-16
"M5","GOBP_B_CELL_MEDIATED_IMMUNITY",190,1.02079178131356e-15
"M3","GOBP_B_CELL_MEDIATED_IMMUNITY",190,1.02079178131356e-15
"M5","GOCC_RIBONUCLEOPROTEIN_COMPLEX",648,2.7221553304398e-15
"M3","GOCC_RIBONUCLEOPROTEIN_COMPLEX",648,2.7221553304398e-15
"M2","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,7.14573913638389e-15
"M8","TABULA_MURIS_SENIS_SKIN_BULGE_KERATINOCYTE_AGEING",761,9.20429488734147e-16
"M8","TABULA_MURIS_SENIS_THYMUS_THYMOCYTE_AGEING",594,1.54583462079457e-15
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",173,1.62154714570328e-13
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",173,1.62154714570328e-13
"M5","GOBP_ADAPTIVE_IMMUNE_RESPONSE",484,2.85838665079975e-13
"M3","GOBP_ADAPTIVE_IMMUNE_RESPONSE",484,2.85838665079975e-13
"M2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",43,6.32277312144974e-13
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",232,1.10073578564407e-12
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",232,1.10073578564407e-12
"M2","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",51,1.05354911519975e-12
"M2","REACTOME_COMPLEMENT_CASCADE",75,1.11467960633674e-12
"M5","GOCC_RIBOSOMAL_SUBUNIT",186,2.36761574131424e-12
"M3","GOCC_RIBOSOMAL_SUBUNIT",186,2.36761574131424e-12
"M5","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",394,4.04021436631535e-12
"M3","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",394,4.04021436631535e-12
"M5","GOCC_RIBOSOME",233,9.84060860938619e-12
"M3","GOCC_RIBOSOME",233,9.84060860938619e-12
