"source","name","ngenes","pvalue_adjust"
"M2","LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN",467,3.13173387248155e-24
"M5","GOBP_IMMUNOGLOBULIN_PRODUCTION",222,2.28912836374324e-23
"M3","GOBP_IMMUNOGLOBULIN_PRODUCTION",222,2.28912836374324e-23
"M5","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,4.66713299760509e-16
"M3","GOMF_OLFACTORY_RECEPTOR_ACTIVITY",177,4.66713299760509e-16
"M2","NABA_MATRISOME",931,5.89631359094513e-16
"M2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",1385,5.95375880179615e-16
"M5","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",355,3.55871617975129e-15
"M3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",355,3.55871617975129e-15
"M5","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",236,1.18808004656024e-13
"M3","GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",236,1.18808004656024e-13
"M5","GOBP_SENSORY_PERCEPTION",643,4.67394983001815e-12
"M3","GOBP_SENSORY_PERCEPTION",643,4.67394983001815e-12
"M8","DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS",576,4.16162194300217e-12
"M5","GOMF_ANTIGEN_BINDING",124,9.08961506221316e-11
"M3","GOMF_ANTIGEN_BINDING",124,9.08961506221316e-11
"M5","GOCC_IMMUNOGLOBULIN_COMPLEX",36,1.72398318796968e-10
"M3","GOCC_IMMUNOGLOBULIN_COMPLEX",36,1.72398318796968e-10
"M2","LIAN_LIPA_TARGETS_6M",85,1.6052243137898e-10
"M5","GOMF_ODORANT_BINDING",65,9.90422840960532e-10
"M3","GOMF_ODORANT_BINDING",65,9.90422840960532e-10
"M2","CHEN_METABOLIC_SYNDROM_NETWORK",1171,7.07770570203308e-10
"M5","GOCC_RIBONUCLEOPROTEIN_COMPLEX",627,1.959018161821e-09
"M3","GOCC_RIBONUCLEOPROTEIN_COMPLEX",627,1.959018161821e-09
"M2","NABA_MATRISOME_ASSOCIATED",672,1.08558257734382e-09
