Sample_Group,SYMBOL,counts
PBS_IR_DMXAA,Trav6n-5,2
PBS_IR_DMXAA,4930451I11Rik,1
PBS_IR_DMXAA,9330182L06Rik,1
PBS_IR_DMXAA,AI597479,1
PBS_IR_DMXAA,Abca2,1
PBS_IR_DMXAA,Acot7,1
PBS_IR_DMXAA,Adssl1,1
PBS_IR_DMXAA,Alx4,1
PBS_IR_DMXAA,Alyref,1
PBS_IR_DMXAA,Anapc10,1
Ure_IR,Col11a2,5
Ure_IR,Ankrd35,4
Ure_IR,Galnt2l,4
Ure_IR,E030030I06Rik,3
Ure_IR,Lsm4,3
Ure_IR,Mtus2,3
Ure_IR,Pabpc4,3
Ure_IR,Adamts13,2
Ure_IR,Alkbh7,2
Ure_IR,Ankrd24,2
Ure_mock_IR,Col11a2,4
Ure_mock_IR,Atp2c1,3
Ure_mock_IR,Lbr,3
Ure_mock_IR,Phpt1,3
Ure_mock_IR,Adcy3,2
Ure_mock_IR,Alg13,2
Ure_mock_IR,Apaf1,2
Ure_mock_IR,Atf7ip,2
Ure_mock_IR,Atp5o,2
Ure_mock_IR,B3gnt8,2
Ure_mock_IR_DMXAA,Lsm4,4
Ure_mock_IR_DMXAA,Ppp2r5a,4
Ure_mock_IR_DMXAA,Alyref,3
Ure_mock_IR_DMXAA,Col11a2,3
Ure_mock_IR_DMXAA,Csf3r,3
Ure_mock_IR_DMXAA,Dnah2,3
Ure_mock_IR_DMXAA,Gm10499,3
Ure_mock_IR_DMXAA,Lars,3
Ure_mock_IR_DMXAA,Lbr,3
Ure_mock_IR_DMXAA,Rpa1,3
control,Abcg5,1
control,Ablim2,1
control,Adamts19,1
control,Adarb2,1
control,Add2,1
control,Aldh18a1,1
control,Als2cl,1
control,Ank1,1
control,Ank2,1
control,Anxa4,1
