SYMBOL,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
0610040J01Rik,-1,0,1
1110032F04Rik,0,-1,-1
1700008P02Rik,-1,0,1
1700013H16Rik,1,1,0
1700017N19Rik,-1,0,1
1700086L19Rik,0,-1,-1
1700113H08Rik,1,1,0
2310034G01Rik,-1,0,1
2610005L07Rik,0,-1,-1
2700046G09Rik,-1,0,1
2810004N23Rik,0,-1,-1
2900026A02Rik,0,-1,-1
3110001I22Rik,-1,0,1
3830408C21Rik,1,1,0
4921507P07Rik,0,-1,-1
4930402F06Rik,-1,0,1
4930402H24Rik,0,-1,-1
4930404N11Rik,0,-1,-1
4930432E11Rik,0,-1,-1
4930444P10Rik,1,1,0
4930451I11Rik,0,0,0
4930481A15Rik,0,-1,-1
4930517E14Rik,0,-1,-1
4930524B15Rik,1,0,-1
4930533L02Rik,-1,0,1
4930562C15Rik,1,1,0
4931422A03Rik,0,-1,-1
4932429P05Rik,-1,0,1
4932438A13Rik,1,1,0
4933402J07Rik,1,1,0
4933409G03Rik,0,-1,-1
4933427E13Rik,1,1,0
5330417C22Rik,-1,0,1
5730480H06Rik,1,1,0
6030458C11Rik,1,1,0
6330409D20Rik,-1,0,1
6430628N08Rik,0,-1,-1
6820408C15Rik,0,-1,-1
9330182L06Rik,0,0,0
9930104L06Rik,1,0,-1
A26c3,0,-1,-1
A2m,0,-1,-1
A530053G22Rik,0,-1,-1
AA387883,0,-1,-1
AI597479,0,0,0
AI661453,-1,0,1
AW209491,0,-1,-1
Aanat,0,-1,-1
Aars2,0,-1,-1
Aatk,-1,0,1
Abca14,-1,-1,0
Abca2,0,0,0
Abca5,0,-1,-1
Abca7,1,0,-1
Abca8a,0,-1,-1
Abcb5,-1,0,1
Abcb6,-1,0,1
Abcc10,-1,0,1
Abcc4,-1,0,1
Abcd3,1,1,0
Abcg5,0,0,0
Abhd10,0,1,1
Abhd17c,1,1,0
Abhd3,0,-1,-1
Abi3,1,1,0
Abl2,1,1,0
Ablim1,1,-1,-2
Ablim2,0,0,0
Abraxas2,1,1,0
Acaa1b,-1,0,1
Acads,1,1,0
Acadsb,1,1,0
Acer2,0,-1,-1
Ackr2,-1,0,1
Acot11,0,-1,-1
Acot7,0,0,0
Acox3,1,1,0
Acsbg1,-1,0,1
Actn4,1,1,0
Actr10,-1,-1,0
Actr1a,0,-1,-1
Actrt3,1,1,0
Acvr1b,0,-1,-1
Acy1,0,-1,-1
Adam11,-1,-1,0
Adam28,1,1,0
Adam9,1,1,0
Adamts1,1,1,0
Adamts13,2,1,-1
Adamts17,0,-1,-1
Adamts18,1,0,-1
Adamts19,0,0,0
Adamts2,0,-1,-1
Adamts3,-1,-1,0
Adap1,1,1,0
Adarb1,0,-1,-1
Adarb2,0,0,0
Adck5,1,1,0
Adcy1,-1,0,1
Adcy3,-2,-1,1
Adcy4,0,-1,-1
Adcy5,0,-1,-1
Add2,0,0,0
Adgra2,0,-1,-1
Adgrd1,1,1,0
Adgrf5,0,-1,-1
Adgrg2,-1,0,1
Adgrg6,0,-1,-1
Adgrl1,1,1,0
Adgrl3,1,1,0
Adgrl4,-1,0,1
Adgrv1,-1,0,1
Adh5,-1,0,1
Adhfe1,-1,0,1
Adig,0,-1,-1
Adnp,1,1,0
Adora2b,1,1,0
Adpgk,-1,0,1
Adssl1,0,0,0
Aebp1,1,1,0
Afap1l2,1,1,0
Agbl3,1,1,0
Ago1,-1,0,1
Agpat4,-1,0,1
Ahcyl1,0,-1,-1
Ahnak,-1,0,1
Aifm3,0,-1,-1
Ak2,-1,0,1
Akap13,1,0,-1
Akap9,0,-1,-1
Akna,0,-1,-1
Akp3,1,1,0
Akr1b7,1,1,0
Akt2,1,1,0
Alad,0,-1,-1
Alas1,0,-1,-1
Aldh18a1,0,0,0
Aldh3a2,-1,0,1
Alg10b,0,-1,-1
Alg13,-2,0,2
Alk,1,1,0
Alkal2,-1,-2,-1
Alkbh1,-1,0,1
Alkbh7,2,2,0
Allc,-1,0,1
Alpk1,0,-1,-1
Alpl,-1,0,1
Als2cl,0,0,0
Alx4,0,0,0
Alyref,0,-3,-3
Ammecr1,1,1,0
Ampd3,0,-1,-1
Amtn,-1,0,1
Anapc10,0,0,0
Anapc7,0,-1,-1
Ang6,0,-1,-1
Angel1,-1,0,1
Ank1,0,-1,-1
Ank2,0,0,0
Ank3,0,0,0
Ankfn1,1,1,0
Ankfy1,1,1,0
Ankhd1,1,1,0
Ankrd10,0,-1,-1
Ankrd13b,1,1,0
Ankrd16,1,1,0
Ankrd17,0,-1,-1
Ankrd2,-1,0,1
Ankrd24,1,2,1
Ankrd33b,1,1,0
Ankrd35,4,4,0
Ankrd54,-1,0,1
Ankrd55,0,0,0
Ano7,1,1,0
Anxa4,0,0,0
Aox4,1,1,0
Ap2a2,0,1,1
Ap3b1,0,-1,-1
Ap3b2,0,0,0
Ap3m2,-1,-1,0
Ap4s1,1,1,0
Ap5m1,0,-1,-1
Apaf1,-2,0,2
Apex1,0,-1,-1
Api5,0,-1,-1
Aplp2,1,1,0
Apoa1,1,1,0
Apobec2,0,0,0
Apoc1,0,-1,-1
Apol8,-1,0,1
App,0,-1,-1
Appl1,0,-1,-1
Appl2,1,1,0
Arap1,0,-1,-1
Arc,1,1,0
Arf5,-1,-1,0
Arf6,0,0,0
Arfgef1,-1,-1,0
Arfgef3,2,2,0
Arglu1,0,-1,-1
Arhgap10,1,1,0
Arhgap20,-1,0,1
Arhgap27,2,2,0
Arhgap28,-1,0,1
Arhgap29,-1,0,1
Arhgap33os,-1,0,1
Arhgap36,0,0,0
Arhgap42,0,0,0
Arhgef10,1,1,0
Arhgef10l,0,-1,-1
Arhgef15,-1,0,1
Arhgef25,1,1,0
Arhgef3,0,-1,-1
Arhgef4,0,-1,-1
Arhgef6,-1,-1,0
Arid2,0,-2,-2
Arid3c,-1,0,1
Arid5b,-1,0,1
Arl2,0,0,0
Armc10,1,1,0
Armcx5,1,1,0
Armh1,0,-1,-1
Armh3,0,-2,-2
Arnt2,1,1,0
Arrdc2,0,-1,-1
Arrdc4,-1,0,1
Asap3,-1,0,1
Asb18,1,1,0
Asb2,-1,0,1
Asb8,-1,0,1
Asb9,0,0,0
Ash1l,0,0,0
Ash2l,-1,0,1
Asns,0,-1,-1
Aspg,-1,0,1
Aspm,0,1,1
Asxl1,1,1,0
Asxl2,0,0,0
Asz1,1,1,0
Atad2,-1,0,1
Ate1,-1,0,1
Atf2,0,0,0
Atf5,0,-1,-1
Atf7ip,-2,0,2
Atg12,1,1,0
Atg2b,1,1,0
Atg9b,1,1,0
Atl1,0,-1,-1
Atm,-1,0,1
Atp10d,0,0,0
Atp11a,0,-1,-1
Atp11c,0,-2,-2
Atp12a,0,-1,-1
Atp13a1,-1,0,1
Atp1a1,1,1,0
Atp2a3,-1,0,1
Atp2b3,0,-1,-1
Atp2c1,-1,1,2
Atp2c2,-1,0,1
Atp5o,-2,0,2
Atp6v0a2,-1,0,1
Atp6v0d1,1,1,0
Atp6v1d,2,1,-1
Atp7a,1,1,0
Atp8b1,1,1,0
Atp8b3,-1,0,1
Atp9a,0,1,1
Atr,1,1,0
Atrn,2,1,-1
Atxn3,1,1,0
Atxn7,-1,0,1
Aup1,0,-1,-1
Avp,-1,0,1
Avpr2,1,1,0
Axin2,0,1,1
Azin2,0,0,0
B3gnt7,0,-1,-1
B3gnt8,-2,0,2
BC031181,-1,0,1
BC048671,-1,0,1
BC052040,-1,0,1
Bach1,0,-1,-1
Bag5,0,0,0
Bahcc1,0,-1,-1
Baiap2,-1,0,1
Baiap2l1,0,0,0
Baz1a,1,1,0
Baz2a,1,1,0
Bbof1,1,1,0
Bbs1,-1,0,1
Bbs10,1,1,0
Bbs7,-1,0,1
Bcas3,0,-1,-1
Bcl11b,-2,0,2
Bclaf1,0,-1,-1
Bcor,-1,0,1
Begain,-1,0,1
Bfsp1,1,1,0
Bhmt,-1,0,1
Bhmt2,0,-1,-1
Bicdl1,-1,0,1
Bicra,-1,0,1
Birc6,-1,0,1
Blm,0,-1,-1
Blvra,1,1,0
Bmi1,0,-1,-1
Bmp1,1,1,0
Bmper,0,-1,-1
Bod1l,1,0,-1
Bop1,-1,0,1
Bpifa1,-1,0,1
Bptf,-1,0,1
Brca1,2,2,0
Brca2,-1,0,1
Brd1,0,1,1
Brd8dc,0,-1,-1
Brf2,0,-1,-1
Brinp1,1,1,0
Brix1,-1,0,1
Brpf1,0,-1,-1
Brs3,1,1,0
Brwd1,0,0,0
Brwd3,-1,-1,0
Bsdc1,1,1,0
Bsn,-1,0,1
Btbd16,1,1,0
Btbd7,0,0,0
Btbd8,1,1,0
Btla,-1,0,1
Bub1b,1,1,0
C1galt1,1,1,0
C1ql4,-1,0,1
C1qtnf12,0,-1,-1
C1qtnf4,-1,0,1
C1qtnf9,-1,0,1
C2cd2,-1,0,1
C2cd3,1,1,0
C2cd5,-1,0,1
C4a,0,-1,-1
C4b,-1,0,1
C9,0,-1,-1
Caap1,0,-2,-2
Cacna1a,1,1,0
Cacna1b,1,1,0
Cacna1c,-1,0,1
Cacna1d,0,-1,-1
Cacna1h,0,0,0
Cacna1i,0,0,0
Cacna2d2,-1,0,1
Cacnb2,1,1,0
Calcb,0,-1,-1
Camk2a,2,2,0
Camk2g,-1,0,1
Camsap3,0,0,0
Cand2,0,-1,-1
Capn1,0,-1,-1
Capn7,0,-1,-1
Capza1,0,-1,-1
Capzb,1,1,0
Card11,-1,0,1
Carf,0,-1,-1
Casc3,1,1,0
Caskin1,0,-1,-1
Caskin2,0,-1,-1
Catsperd,0,1,1
Catspere2,1,1,0
Cbfa2t2,0,-1,-1
Cblc,1,1,0
Cbll1,1,1,0
Cbx1,1,1,0
Cbx2,0,0,0
Cbx5,0,-1,-1
Cbx7,1,1,0
