SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Ankrd35,0,4,0,0,0,4,4,0
Galnt2l,0,4,0,2,0,4,2,-2
Pabpc4,0,3,0,0,0,3,3,0
Cd244a,0,2,0,2,0,2,0,-2
Numa1,0,2,0,0,0,2,2,0
Camk2a,0,2,0,0,0,2,2,0
Brca1,0,2,0,0,0,2,2,0
Gpr37,0,2,0,0,0,2,2,0
Atrn,0,2,0,1,0,2,1,-1
Atp6v1d,0,2,0,1,0,2,1,-1
Mtus2,0,3,1,1,1,2,2,0
Arfgef3,0,2,0,0,0,2,2,0
Hkdc1,0,2,0,0,0,2,2,0
Msh6,0,2,0,0,0,2,2,0
Ttc21b,0,2,0,0,0,2,2,0
Ttc7,0,2,0,0,0,2,2,0
Mpped1,0,2,0,0,0,2,2,0
Arhgap27,0,2,0,0,0,2,2,0
Dock2,0,2,0,0,0,2,2,0
Diaph2,0,2,0,0,0,2,2,0
Ptprm,0,2,0,0,0,2,2,0
Dcps,0,2,0,0,0,2,2,0
E030030I06Rik,0,3,1,2,0,2,1,-1
Eef2kmt,0,2,0,0,0,2,2,0
Rora,0,2,0,0,0,2,2,0
Ehbp1,0,2,0,0,0,2,2,0
Fstl5,0,2,0,0,0,2,2,0
Sbno1,0,2,0,1,0,2,1,-1
Pla2r1,0,2,0,0,0,2,2,0
Ep300,1,2,0,1,0,2,1,-1
Cnga1,0,2,0,0,0,2,2,0
Pfn4,0,2,0,0,0,2,2,0
Parp8,0,2,0,0,0,2,2,0
Olfr550,0,2,0,0,0,2,2,0
Alkbh7,0,2,0,0,0,2,2,0
Ryr1,0,2,0,0,0,2,2,0
Npas4,0,2,0,1,0,2,1,-1
mt-Nd3,0,2,0,0,0,2,2,0
Lars,0,2,0,3,0,2,-1,-3
Kbtbd11,0,2,0,1,0,2,1,-1
Adamts13,0,2,0,1,0,2,1,-1
Magoh,0,2,0,0,0,2,2,0
Klhdc3,0,2,0,1,0,2,1,-1
Matr3,0,2,0,1,0,2,1,-1
Per3,0,1,0,0,0,1,1,0
Pfdn2,0,1,0,0,0,1,1,0
Pfkl,0,1,0,0,0,1,1,0
Pgpep1,0,1,0,0,0,1,1,0
Phc2,0,1,0,0,0,1,1,0
Phc3,0,1,0,1,0,1,0,-1
Pi4ka,0,1,0,0,0,1,1,0
Peli3,0,1,0,0,0,1,1,0
Pigq,0,1,0,0,0,1,1,0
Pigs,0,1,0,0,0,1,1,0
Pip5kl1,0,1,0,0,0,1,1,0
Pir,0,1,0,0,0,1,1,0
Piwil2,0,1,0,0,0,1,1,0
Pkd2l2,0,1,0,1,0,1,0,-1
Pla2g12a,0,1,0,0,0,1,1,0
Pign,0,1,0,1,0,1,0,-1
Olfr209,0,1,0,0,0,1,1,0
Map3k21,0,1,0,0,0,1,1,0
Olfr552,0,1,0,0,0,1,1,0
Olfr561,0,1,0,0,0,1,1,0
Olfr709-ps1,0,1,0,0,0,1,1,0
Olfr955,0,1,0,0,0,1,1,0
Oxct1,0,1,0,0,0,1,1,0
P4ha3,0,1,0,0,0,1,1,0
Map2k2,0,1,0,0,0,1,1,0
Pdzrn4,0,1,0,0,0,1,1,0
Paf1,0,1,0,0,0,1,1,0
Parp4,0,1,0,1,0,1,0,-1
Mamstr,0,1,0,0,0,1,1,0
Patj,0,1,0,1,0,1,0,-1
Pax6,0,1,0,0,0,1,1,0
Pcdh10,0,1,0,0,0,1,1,0
Pcgf6,0,1,0,0,0,1,1,0
Pcnx,0,1,0,0,0,1,1,0
Pcsk5,0,1,0,1,0,1,0,-1
Mab21l4,0,1,0,0,0,1,1,0
Padi3,0,1,0,0,0,1,1,0
Lrrc20,0,1,0,0,0,1,1,0
Prpf18,0,1,0,0,0,1,1,0
Prss56,0,1,0,0,0,1,1,0
Prtg,0,1,0,0,0,1,1,0
Prxl2a,0,1,0,0,0,1,1,0
Psme1,0,1,0,0,0,1,1,0
Lrrc15,0,1,0,0,0,1,1,0
Lrig2,0,1,0,0,0,1,1,0
Ptpa,0,1,0,0,0,1,1,0
Pla2g5,0,1,0,1,0,1,0,-1
Lrba,0,1,0,1,0,1,0,-1
Qk,1,2,1,0,0,1,2,1
Qrich2,0,1,0,0,1,1,1,0
Rab11fip2,0,1,0,0,0,1,1,0
Loxhd1,1,1,0,0,0,1,1,0
Ralgapa2,0,1,0,0,0,1,1,0
Ranbp6,0,1,0,0,0,1,1,0
Rarb,0,1,0,0,0,1,1,0
Rarres1,0,1,0,0,0,1,1,0
Lmtk3,0,1,0,0,0,1,1,0
Ptpn13,0,1,0,0,0,1,1,0
Map7d1,0,1,0,0,0,1,1,0
Lyst,0,1,0,0,0,1,1,0
Plaat5,0,1,0,0,0,1,1,0
Plcb4,0,1,0,0,0,1,1,0
Plcd4,0,1,0,1,0,1,0,-1
Pnck,0,1,0,0,0,1,1,0
Pnpla5,0,1,0,0,0,1,1,0
Pold2,0,1,0,1,0,1,0,-1
Polr2h,0,1,0,0,0,1,1,0
Prmt9,0,1,0,0,0,1,1,0
Ltbp1,0,1,0,0,0,1,1,0
Popdc3,0,1,0,0,0,1,1,0
Pou2af1,0,1,0,0,0,1,1,0
Lsm4,1,3,2,4,0,1,-1,-2
Ppox,0,1,0,0,0,1,1,0
Ppp1r26,0,1,0,0,0,1,1,0
Ppp3ca,0,1,0,0,0,1,1,0
Lrrc28,0,1,0,0,0,1,1,0
Ppp4r3b,0,1,0,1,0,1,0,-1
Prl3c1,0,1,0,0,0,1,1,0
Pop5,0,1,0,0,0,1,1,0
Med1,0,1,0,0,0,1,1,0
Msx2,0,1,0,0,0,1,1,0
Mtmr4,0,1,0,0,0,1,1,0
Mtmr6,0,1,0,0,0,1,1,0
Mdn1,0,1,0,0,1,1,1,0
Mcpt4,0,1,0,0,0,1,1,0
Muc3,0,1,0,0,0,1,1,0
Muc5b,0,1,0,0,0,1,1,0
Myh7,0,1,0,0,0,1,1,0
Olfr1324,0,1,0,0,0,1,1,0
Myo18a,0,1,0,1,0,1,0,-1
Myo3b,0,1,0,2,0,1,-1,-2
Myo6,0,1,0,1,0,1,0,-1
Napsa,0,1,0,0,0,1,1,0
Nbeal2,0,1,0,0,0,1,1,0
Ncapd3,0,1,0,0,0,1,1,0
Ncapg,0,1,0,0,0,1,1,0
Ncbp1,0,1,0,0,0,1,1,0
Nckap5,0,1,0,0,0,1,1,0
Myo15b,0,1,0,0,0,1,1,0
Mga,0,1,0,0,0,1,1,0
Mgat4d,0,1,0,0,0,1,1,0
Micall1,0,1,0,1,0,1,0,-1
Micall2,0,1,0,0,0,1,1,0
Mitf,0,1,0,0,0,1,1,0
Mixl1,0,1,0,0,0,1,1,0
Mmrn1,0,1,0,0,0,1,1,0
Morc3,0,1,0,0,0,1,1,0
Mfsd2a,0,1,0,0,0,1,1,0
Med12l,0,1,0,0,0,1,1,0
Mettl24,0,1,0,0,0,1,1,0
Mrc2,0,1,0,0,0,1,1,0
Mroh7,0,1,0,0,0,1,1,0
Megf6,0,1,0,0,1,1,1,0
Mroh8,0,1,0,0,0,1,1,0
Mrps7,0,1,0,0,0,1,1,0
Mrs2,0,1,0,0,0,1,1,0
Medag,0,1,0,0,0,1,1,0
Mrvi1,0,1,0,0,0,1,1,0
Msh5,0,1,0,0,0,1,1,0
Mex3d,0,1,0,0,0,1,1,0
Npas3,0,1,0,0,0,1,1,0
Rassf3,0,1,0,0,0,1,1,0
Npr1,0,1,0,0,0,1,1,0
Marf1,0,1,0,0,0,1,1,0
Nrk,0,1,0,0,0,1,1,0
Nrl,0,1,0,0,0,1,1,0
Ntsr1,0,1,0,0,0,1,1,0
Nudt12,0,1,0,0,0,1,1,0
Mapk7,0,1,0,1,0,1,0,-1
Ncor2,0,1,0,0,0,1,1,0
Obox4-ps27,0,1,0,0,0,1,1,0
Odaph,0,1,0,0,0,1,1,0
Odf1,0,1,0,0,0,1,1,0
Ogfod2,0,1,0,0,0,1,1,0
Ogg1,0,1,0,0,0,1,1,0
Oip5os1,0,1,0,0,0,1,1,0
Olfr1145,0,1,0,0,0,1,1,0
Olfr1247,0,1,0,0,0,1,1,0
Olfr1278,0,1,0,0,0,1,1,0
Mapk1ip1l,0,1,0,0,0,1,1,0
Oat,0,1,0,0,0,1,1,0
Ndufs2,0,1,0,0,0,1,1,0
Nek7,0,1,0,0,0,1,1,0
Mcpt1,0,1,0,0,0,1,1,0
Nemp2,0,1,0,0,0,1,1,0
