SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Ankrd35,0,4,0,0,0,4,4,0
Pabpc4,0,3,0,0,0,3,3,0
Ttc7,0,2,0,0,0,2,2,0
Pfn4,0,2,0,0,0,2,2,0
Arfgef3,0,2,0,0,0,2,2,0
Ehbp1,0,2,0,0,0,2,2,0
Ryr1,0,2,0,0,0,2,2,0
Hkdc1,0,2,0,0,0,2,2,0
Brca1,0,2,0,0,0,2,2,0
Msh6,0,2,0,0,0,2,2,0
Trrap,0,2,1,0,0,1,2,1
Eef2kmt,0,2,0,0,0,2,2,0
Gpr37,0,2,0,0,0,2,2,0
Col11a2,1,5,4,3,0,1,2,1
Ttc21b,0,2,0,0,0,2,2,0
Alkbh7,0,2,0,0,0,2,2,0
Mpped1,0,2,0,0,0,2,2,0
Smim10l1,0,2,1,0,0,1,2,1
Col4a2,0,2,1,0,0,1,2,1
Huwe1,0,2,2,0,0,0,2,2
Ankrd24,0,2,1,0,0,1,2,1
Parp8,0,2,0,0,0,2,2,0
Dock2,0,2,0,0,0,2,2,0
Pla2r1,0,2,0,0,0,2,2,0
Diaph2,0,2,0,0,0,2,2,0
Numa1,0,2,0,0,0,2,2,0
Magoh,0,2,0,0,0,2,2,0
Camk2a,0,2,0,0,0,2,2,0
Mtus2,0,3,1,1,1,2,2,0
Galnt2l,0,4,0,2,0,4,2,-2
Olfr550,0,2,0,0,0,2,2,0
Fstl5,0,2,0,0,0,2,2,0
Dcps,0,2,0,0,0,2,2,0
Ptprm,0,2,0,0,0,2,2,0
Qk,1,2,1,0,0,1,2,1
Arhgap27,0,2,0,0,0,2,2,0
mt-Nd3,0,2,0,0,0,2,2,0
Cnga1,0,2,0,0,0,2,2,0
Rora,0,2,0,0,0,2,2,0
Pigq,0,1,0,0,0,1,1,0
Pi4ka,0,1,0,0,0,1,1,0
Phf3,0,1,1,0,0,0,1,1
Per3,0,1,0,0,0,1,1,0
Pgpep1,0,1,0,0,0,1,1,0
Pfdn2,0,1,0,0,0,1,1,0
Pfkl,0,1,0,0,0,1,1,0
Phc2,0,1,0,0,0,1,1,0
Pip5kl1,0,1,0,0,0,1,1,0
Ogfod2,0,1,0,0,0,1,1,0
Oip5os1,0,1,0,0,0,1,1,0
Olfr1145,0,1,0,0,0,1,1,0
Olfr1247,0,1,0,0,0,1,1,0
Olfr1278,0,1,0,0,0,1,1,0
Olfr1324,0,1,0,0,0,1,1,0
Olfr209,0,1,0,0,0,1,1,0
Olfr552,0,1,0,0,0,1,1,0
Olfr561,0,1,0,0,0,1,1,0
Olfr709-ps1,0,1,0,0,0,1,1,0
Pigs,0,1,0,0,0,1,1,0
Oxct1,0,1,0,0,0,1,1,0
P4ha3,0,1,0,0,0,1,1,0
Padi3,0,1,0,0,0,1,1,0
Paf1,0,1,0,0,0,1,1,0
Pax6,0,1,0,0,0,1,1,0
Pcdh10,0,1,0,0,0,1,1,0
Pcgf6,0,1,0,0,0,1,1,0
Pcnx,0,1,0,0,0,1,1,0
Pdzrn4,0,1,0,0,0,1,1,0
Peli3,0,1,0,0,0,1,1,0
