"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000025934","blue",3709,3066,3299,3582,2451,3327,6766,3312,4287,2683,3002,2186,4896,3289,5065,"Gsta3","14859"
"ENSMUSG00000025936","blue",223,223,213,332,192,248,556,230,282,167,240,127,348,192,418,"Gm4956","241041"
"ENSMUSG00000028033","blue",217,189,158,228,187,221,348,147,192,135,116,127,198,115,217,"Kcnq5","226922"
"ENSMUSG00000037138","blue",1392,1113,869,1292,1049,1080,2347,890,1295,852,758,684,1359,782,1456,"Aff3","16764"
"ENSMUSG00000026077","blue",392,266,212,174,76,66,128,139,119,57,84,106,238,101,69,"Npas2","18143"
"ENSMUSG00000026070","blue",4016,3030,3309,3336,2630,2311,4706,3113,4564,2290,2813,2961,5309,3101,4216,"Il18r1","16182"
"ENSMUSG00000042807","blue",2034,1633,1598,1904,1277,1250,3193,1501,2360,1207,1422,1263,2454,1548,2292,"Hecw2","329152"
"ENSMUSG00000052331","blue",2428,2524,1981,3401,2168,2197,4964,1922,2954,2116,1944,1802,3186,1986,3167,"Ankrd44","329154"
"ENSMUSG00000026034","blue",2891,2721,2672,3378,2808,3156,6345,2643,3060,1867,2469,2822,3274,2804,4804,"Clk1","12747"
"ENSMUSG00000067336","blue",19388,15807,12988,23495,16486,15221,35192,12521,22903,13986,13077,12457,22229,13190,23743,"Bmpr2","12168"
"ENSMUSG00000026185","blue",10622,7989,5941,11900,8257,9492,20561,7817,12571,7901,6795,6911,11696,7278,13641,"Igfbp5","16011"
"ENSMUSG00000026180","blue",155,99,311,200,155,169,609,101,185,148,108,141,204,142,239,"Cxcr2","12765"
"ENSMUSG00000043230","blue",268,211,115,157,83,51,145,84,115,66,73,48,276,66,94,"Fam124b","241128"
"ENSMUSG00000044340","blue",1732,1536,1339,1847,1613,1370,2743,1060,1730,1214,1146,1169,2060,1285,1983,"Phlpp1","98432"
"ENSMUSG00000042066","blue",5591,4967,4903,5336,3815,3475,8659,3515,5884,2686,2717,2242,5663,2517,5002,"Tmcc2","68875"
"ENSMUSG00000070643","blue",2041,1729,1433,1892,1693,1297,3218,1229,1940,1223,1411,1261,2337,1324,2303,"Sox13","20668"
"ENSMUSG00000040181","blue",9783,8268,8752,12545,8043,9025,18398,5974,9736,5196,5009,4075,10070,4507,9247,"Fmo1","14261"
"ENSMUSG00000040170","blue",30574,27297,23690,32671,23099,29468,58559,23229,35999,20726,21927,13837,38921,23817,36305,"Fmo2","55990"
"ENSMUSG00000026691","blue",851,665,745,923,609,729,1945,540,938,572,577,519,808,589,938,"Fmo3","14262"
"ENSMUSG00000007097","blue",1948,1844,1504,2213,1669,2040,3336,1445,2232,1564,1471,1368,2375,1565,3002,"Atp1a2","98660"
"ENSMUSG00000073489","blue",611,505,746,887,459,635,1243,443,574,341,295,310,611,285,519,"Ifi204","15951"
"ENSMUSG00000039377","blue",1117,1058,1387,1598,1326,1421,2834,731,1276,1043,1117,1340,1538,876,1694,"Hlx","15284"
"ENSMUSG00000058248","blue",303,223,116,146,153,160,251,224,164,112,151,144,270,135,184,"Kcnh1","16510"
"ENSMUSG00000009633","blue",739,955,877,985,677,713,1646,518,933,552,616,481,1219,616,891,"G0s2","14373"
"ENSMUSG00000045319","blue",246,263,271,206,252,209,317,172,307,125,151,181,337,207,278,"Proser2","227545"
"ENSMUSG00000036813","blue",26,43,36,43,40,56,156,10,51,36,56,10,43,28,54,"Entpd8","72090"
"ENSMUSG00000078202","blue",455,439,542,569,458,502,1213,569,705,393,415,504,967,405,866,"Nrarp","67122"
"ENSMUSG00000026961","blue",159,132,169,195,130,153,331,89,142,119,91,76,180,94,155,"Lrrc26","227618"
"ENSMUSG00000026921","blue",5622,4588,6193,6941,4911,4861,11869,4240,6451,4088,5132,5012,7611,4848,9177,"Egfl7","353156"
"ENSMUSG00000026814","blue",15484,12074,12916,14979,10111,10284,22377,10075,14875,8625,8976,8852,18689,9924,16856,"Eng","13805"
"ENSMUSG00000059013","blue",1539,1409,1537,1801,1482,1577,3257,1626,1828,1031,1409,1156,1888,1530,2242,"Sh2d3c","27387"
"ENSMUSG00000026879","blue",50107,43406,42244,54583,37828,44536,83026,32718,57011,33075,34721,24322,60357,36380,59628,"Gsn","227753"
"ENSMUSG00000035000","blue",3256,2724,2654,3892,3973,3056,6049,2459,3971,2464,2455,2675,3814,2844,4238,"Dpp4","13482"
