Gene,module1,X88,X89,X90,X92,X93,X94,X97,X99,X101,X103,X104,X105,X108,X109,X110,Gene.name,EntrezID
ENSMUSG00000042686,brown,93,54,41,81,51,152,129,54,104,40,49,37,88,59,90,Jph1,57339
ENSMUSG00000079588,brown,62,75,47,83,42,142,134,45,138,49,42,61,74,47,186,Tmem182,381339
ENSMUSG00000061816,brown,34,44,23,26,37,565,65,24,134,21,28,57,80,42,137,Myl1,17901
ENSMUSG00000050296,brown,5,5,0,4,0,74,9,6,10,3,7,2,3,1,6,Abca12,74591
ENSMUSG00000026208,brown,3242,2670,2727,2910,2133,3878,4808,2817,4310,2493,2291,3121,4715,3177,4670,Des,13346
ENSMUSG00000059956,brown,0,0,0,3,2,699,7,7,5,6,2,4,4,9,7,Serpinb12,71869
ENSMUSG00000044594,brown,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,Serpinb3a,20248
ENSMUSG00000073602,brown,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,Serpinb3b,383548
ENSMUSG00000073601,brown,0,0,0,0,0,548,0,0,0,0,0,0,0,1,0,Serpinb3c,381286
ENSMUSG00000026327,brown,0,0,0,0,0,87,1,1,2,2,0,2,0,2,1,Serpinb11,66957
ENSMUSG00000026450,brown,2,0,3,0,0,33,2,2,3,0,0,0,3,1,1,Chit1,71884
ENSMUSG00000026413,brown,1,2,0,2,1,454,4,2,8,6,2,6,5,6,5,Pkp1,18772
ENSMUSG00000026407,brown,9,6,6,7,7,128,23,10,19,5,11,10,9,10,20,Cacna1s,12292
ENSMUSG00000007122,brown,30,26,17,42,31,289,90,37,41,34,28,31,23,31,52,Casq1,12372
ENSMUSG00000026489,brown,513,424,441,767,547,872,1195,476,789,592,537,564,699,588,922,Coq8a,67426
ENSMUSG00000036731,brown,1,5,3,2,1,96,4,1,1,0,1,2,2,1,2,Cysrt1,67859
ENSMUSG00000026950,brown,32,26,16,46,27,939,85,23,49,44,34,50,38,34,101,Neb,17996
ENSMUSG00000027022,brown,208,208,91,163,109,620,271,91,270,97,100,167,183,122,334,Xirp2,241431
ENSMUSG00000075307,brown,68,64,66,83,45,391,127,41,85,46,33,42,73,38,131,Klhl41,228003
ENSMUSG00000051747,brown,886,749,624,1034,601,2015,1816,484,1401,673,542,899,845,590,2537,Ttn,22138
ENSMUSG00000027077,brown,0,0,0,0,0,46,3,0,1,1,1,1,2,3,3,Smtnl1,68678
ENSMUSG00000050808,brown,0,4,0,0,0,33,0,0,1,0,2,2,2,1,1,Muc15,269328
ENSMUSG00000027401,brown,2,4,6,8,5,1360,13,4,5,5,7,1,9,16,4,Tgm3,21818
ENSMUSG00000017697,brown,58,73,80,60,57,2437,123,142,112,86,102,117,126,117,120,Ada,11486
ENSMUSG00000040154,brown,3,1,1,6,8,61,12,4,5,6,8,12,11,7,7,Wfdc5,209232
