"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000061816","ENSMUSG00000044594",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073602",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073601",0.708113282983554,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045539",0.704781770036673,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027923",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027919",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000049593",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068888",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000095870",0.710424458283754,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059832",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000090314",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042031",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045475",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000074433",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068885",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027913",0.703596186880228,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000102439",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000074199",0.70660899748795,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059230",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000056328",0.704831451951908,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044041",0.700680865962233,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000071858",0.707309682885051,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044594",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073602",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073601",0.712583941191955,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017300",0.705035642106927,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045539",0.709006040085326,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027923",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027919",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000049593",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068888",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000095870",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059832",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000090314",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000054325",0.70122976150025,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042031",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045475",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074433",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068885",0.71555112594363,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027913",0.707602066259877,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000102439",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000063651",0.702319970585312,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074199",0.710849444796974,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000031097",0.706721964086454,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000061723",0.701258768604111,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059230",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000056328",0.707139931125414,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044041",0.705239470800092,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044322",0.700303550176964,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000071858",0.711010135647588,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000044594",0.784631006735186,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000073602",0.784631006735186,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000073601",0.784091940829587,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000026327",0.728342295348409,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000026413",0.755650310669953,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000026407",0.71203392396437,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000007122",0.710630625319139,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000026983",0.757068863553546,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000036731",0.705249504290286,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000026950",0.722955250095212,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000027077",0.723253177237096,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000050808",0.703741998978269,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000027401",0.760797507574653,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000017697",0.739725919095245,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000040154",0.735934088517433,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000017300",0.770621205106477,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000043461",0.70028581685411,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000074489",0.709475064327687,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000043165",0.756715079140939,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000045539",0.781074236902115,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000057609",0.702549962494477,"brown","brown"
"ENSMUSG00000059956","ENSMUSG00000027923",0.784631006735186,"brown","brown"
