"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000061816","ENSMUSG00000059956",0.659878608431089,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044594",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073602",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073601",0.708113282983554,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026327",0.592591568275697,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026413",0.685627176206412,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026407",0.635961011130048,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000007122",0.574519925675351,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026983",0.686170959137426,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000036731",0.57986133276773,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026950",0.663125071519444,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027401",0.683888515793686,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000017697",0.642434910414847,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000017300",0.697824821071122,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000043165",0.685541673801196,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045539",0.704781770036673,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000057609",0.60571886515702,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027923",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068890",0.682205095934984,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042092",0.681490218243889,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000103243",0.688355799429593,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068889",0.684169026532679,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042124",0.667546634703708,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027919",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000049593",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068888",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000095870",0.710424458283754,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059832",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000090314",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000054325",0.697387575796256,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042031",0.710424458283755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045475",0.710424458283755,"brown","brown"
