"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000061816","ENSMUSG00000059956",0.664724888069476,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044594",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073602",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000073601",0.713301004842213,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026327",0.596936477414219,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026413",0.690655217202419,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026407",0.640576656827377,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000007122",0.578700938499772,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026983",0.691184344272304,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000036731",0.584026333557886,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000026950",0.667954052687911,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027401",0.688900538751542,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000017697",0.647150435302015,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000017300",0.702930997932159,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000043165",0.690553542802376,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045539",0.709946398804171,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000057609",0.610057564865901,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027923",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068890",0.687207784309559,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042092",0.686489213798465,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000103243",0.693398361203169,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068889",0.689185936500378,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042124",0.67244100617093,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027919",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000049593",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068888",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000095870",0.715624457825518,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059832",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000090314",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000054325",0.702499710227361,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000042031",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000045475",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000074433",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068885",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027913",0.708752916618946,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027912",0.662735978008347,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000102439",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000041991",0.647679737097552,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000041984",0.66145239132755,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000027868",0.657380446105427,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000028464",0.563314574690424,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000028749",0.509289396744243,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000043430",0.60518326309043,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000039070",0.540684437000979,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000033508",0.661007400950562,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000030484",0.652488587607736,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000057454",0.643796186227535,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000063651",0.699957863938456,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000047586",0.57652709333699,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000053522",0.68153362152501,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000030592",0.633206451170207,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000046056",0.589442672932829,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000074199",0.711786647857798,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000030693",0.557053503954619,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000030730",0.629783621376401,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000030672",0.664485257441743,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000031097",0.703993022954852,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000061723",0.700541119723276,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000000031",0.695580459428698,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000005355",0.575092871943064,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000020216",0.513015471889215,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000020061",0.679574410915297,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000035923",0.583707090817086,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059230",0.715624457825519,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000074156",0.557156930552158,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000031757",0.6952563635581,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000068697",0.663771635946294,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000043681",0.673135906698587,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000032262",0.567306459905826,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059741",0.530862780757234,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000033196",0.674128940246988,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000056328",0.709984775877985,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000057003",0.676210276253454,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000055775",0.698389824561584,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000032807",0.644953147824289,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000017204",0.62760912434712,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044041",0.705817858691838,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000020722",0.509154940785209,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000018862",0.614791159021722,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000033765",0.68967720247983,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000021506",0.538748226778382,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059668",0.58828170692784,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000090356",0.679103037007005,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000034362",0.54853641175539,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000062713",0.571256418261227,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000002500",0.542242891331181,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000092586",0.577958842519843,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000039269",0.668778574788649,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000025431",0.576789973395638,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000040694",0.556316124081528,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059898",0.505044230214413,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044322",0.703716161001556,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000069441",0.566363980465017,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000061928",0.568329946405402,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000056632",0.538443346376667,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000071858",0.712473567947747,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000024471",0.617295048890977,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000069372",0.605622124928905,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000049173",0.543282977478751,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000006457",0.653869864423433,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059956",0.669260941113627,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044594",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073602",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073601",0.713097420349507,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026327",0.599813755999167,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026413",0.69453156523366,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026407",0.640755555909862,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000007122",0.588399396221248,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026983",0.692983076256226,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000036731",0.578000282583141,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026950",0.671336966642416,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000075217",0.503179435818853,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027401",0.689648122124377,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017697",0.651561679598898,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017300",0.705539448942879,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000043165",0.689414387029936,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045539",0.709517669824317,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000057609",0.604219445473333,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027923",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068890",0.68598831665986,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042092",0.684506739264953,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000103243",0.692502212073684,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068889",0.688016266378396,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042124",0.669343057863549,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027919",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000049593",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068888",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000095870",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059832",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000090314",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000054325",0.701736781512373,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042031",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045475",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074433",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068885",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027913",0.708113997344569,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027912",0.661984875819716,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000102439",0.716064362869342,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000041991",0.638945480185408,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000041984",0.654973751822172,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027868",0.658162147151709,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000028464",0.558073621613664,"brown","brown"
