Gene.name	Gene.name.red	kMEred	kMEturquoise	degree	betweenness	closeness
A2m	Fcrl1	0.156762139	0.351580892			
Adamts2	Tnfrsf13c	-0.313277122	0.955274902			
Ccdc80	Cr2	-0.222387393	0.975250638			
Ccdc88a	Slamf6	-0.239756959	0.905096506			
Col24a1	Cd19	-0.108873772	0.967890738			
Exoc4	Fcmr	-0.201907582	0.937758158			
Gdf11	Pou2f2	0.197191437	0.906222622			
Ggt5	Nfkbiz	-0.169021126	0.679460998			
Igf2r	Coro1a	-0.21977612	0.843257961			
Ildr2	Rasgrp1	-0.118749021	0.973387858			
Itln1	Btla	-0.196645287	0.776319075			
Lama4	Ikzf3	-0.317803352	0.876104586			
Mertk	Ccr7	-0.246884699	0.86802898			
Napsa	Fcrla	-0.224154706	0.65000486			
Pde3b	Ikzf1	-0.302374839	0.567276831			
Per3	Cd79b	0.612529866	0.391251			
Rgs2	Nfkbiz	0.332206417	0.614116297			
Slc11a1	Fos	-0.174577004	0.961403568			
Svep1	Cd79a	0.108307754	0.888251771			
Thbs1	Blk	-0.367290981	0.72422127			
Tlr13	Cxcr5	-0.057572778	0.934082435			
Tnfaip2	Carmil2	-0.388351371	0.878227853			
						
