gene1,kMEblue,kMEbrown,kMEgreen,kMEgrey,kMEred,kMEturquoise,kMEyellow,degree,betweenness,closeness
ENSMUSG00000023992,-0.979175955,-0.211347855,-0.258775967,-0.051227742,-0.181018782,0.992931583,-0.507452822,NA,NA,NA
ENSMUSG00000027611,-0.965517876,-0.247347397,-0.15466289,-0.155050133,-0.298226913,0.989535792,-0.516783549,NA,NA,NA
ENSMUSG00000049723,-0.969206805,-0.249419539,-0.227911785,-0.064700362,-0.199137006,0.987067979,-0.510490929,NA,NA,NA
ENSMUSG00000024672,-0.952218101,-0.253748775,-0.161796944,-0.139648586,-0.251700719,0.985622302,-0.565577341,NA,NA,NA
ENSMUSG00000017400,-0.96784604,-0.173134572,-0.291531267,-0.027015781,-0.148727644,0.984868635,-0.550596406,NA,NA,NA
ENSMUSG00000046186,-0.962793889,-0.079910616,-0.25162474,-0.088948348,-0.164578299,0.983067328,-0.62633073,NA,NA,NA
ENSMUSG00000029581,-0.94232981,-0.239074421,-0.105357436,-0.195064721,-0.280034786,0.980388404,-0.608514682,NA,NA,NA
ENSMUSG00000033213,-0.967351069,-0.231816668,-0.271496513,-0.014538393,-0.156909686,0.979838349,-0.538594394,NA,NA,NA
ENSMUSG00000040046,-0.94910039,-0.189493041,-0.179966242,-0.155274211,-0.233911276,0.979235139,-0.593674736,NA,NA,NA
ENSMUSG00000074622,-0.967857318,-0.236338092,-0.264202132,-0.038677026,-0.174069162,0.978350476,-0.57322377,NA,NA,NA
ENSMUSG00000016283,-0.969515201,-0.227835386,-0.34118424,0.04972447,-0.096737501,0.978336316,-0.496230268,NA,NA,NA
ENSMUSG00000020053,-0.948669437,-0.254778348,-0.156001592,-0.16576052,-0.291520396,0.978019086,-0.543951565,NA,NA,NA
ENSMUSG00000023367,-0.936969475,-0.306898697,-0.128060681,-0.184931659,-0.256478061,0.976871587,-0.587280142,NA,NA,NA
ENSMUSG00000014602,-0.962086652,-0.330410214,-0.241696391,-0.041393238,-0.182408563,0.975940347,-0.561779848,NA,NA,NA
ENSMUSG00000047592,-0.959981798,-0.18083737,-0.290513609,-0.001526819,-0.116272977,0.975891587,-0.557544184,NA,NA,NA
ENSMUSG00000024781,-0.976001295,-0.229694487,-0.330432416,0.037890588,-0.123302185,0.975839945,-0.464854906,NA,NA,NA
ENSMUSG00000026069,-0.941527364,-0.165348922,-0.193609274,-0.12852631,-0.181281209,0.97550481,-0.655359428,NA,NA,NA
ENSMUSG00000022665,-0.94875776,-0.19355957,-0.169670611,-0.144942904,-0.222387393,0.975250638,-0.558221805,NA,NA,NA
ENSMUSG00000029816,-0.961705317,-0.23391799,-0.258399257,-0.026307099,-0.178174809,0.973895152,-0.465817954,NA,NA,NA
ENSMUSG00000001865,-0.926538875,-0.264865406,-0.128153898,-0.197435731,-0.270921401,0.97375779,-0.626314903,NA,NA,NA
ENSMUSG00000015709,-0.965570982,-0.168956591,-0.309273234,-0.001781904,-0.151113815,0.973526916,-0.53822624,NA,NA,NA
ENSMUSG00000040612,-0.945338315,-0.212771878,-0.247695026,-0.053272815,-0.118749021,0.973387858,-0.616049172,NA,NA,NA
ENSMUSG00000040026,-0.925950011,-0.286142032,-0.187046142,-0.115100254,-0.192775881,0.972079824,-0.572021775,NA,NA,NA
ENSMUSG00000028111,-0.957254895,-0.175989577,-0.215642227,-0.085584856,-0.220379874,0.971937422,-0.477567294,NA,NA,NA
ENSMUSG00000004730,-0.972918361,-0.253683675,-0.262349437,-0.004472795,-0.195171143,0.971928209,-0.491087078,NA,NA,NA
ENSMUSG00000022661,-0.983204689,-0.224570795,-0.319272504,0.039680074,-0.175223824,0.971904961,-0.425744021,NA,NA,NA
ENSMUSG00000061119,-0.96509907,-0.089895932,-0.364013811,0.013509738,-0.048938285,0.971626689,-0.598395348,NA,NA,NA
ENSMUSG00000073530,-0.936806643,-0.214572421,-0.196445194,-0.118562866,-0.1969515,0.971602746,-0.660185258,NA,NA,NA
ENSMUSG00000029174,-0.947717343,-0.155968243,-0.271990792,-0.033691026,-0.127902151,0.971510789,-0.59953404,NA,NA,NA
ENSMUSG00000001348,-0.970309973,-0.168676329,-0.310656207,0.006227416,-0.163246015,0.971038743,-0.490386602,NA,NA,NA
ENSMUSG00000061068,-0.920072881,-0.243650526,-0.141163245,-0.194826502,-0.270751636,0.971030923,-0.603259643,NA,NA,NA
ENSMUSG00000033825,-0.920935414,-0.230554374,-0.103610602,-0.229401643,-0.287997972,0.970302347,-0.628719467,NA,NA,NA
ENSMUSG00000021939,-0.960891482,-0.214890219,-0.246522759,-0.044281493,-0.211779636,0.970209018,-0.454210812,NA,NA,NA
ENSMUSG00000022225,-0.9204832,-0.22630968,-0.121355386,-0.210669498,-0.266350575,0.97004401,-0.634547918,NA,NA,NA
ENSMUSG00000029811,-0.937513771,-0.17729921,-0.247849582,-0.111248784,-0.140920865,0.969586431,-0.606210814,NA,NA,NA
ENSMUSG00000074109,-0.93759025,-0.162664869,-0.262158547,-0.066436605,-0.14317371,0.96914502,-0.583314469,NA,NA,NA
ENSMUSG00000016494,-0.941635245,-0.207163446,-0.211334277,-0.124488641,-0.183101307,0.96908292,-0.619973622,NA,NA,NA
ENSMUSG00000027408,-0.9133128,-0.188760606,-0.066179256,-0.273045563,-0.308788006,0.96904876,-0.632811085,NA,NA,NA
ENSMUSG00000002985,-0.937312222,-0.296796417,-0.089323309,-0.218804417,-0.356202865,0.968811169,-0.459357061,NA,NA,NA
ENSMUSG00000062593,-0.947104535,-0.239735321,-0.321387006,0.011333095,-0.110626807,0.968642709,-0.550706889,NA,NA,NA
ENSMUSG00000036905,-0.914681181,-0.217702552,-0.053198081,-0.273440034,-0.330029274,0.968618598,-0.655644439,NA,NA,NA
ENSMUSG00000028197,-0.963927267,-0.162970939,-0.311464064,0.026162415,-0.108873772,0.967890738,-0.573859206,NA,NA,NA
ENSMUSG00000052688,-0.958561236,-0.053905382,-0.254912484,-0.047159446,-0.141475541,0.967434776,-0.59060884,NA,NA,NA
ENSMUSG00000024538,-0.949815098,-0.134004861,-0.183422489,-0.155851672,-0.269149911,0.967322956,-0.493252569,NA,NA,NA
ENSMUSG00000030683,-0.96785041,-0.203206915,-0.240505252,-0.031933381,-0.240979705,0.966633756,-0.47173678,NA,NA,NA
ENSMUSG00000004609,-0.953531026,-0.286753818,-0.394218563,0.079948919,-0.065703672,0.966617463,-0.512562241,NA,NA,NA
ENSMUSG00000029810,-0.932610693,-0.270073937,-0.101783956,-0.22241027,-0.314628936,0.966322769,-0.540717525,NA,NA,NA
ENSMUSG00000074417,-0.956122806,-0.188406606,-0.381318631,0.049526784,-0.052511393,0.966278046,-0.540143689,NA,NA,NA
ENSMUSG00000004207,-0.957210053,-0.238767886,-0.267226721,-0.031383546,-0.217124949,0.965798247,-0.452893321,NA,NA,NA
ENSMUSG00000052516,-0.962026429,-0.121013267,-0.316165472,0.012486636,-0.097866982,0.965568681,-0.568939228,NA,NA,NA
ENSMUSG00000050967,-0.93215637,-0.251321866,-0.271309239,-0.032176806,-0.14802902,0.965339001,-0.566293274,NA,NA,NA
ENSMUSG00000027338,-0.923334188,-0.268199429,-0.059006107,-0.258326258,-0.350043653,0.965059681,-0.581989355,NA,NA,NA
ENSMUSG00000036896,-0.909144481,-0.281489636,-0.062019118,-0.266141312,-0.343280642,0.964887905,-0.607602493,NA,NA,NA
ENSMUSG00000001751,-0.956953406,-0.174125198,-0.380139495,0.080173066,-0.051558177,0.964766271,-0.517199944,NA,NA,NA
ENSMUSG00000024680,-0.924729138,-0.22619301,-0.26148372,-0.068403027,-0.144642912,0.964701381,-0.618571337,NA,NA,NA
ENSMUSG00000019796,-0.921094983,-0.350509991,-0.100164164,-0.212905815,-0.330123923,0.964578272,-0.534512467,NA,NA,NA
ENSMUSG00000045312,-0.952800553,-0.217748079,-0.181071133,-0.087287941,-0.256481294,0.964399163,-0.458081681,NA,NA,NA
ENSMUSG00000029608,-0.951148021,-0.355800466,-0.320735412,0.042635392,-0.093208501,0.964165118,-0.507674008,NA,NA,NA
ENSMUSG00000034593,-0.951790419,-0.140006747,-0.337131765,0.033782338,-0.035484219,0.963804388,-0.628736385,NA,NA,NA
ENSMUSG00000033880,-0.948076302,-0.263208125,-0.314837445,0.024320275,-0.091781576,0.963690746,-0.524659137,NA,NA,NA
ENSMUSG00000036887,-0.909716863,-0.219782023,-0.061219505,-0.278916044,-0.321089587,0.963663264,-0.63227596,NA,NA,NA
ENSMUSG00000028019,-0.939376753,-0.15499355,-0.261156079,-0.096724166,-0.204093785,0.963607955,-0.582347596,NA,NA,NA
ENSMUSG00000048779,-0.927738042,-0.296619084,-0.260023578,-0.031404261,-0.098102007,0.963530306,-0.608241576,NA,NA,NA
ENSMUSG00000079625,-0.945948071,-0.194169019,-0.274435004,-0.0343396,-0.136179456,0.963344457,-0.525188736,NA,NA,NA
ENSMUSG00000025969,-0.970154393,-0.215038891,-0.36802636,0.091210682,-0.046235164,0.96329401,-0.546188074,NA,NA,NA
ENSMUSG00000030214,-0.925342482,-0.102224482,-0.113932582,-0.221181513,-0.25691373,0.963115828,-0.665277488,NA,NA,NA
ENSMUSG00000034652,-0.949574354,-0.163259432,-0.397939718,0.053869094,-0.063874573,0.962894963,-0.518188879,NA,NA,NA
ENSMUSG00000038173,-0.949090336,-0.25955069,-0.178777775,-0.126327404,-0.294641188,0.962331042,-0.556125916,NA,NA,NA
ENSMUSG00000030217,-0.931425963,-0.114767047,-0.362644481,0.017367526,-0.046929696,0.962295885,-0.623745692,NA,NA,NA
ENSMUSG00000028364,-0.923213722,-0.227708426,-0.073312207,-0.227413993,-0.301951139,0.962234183,-0.64101419,NA,NA,NA
ENSMUSG00000024173,-0.93109215,-0.227728187,-0.145327035,-0.164937531,-0.269088631,0.961943913,-0.554061184,NA,NA,NA
ENSMUSG00000041202,-0.929755674,-0.252954369,-0.245647772,-0.071210014,-0.127639246,0.961938368,-0.644719453,NA,NA,NA
ENSMUSG00000040722,-0.965457781,-0.293374097,-0.365718582,0.061362493,-0.130179911,0.961708247,-0.398670034,NA,NA,NA
ENSMUSG00000021665,-0.958802928,-0.001822458,-0.384944812,0.034954274,-0.03237504,0.961637855,-0.57419243,NA,NA,NA
ENSMUSG00000025355,-0.942081675,-0.250943951,-0.181158439,-0.081836925,-0.247653375,0.961622262,-0.517985555,NA,NA,NA
ENSMUSG00000051242,-0.915534142,-0.156304851,-0.090574756,-0.258505233,-0.279084634,0.961515391,-0.655439373,NA,NA,NA
ENSMUSG00000024663,-0.933643273,-0.234938389,-0.070368927,-0.190002409,-0.326462069,0.961470115,-0.545088625,NA,NA,NA
ENSMUSG00000043017,-0.953092451,-0.091921029,-0.334909099,0.016531335,-0.073034727,0.961409863,-0.559728569,NA,NA,NA
ENSMUSG00000041633,-0.959482969,-0.188499334,-0.388478673,0.090204321,-0.079231961,0.961407779,-0.527329759,NA,NA,NA
ENSMUSG00000026177,-0.956489514,-0.330089015,-0.294993091,0.020773719,-0.174577004,0.961403568,-0.374252592,NA,NA,NA
ENSMUSG00000018593,-0.920475176,-0.281855741,-0.021958198,-0.286882512,-0.417514699,0.961380122,-0.512532083,NA,NA,NA
ENSMUSG00000028278,-0.917049858,-0.1756646,-0.045754504,-0.274065726,-0.311610061,0.961351074,-0.646734312,NA,NA,NA
ENSMUSG00000036086,-0.960282381,-0.190384628,-0.230985114,-0.044924044,-0.222058561,0.961234484,-0.468321329,NA,NA,NA
ENSMUSG00000026728,-0.941915064,-0.177437156,-0.182159854,-0.123941652,-0.268108773,0.961135224,-0.558486615,NA,NA,NA
ENSMUSG00000000290,-0.960515721,-0.205596433,-0.347898723,0.055621358,-0.118406286,0.96102646,-0.461065207,NA,NA,NA
ENSMUSG00000021186,-0.920853818,-0.30554177,-0.132242539,-0.204624361,-0.287596947,0.960784177,-0.553770682,NA,NA,NA
ENSMUSG00000029919,-0.95970071,-0.207671542,-0.392343169,0.077154677,-0.061612346,0.960772913,-0.539933007,NA,NA,NA
ENSMUSG00000036330,-0.96146489,-0.157093731,-0.321633481,0.042984619,-0.109108765,0.960586978,-0.522830441,NA,NA,NA
ENSMUSG00000070547,-0.926653895,-0.191347671,-0.197660736,-0.127762751,-0.189081363,0.960385403,-0.594524865,NA,NA,NA
ENSMUSG00000032122,-0.949546509,-0.168726807,-0.269779198,-0.022421258,-0.177988631,0.959902354,-0.495507049,NA,NA,NA
ENSMUSG00000009185,-0.913343221,-0.232039025,-0.103008928,-0.201822002,-0.262629929,0.959629793,-0.581406226,NA,NA,NA
ENSMUSG00000068220,-0.929969433,-0.113595685,-0.085226759,-0.234987219,-0.331269266,0.959432307,-0.55572824,NA,NA,NA
ENSMUSG00000027239,-0.907206545,-0.401220614,-0.095273764,-0.203909382,-0.323499094,0.959349839,-0.533815611,NA,NA,NA
ENSMUSG00000002847,-0.923491173,-0.196929061,-0.310329546,-0.02237312,-0.083250751,0.9592289,-0.629633727,NA,NA,NA
ENSMUSG00000020097,-0.954220892,-0.145620458,-0.292766854,0.000199466,-0.105281009,0.959209019,-0.589871635,NA,NA,NA
ENSMUSG00000025534,-0.962195979,-0.208124723,-0.302695231,0.029799698,-0.17313848,0.959023089,-0.425370348,NA,NA,NA
ENSMUSG00000022440,-0.941894138,-0.256910028,-0.215594441,-0.047000184,-0.213439227,0.958632494,-0.407493437,NA,NA,NA
ENSMUSG00000108084,-0.917231367,-0.303608124,-0.080762284,-0.214408141,-0.302297354,0.958286912,-0.534529771,NA,NA,NA
ENSMUSG00000020658,-0.960196115,-0.272047393,-0.364551718,0.064978411,-0.091002434,0.957439407,-0.516669441,NA,NA,NA
ENSMUSG00000026042,-0.920508782,-0.267174523,-0.095565038,-0.189940379,-0.295190626,0.957226163,-0.592241439,NA,NA,NA
ENSMUSG00000021190,-0.952379495,-0.198796664,-0.250018159,-0.039388671,-0.221029884,0.956884605,-0.416218021,NA,NA,NA
ENSMUSG00000045679,-0.944882135,-0.124552472,-0.337820385,-0.017525624,-0.107983701,0.956653039,-0.580356757,NA,NA,NA
ENSMUSG00000020901,-0.956627804,-0.145227671,-0.357970138,0.038225135,-0.096191789,0.956563412,-0.534714357,NA,NA,NA
ENSMUSG00000030218,-0.903881781,-0.141010655,-0.054078054,-0.293199434,-0.328638702,0.956446894,-0.68297818,NA,NA,NA
ENSMUSG00000030862,-0.941977389,-0.190958722,-0.179631695,-0.114233632,-0.239739615,0.956347639,-0.54639803,NA,NA,NA
ENSMUSG00000037902,-0.973959171,-0.193444215,-0.369915948,0.081246681,-0.095920068,0.956317048,-0.414149409,NA,NA,NA
ENSMUSG00000031007,-0.925543617,-0.274638645,-0.075734512,-0.241993795,-0.389485826,0.955790216,-0.507217384,NA,NA,NA
ENSMUSG00000057457,-0.931041322,-0.130903717,-0.195764279,-0.114755313,-0.180921373,0.955326695,-0.586463922,NA,NA,NA
ENSMUSG00000036545,-0.919353005,-0.268448528,-0.091956253,-0.198685726,-0.313277122,0.955274902,-0.573130458,NA,NA,NA
ENSMUSG00000027737,-0.910241722,-0.318849958,-0.105845794,-0.191839995,-0.236806422,0.955274735,-0.576046679,NA,NA,NA
ENSMUSG00000020303,-0.900598264,-0.238742112,-0.273316336,-0.072070274,-0.068780958,0.955207437,-0.676938828,NA,NA,NA
ENSMUSG00000071714,-0.96870999,-0.180527707,-0.278124375,0.019068729,-0.190537325,0.955173808,-0.456616132,NA,NA,NA
ENSMUSG00000069515,-0.926183126,-0.203250158,-0.169569776,-0.171147995,-0.216163223,0.95503508,-0.588043608,NA,NA,NA
ENSMUSG00000050425,-0.902463737,-0.254627355,-0.147663339,-0.163746057,-0.23178505,0.954574732,-0.634979648,NA,NA,NA
ENSMUSG00000020473,-0.903171614,-0.228802627,-0.175627546,-0.166553241,-0.173724913,0.954565834,-0.697097543,NA,NA,NA
ENSMUSG00000005339,-0.897548139,-0.353015192,-0.115367934,-0.18650603,-0.263031126,0.953198469,-0.611559022,NA,NA,NA
ENSMUSG00000037370,-0.942365946,-0.085732793,-0.298192881,0.010225138,-0.085027076,0.952818261,-0.52661555,NA,NA,NA
ENSMUSG00000021091,-0.895695161,-0.228206978,-0.076072772,-0.258894751,-0.311954656,0.95259258,-0.672760006,NA,NA,NA
ENSMUSG00000022150,-0.924713387,-0.30480216,-0.099333417,-0.147044401,-0.290256643,0.952121613,-0.583680405,NA,NA,NA
ENSMUSG00000022816,-0.919428206,-0.08698238,-0.095247487,-0.227950363,-0.281186594,0.951603802,-0.621382835,NA,NA,NA
ENSMUSG00000021994,-0.942406007,-0.149989133,-0.397717645,0.103047015,0.01639402,0.951466788,-0.625788713,NA,NA,NA
ENSMUSG00000028339,-0.958431829,-0.285906391,-0.194155916,-0.06517985,-0.291153631,0.951462705,-0.424739365,NA,NA,NA
ENSMUSG00000031266,-0.949500083,-0.233738926,-0.279975888,-0.018456924,-0.208450564,0.951321226,-0.396382878,NA,NA,NA
ENSMUSG00000032537,-0.892618435,-0.2939829,-0.055469857,-0.256252582,-0.284736602,0.950987808,-0.62700679,NA,NA,NA
ENSMUSG00000027400,-0.92223502,-0.306192913,-0.182450343,-0.115962866,-0.231824057,0.950922205,-0.456979767,NA,NA,NA
ENSMUSG00000019806,-0.941921129,-0.259659957,-0.191409294,-0.112710034,-0.283779319,0.950587466,-0.408363752,NA,NA,NA
ENSMUSG00000034714,-0.932926283,-0.185377355,-0.291649974,-0.003707075,-0.164077094,0.950554936,-0.470018379,NA,NA,NA
ENSMUSG00000074802,-0.937207792,-0.207546759,-0.368620968,0.085432441,0.002312731,0.950553573,-0.581967631,NA,NA,NA
ENSMUSG00000031709,-0.909526274,-0.229488703,-0.033768707,-0.270133436,-0.343603446,0.950125263,-0.637393135,NA,NA,NA
ENSMUSG00000028351,-0.895633602,-0.210468182,-0.082619276,-0.260178324,-0.289286337,0.949848482,-0.639157399,NA,NA,NA
ENSMUSG00000018774,-0.962986208,-0.187900615,-0.354539644,0.066377875,-0.129209029,0.949802989,-0.411429159,NA,NA,NA
ENSMUSG00000029819,-0.926654257,-0.200084643,-0.266712495,-0.030326383,-0.151747309,0.949669651,-0.496910022,NA,NA,NA
ENSMUSG00000052102,-0.928663324,-0.283233841,-0.116233422,-0.179544496,-0.310288766,0.949598015,-0.581120205,NA,NA,NA
ENSMUSG00000024349,-0.956004234,-0.219457464,-0.186377178,-0.053189817,-0.244823375,0.949441658,-0.423812465,NA,NA,NA
ENSMUSG00000022667,-0.933511067,-0.282953862,-0.21179216,-0.040240521,-0.206604359,0.949435063,-0.513404684,NA,NA,NA
ENSMUSG00000036256,-0.9058376,-0.326587891,0.001638557,-0.315197769,-0.433909115,0.948657599,-0.529625286,NA,NA,NA
ENSMUSG00000001128,-0.919530134,-0.251279717,-0.019806129,-0.25647905,-0.394479073,0.948654422,-0.57037548,NA,NA,NA
ENSMUSG00000015852,-0.9121374,-0.30995195,-0.051293241,-0.23491537,-0.343762887,0.948443882,-0.577678325,NA,NA,NA
ENSMUSG00000050147,-0.915522894,-0.295808125,-0.16528651,-0.132615717,-0.250430488,0.948254836,-0.538288118,NA,NA,NA
ENSMUSG00000007891,-0.956974171,-0.23349244,-0.275624234,-0.000710479,-0.221040057,0.94811248,-0.357814215,NA,NA,NA
ENSMUSG00000052459,-0.93737795,-0.262833286,-0.118352114,-0.148704496,-0.321120451,0.947880751,-0.441676056,NA,NA,NA
ENSMUSG00000074968,-0.932475039,-0.105086894,-0.245344657,-0.050831875,-0.111662899,0.9475634,-0.601590986,NA,NA,NA
ENSMUSG00000032440,-0.940990442,-0.154531236,-0.426496055,0.098202269,0.028721732,0.947552102,-0.556515052,NA,NA,NA
ENSMUSG00000020017,-0.928843615,-0.043412122,-0.256941375,-0.065837156,-0.100569338,0.946890653,-0.553662884,NA,NA,NA
ENSMUSG00000036908,-0.940858367,-0.220963297,-0.412628312,0.14680326,0.008797383,0.9467532,-0.518570299,NA,NA,NA
ENSMUSG00000003363,-0.946885074,-0.22221868,-0.233447619,-0.03420579,-0.245759694,0.946706935,-0.400442266,NA,NA,NA
ENSMUSG00000033200,-0.918401831,-0.318782884,-0.230509347,-0.049824764,-0.145483198,0.94670507,-0.621309429,NA,NA,NA
ENSMUSG00000056888,-0.881839097,-0.302472381,-0.088745507,-0.222318841,-0.245883346,0.946427459,-0.573212471,NA,NA,NA
ENSMUSG00000046997,-0.928302377,-0.223821595,-0.3110229,0.002784953,-0.099083475,0.946263331,-0.553985846,NA,NA,NA
ENSMUSG00000020598,-0.886606709,-0.271141334,-0.11005299,-0.178680075,-0.258737104,0.945302896,-0.640720641,NA,NA,NA
ENSMUSG00000028249,-0.928846184,-0.304509406,-0.063145533,-0.209327753,-0.384479096,0.94511595,-0.446495928,NA,NA,NA
ENSMUSG00000059336,-0.937388,-0.242007749,-0.377012432,0.074963456,-0.093690432,0.944984951,-0.465455643,NA,NA,NA
ENSMUSG00000027656,-0.917435108,-0.243671507,-0.341192614,-0.018875661,-0.093069678,0.944714823,-0.606767363,NA,NA,NA
ENSMUSG00000024621,-0.908854596,-0.247745405,-0.287544536,-0.03643595,-0.109382479,0.944566487,-0.656600538,NA,NA,NA
ENSMUSG00000041324,-0.936208839,-0.221013023,-0.273657601,-0.008629613,-0.131710329,0.943335938,-0.586929814,NA,NA,NA
ENSMUSG00000028497,-0.937796371,-0.198529703,-0.43051696,0.105303148,0.033824194,0.943085905,-0.538803208,NA,NA,NA
ENSMUSG00000026358,-0.936223583,-0.133191753,-0.453068604,0.141919992,0.048483717,0.942987754,-0.5299625,NA,NA,NA
ENSMUSG00000064325,-0.915330956,-0.089644845,-0.335567067,0.002877362,-0.033944873,0.942726941,-0.637293015,NA,NA,NA
ENSMUSG00000031740,-0.876370574,-0.135525017,-0.138036125,-0.204656326,-0.188866313,0.942497443,-0.758124368,NA,NA,NA
ENSMUSG00000059498,-0.912938991,-0.256570226,-0.035142423,-0.258355392,-0.429926688,0.942497077,-0.434363292,NA,NA,NA
ENSMUSG00000025044,-0.938380959,-0.262612758,-0.265969217,0.00301968,-0.174343879,0.942434115,-0.403234278,NA,NA,NA
ENSMUSG00000036596,-0.870963014,-0.254307286,-0.098579523,-0.218102002,-0.245034809,0.941795357,-0.715151754,NA,NA,NA
ENSMUSG00000073418,-0.884155493,-0.226043291,-0.136666906,-0.200795907,-0.199728434,0.941771974,-0.747636073,NA,NA,NA
ENSMUSG00000010476,-0.929299592,-0.105772228,-0.300659024,0.002844233,-0.135323013,0.941722233,-0.57972546,NA,NA,NA
ENSMUSG00000050708,-0.924318518,-0.249787602,-0.173220352,-0.134512785,-0.319930551,0.941624336,-0.417346251,NA,NA,NA
ENSMUSG00000081665,-0.943428045,-0.225266037,-0.382843025,0.081169141,-0.108343906,0.941548947,-0.413460313,NA,NA,NA
ENSMUSG00000015027,-0.932045438,-0.081172533,-0.431317121,0.099584779,0.001019234,0.941482181,-0.476111338,NA,NA,NA
ENSMUSG00000061451,-0.929057222,-0.354597777,-0.271686905,-0.039563775,-0.161317979,0.941227358,-0.436141402,NA,NA,NA
ENSMUSG00000025597,-0.894517012,-0.232614967,-0.095761496,-0.219340972,-0.313260129,0.94103974,-0.628869731,NA,NA,NA
ENSMUSG00000043885,-0.92092632,-0.203757322,-0.367509051,0.037740301,-0.009722027,0.939783201,-0.629031454,NA,NA,NA
ENSMUSG00000025473,-0.898312828,-0.246020944,-0.179237469,-0.129677075,-0.162819324,0.939558746,-0.659047497,NA,NA,NA
ENSMUSG00000069792,-0.936532084,-0.229364143,-0.179133938,-0.084217736,-0.297708091,0.93948456,-0.429721622,NA,NA,NA
ENSMUSG00000031886,-0.905338755,-0.234497465,-0.080739275,-0.208895905,-0.293950872,0.939410152,-0.562117739,NA,NA,NA
ENSMUSG00000103847,-0.909603254,-0.322448631,-0.21784662,-0.049941393,-0.20819466,0.939384974,-0.410398175,NA,NA,NA
ENSMUSG00000089942,-0.945522267,-0.344491215,-0.249108701,0.012633205,-0.163909871,0.939158581,-0.401119599,NA,NA,NA
ENSMUSG00000040283,-0.915309489,-0.26925713,-0.17678091,-0.107791696,-0.299724771,0.939145487,-0.492287253,NA,NA,NA
