"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name"
"ENSMUSG00000000031","brown",64,38,43,76,53,1375,125,61,116,71,65,57,106,67,134,"H19"
"ENSMUSG00000000058","blue",7364,5711,6123,7733,5844,6090,11946,4951,8198,5583,5101,4871,9103,5959,8596,"Cav2"
"ENSMUSG00000000182","turquoise",4,0,1,8,1,0,7,7,2,3,24,43,14,9,71,"Fgf23"
"ENSMUSG00000000184","turquoise",4153,3646,3154,3865,3474,2879,7548,5210,7548,4846,4457,5540,8506,5823,8763,"Ccnd2"
"ENSMUSG00000000204","blue",187,42,132,141,84,68,352,50,40,71,65,123,64,103,172,"Slfn4"
"ENSMUSG00000000290","turquoise",2677,2253,2567,2913,3207,2871,5854,5463,4157,5969,5692,6414,5829,8934,6986,"Itgb2"
"ENSMUSG00000000308","yellow",442,537,903,766,1185,455,817,589,700,559,485,560,845,683,758,"Ckmt1"
"ENSMUSG00000000317","turquoise",965,1100,1037,1105,1004,1303,2459,1428,1735,986,1130,1349,1993,1466,2763,"Bcl6b"
"ENSMUSG00000000318","turquoise",52,74,95,102,73,79,145,162,195,183,172,154,211,196,227,"Clec10a"
"ENSMUSG00000000386","turquoise",81,54,39,130,53,62,101,109,114,149,137,156,130,127,162,"Mx1"
"ENSMUSG00000000402","yellow",1266,1523,1901,2277,3181,1585,2301,1620,1963,1601,1703,2189,1909,2530,2039,"Egfl6"
"ENSMUSG00000000486","red",260,242,255,482,359,382,787,340,349,395,362,327,374,248,422,"1-Sep"
"ENSMUSG00000000530","blue",17147,13562,13988,17483,13669,13120,28761,11340,18768,10744,10849,9082,20689,10187,18962,"Acvrl1"
"ENSMUSG00000000562","turquoise",62,67,87,69,118,58,107,157,153,176,139,146,220,300,223,"Adora3"
"ENSMUSG00000000567","yellow",17,37,82,103,251,20,38,9,53,19,18,12,32,18,32,"Sox9"
"ENSMUSG00000000594","turquoise",2434,1908,2194,2588,2377,2443,4469,3066,3142,3333,3002,3547,3963,4064,4026,"Gm2a"
"ENSMUSG00000000682","turquoise",483,374,515,634,479,575,1108,830,725,858,704,823,894,747,1009,"Cd52"
"ENSMUSG00000000792","turquoise",24,6,17,30,20,17,66,54,66,47,55,47,83,65,70,"Slc5a5"
"ENSMUSG00000000794","turquoise",565,463,411,477,543,353,696,531,615,737,726,778,786,1217,1053,"Kcnn3"
"ENSMUSG00000000805","blue",3681,3135,3770,3841,3172,2683,5900,2927,4030,2769,2999,2206,5207,3022,5554,"Car4"
"ENSMUSG00000000861","red",89,66,43,172,116,141,255,95,104,142,115,107,95,62,116,"Bcl11a"
"ENSMUSG00000000957","turquoise",1611,1449,1337,1691,1291,1151,2271,2248,2275,1823,1874,2414,2887,2167,2553,"Mmp14"
"ENSMUSG00000000982","turquoise",26,17,26,15,19,14,42,76,34,49,38,58,55,80,72,"Ccl3"
"ENSMUSG00000001029","blue",2539,2275,2372,2611,2081,1922,4213,2102,3150,1845,1792,1658,3668,1931,3594,"Icam2"
"ENSMUSG00000001128","turquoise",380,312,312,314,352,319,680,510,580,504,477,647,711,679,822,"Cfp"
"ENSMUSG00000001131","turquoise",95,29,53,34,64,46,71,191,137,140,100,209,197,176,162,"Timp1"
"ENSMUSG00000001240","blue",5998,5047,6001,5144,3644,3677,8295,3330,5140,2765,2531,2122,6236,2847,5341,"Ramp2"
