"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000025980","green",3276,3057,2536,2131,2231,1983,3776,2350,4198,1997,1872,2105,5075,2897,4575,"Hspd1","15510"
"ENSMUSG00000073676","green",1173,1101,1042,734,805,790,1325,910,1481,684,713,781,1995,1084,1600,"Hspe1","15528"
"ENSMUSG00000026203","green",2044,1710,1680,1582,1381,1345,2653,1442,2172,1245,1303,1448,2687,1662,2589,"Dnajb2","56812"
"ENSMUSG00000014226","green",1661,1487,1154,760,868,876,1511,1121,2092,734,763,903,2722,1423,2186,"Cacybp","12301"
"ENSMUSG00000026864","green",17880,15563,11612,8569,9620,7079,15043,12096,17664,8920,9011,10006,24736,14643,21194,"Hspa5","14828"
"ENSMUSG00000067925","green",756,634,731,507,495,367,790,514,760,457,447,381,1080,497,852,"Rtl8a","66158"
"ENSMUSG00000025757","green",3378,2881,1693,1730,1749,1427,3273,1749,3846,1897,1581,1855,4137,2122,3762,"Hspa4l","18415"
"ENSMUSG00000028410","green",8694,8565,6380,3450,4224,4266,7979,6083,11389,3079,3420,3923,13695,6859,11330,"Dnaja1","15502"
"ENSMUSG00000028776","green",2976,2630,3101,1980,1824,1658,3300,2387,2916,1275,1841,1636,5188,2622,2964,"Tinagl1","94242"
"ENSMUSG00000100801","green",1639,1664,1104,761,933,721,1451,1012,1752,646,611,746,2444,1290,1792,"Gm15459","727711"
"ENSMUSG00000029126","green",1470,1067,1230,1027,883,787,1838,1216,1636,877,940,893,2045,1032,1840,"Nsg1","18196"
"ENSMUSG00000037720","green",2136,1944,1476,1647,1616,1370,2698,1559,2652,1621,1458,1661,3152,2181,3101,"Tmem33","67878"
"ENSMUSG00000009013","green",3743,3290,3643,2541,2762,2449,4788,3036,4337,2210,2273,2497,6076,3491,5283,"Dynll1","56455"
"ENSMUSG00000041548","green",783,579,622,471,463,647,857,598,1039,522,491,615,1111,729,1026,"Hspb8","80888"
"ENSMUSG00000008348","green",738,756,773,618,586,594,1207,692,1020,530,531,610,1279,775,1149,"Ubc","22190"
"ENSMUSG00000029675","green",5331,5961,4965,3313,2966,1925,3757,4834,4587,2447,3421,4665,9832,3871,4404,"Eln","13717"
"ENSMUSG00000004951","green",3420,3425,1933,1100,1156,1540,2238,1636,3741,1057,1063,1158,5426,2126,3449,"Hspb1","15507"
"ENSMUSG00000018143","green",2874,2413,2536,2315,2005,2165,4236,2488,3330,1706,2026,2295,3980,2524,3986,"Mafk","17135"
"ENSMUSG00000029657","green",4649,4562,2035,795,1152,1095,2530,2261,6398,869,928,1147,7848,2650,5533,"Hsph1","15505"
"ENSMUSG00000025823","green",3039,2780,2432,2175,2478,1730,3430,2283,3056,2199,2102,2376,4276,2952,4359,"Pdia4","12304"
"ENSMUSG00000029817","green",2335,2152,1978,1792,1879,1667,3647,1950,2839,1443,1591,1789,3300,2352,3420,"Tra2a","101214"
