Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR,Source
ENSMUSG00000030111,ENSMUSG00000030111,A2m,-6.693074013,1.882627475,13.37894066,0.000254465,0.006266756,Ure_vs_PBS_RT_DMXAA
ENSMUSG00000030111,ENSMUSG00000030111,A2m,6.033532025,1.882627475,11.47606556,0.000704982,0.007312387,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000071347,ENSMUSG00000071347,C1qtnf9,-1.534382106,1.503829519,21.77414818,3.07E-06,0.000203357,Ure_vs_PBS_RT_DMXAA
ENSMUSG00000071347,ENSMUSG00000071347,C1qtnf9,1.143812777,1.503829519,11.61592515,0.000653895,0.006907167,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000024770,ENSMUSG00000024770,Lipn,-2.939442583,-0.72328556,13.98321563,0.00018445,0.00488438,Ure_vs_PBS_RT_DMXAA
ENSMUSG00000024770,ENSMUSG00000024770,Lipn,2.642002229,-0.72328556,10.98267852,0.000919674,0.009033768,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000047986,ENSMUSG00000047986,Palm3,1.103587352,1.669526304,15.92347755,6.60E-05,0.006423767,Ure_DMXAA_vs_Ure
ENSMUSG00000026458,ENSMUSG00000026458,Ppfia4,1.209306159,1.675717157,17.14588284,3.46E-05,0.000662312,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000043017,ENSMUSG00000043017,Ptgir,-1.101759895,3.828513958,15.21540856,9.59E-05,0.002517893,Ure_DMXAA_vs_PBS_RT_DMXAA
ENSMUSG00000043017,ENSMUSG00000043017,Ptgir,-1.44641934,3.828513958,25.44142015,4.56E-07,4.44E-05,Ure_vs_PBS_RT_DMXAA
ENSMUSG00000043017,ENSMUSG00000043017,Ptgir,1.311379492,3.828513958,21.34119536,3.84E-06,0.000209034,Ure_RT_DMXAA_vs_Ure_DMXAA
ENSMUSG00000043017,ENSMUSG00000043017,Ptgir,1.656038937,3.828513958,32.97428283,9.34E-09,8.09E-07,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000052688,ENSMUSG00000052688,Rab7b,1.0954581,4.472111579,28.4337826,9.70E-08,5.59E-06,Ure_RT_DMXAA_vs_Ure
ENSMUSG00000017400,ENSMUSG00000017400,Stac2,-1.173414123,3.38883766,20.06876127,7.47E-06,0.000390265,Ure_DMXAA_vs_PBS_RT_DMXAA
ENSMUSG00000017400,ENSMUSG00000017400,Stac2,-1.313318323,3.38883766,24.62427918,6.97E-07,6.10E-05,Ure_vs_PBS_RT_DMXAA
ENSMUSG00000017400,ENSMUSG00000017400,Stac2,1.398594872,3.38883766,28.20198454,1.09E-07,1.15E-05,Ure_RT_DMXAA_vs_Ure_DMXAA
ENSMUSG00000017400,ENSMUSG00000017400,Stac2,1.538499072,3.38883766,33.4205271,7.42E-09,6.81E-07,Ure_RT_DMXAA_vs_Ure
