"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000000031",0.13294570435698,0.99245633943356,-0.212194626900356,0.123852633085242,0.340383987273361,-0.182880065754856,-0.118233323344084,"H19","14955"
"ENSMUSG00000001497",0.16993199280312,0.870748209619331,-0.0529820486719244,0.0451529934903541,0.235371853193732,-0.206557095413866,-0.13762875789143,"Pax9","18511"
"ENSMUSG00000002500",0.159080498742662,0.963556395297134,-0.367558138451854,0.306967246112277,0.491509285608885,-0.220819991843749,-0.0658666158287984,"Rpl3l","66211"
"ENSMUSG00000005355",0.0132629131543292,0.954147388441967,-0.240586584216746,0.144316094200859,0.248270515598038,-0.0789251881184645,-0.0833298889300956,"Casp14","12365"
"ENSMUSG00000005716",-0.272570250846664,0.847763660984931,-0.288360017880766,0.0986051536034343,0.269440267411267,0.254573082994154,-0.377087724843027,"Pvalb","19293"
"ENSMUSG00000006457",0.187781391879202,0.983009488306303,-0.139471007524855,0.0810077355401829,0.248340545597639,-0.235961874778731,-0.0640075771984133,"Actn3","11474"
"ENSMUSG00000007122",0.168578376989594,0.971192956187205,-0.322202118305853,0.266234810103177,0.470099347536831,-0.222731549985375,-0.0893160329248124,"Casq1","12372"
"ENSMUSG00000011632",-0.166263015745717,0.893988414407333,-0.246035485403461,0.0546525008826081,0.28682017412391,0.136795675248809,-0.323678657974255,"Pinlyp","641361"
"ENSMUSG00000016349",-0.000815574479490894,0.824923005045991,-0.043328625321061,-0.120619726127483,0.0483005277266919,0.0113800419113833,-0.328715808396991,"Eef1a2","13628"
"ENSMUSG00000017204",0.214942544476526,0.973970804939965,-0.125627755729587,0.0714223109520323,0.246728289914042,-0.258280523033228,-0.0196426292756953,"Gsdma","57911"
"ENSMUSG00000017300",0.169085232599581,0.988885538242711,-0.201246685646052,0.151851523341775,0.334456994858671,-0.219779957119541,-0.0475474296082987,"Tnnc2","21925"
"ENSMUSG00000017697",0.047568845485557,0.97172063015917,-0.201483931461451,0.0962985760278216,0.268650692598212,-0.0899462143327344,-0.11048732426257,"Ada","11486"
"ENSMUSG00000018566",0.332136203919786,0.812126981973285,0.0500183278071099,-0.0614284454552376,0.238272746066948,-0.331786304764876,-0.270371971896234,"Slc2a4","20528"
"ENSMUSG00000018862",0.214796325283414,0.969580426684773,-0.165183667855228,0.106939921961302,0.266706242991031,-0.266448120258939,0.0389944543219501,"Otop3","69602"
"ENSMUSG00000018893",0.129763443531408,0.80415255330913,0.124532283024761,-0.210325495868693,-0.0147905947096387,-0.142862136914058,-0.242870488962064,"Mb","17189"
"ENSMUSG00000019787",0.332341528298565,0.850361518257818,0.148947166007818,-0.145852296674053,0.0852406027336774,-0.337481750738853,-0.15843312822742,"Trdn","76757"
"ENSMUSG00000019851",0.392601447171458,0.92320664895474,0.0255073197156388,-0.00944251414129519,0.172951592023119,-0.437964226179313,0.137086833213464,"Perp","64058"
"ENSMUSG00000020061",0.120405485341194,0.97895538188888,-0.169452079275725,0.081967733522744,0.257522939200069,-0.169512670011543,-0.0566503402781245,"Mybpc1","109272"
"ENSMUSG00000020216",0.293391872480536,0.950299884116224,-0.201575028512158,0.178802114997653,0.378391029393383,-0.345310756057043,0.0516175655571992,"Jsrp1","71912"
"ENSMUSG00000020722",-0.113569257599033,0.942902066176713,-0.210631412753888,0.0703521695490612,0.205958911873127,0.0701644801520028,-0.216341108661534,"Cacng1","12299"
"ENSMUSG00000021506",0.0750075130089579,0.957312527661484,-0.143579262998908,0.030236770580325,0.255944792338756,-0.117547656211804,-0.114338230862174,"Pitx1","18740"
"ENSMUSG00000021565",0.0536497859404722,0.811101694278266,-0.246532871423472,0.268817297534913,0.321722067671803,-0.152496832518378,0.08767451893074,"Slc6a19","74338"
"ENSMUSG00000024049",0.432252503577956,0.890272778571751,0.0576769857105976,-0.050971648524802,0.19271544651114,-0.441737116484479,-0.0708913444688792,"Myom1","17929"
"ENSMUSG00000024471",0.161842782442424,0.976169249316328,-0.253156317105861,0.195971393155895,0.35280735542424,-0.231863939184425,-0.000379592057891476,"Myot","58916"
"ENSMUSG00000025431",0.115597036589088,0.950130768223978,-0.184657315712545,0.140713495490118,0.275974047754858,-0.189268851157523,0.0269895353671481,"Crisp1","11571"
"ENSMUSG00000026327",-0.0209441604738801,0.969021754054256,-0.270949134079315,0.143649323365369,0.314063714808666,-0.0310018336909665,-0.16796874806941,"Serpinb11","66957"
"ENSMUSG00000026407",0.119411522814276,0.984978142969503,-0.196060211583044,0.10730360772485,0.294069272669915,-0.171564128481139,-0.131827866079597,"Cacna1s","12292"
"ENSMUSG00000026413",0.0688890428563682,0.987576106382306,-0.232004118048023,0.144990250387785,0.330776981857524,-0.122248093548973,-0.131005492340519,"Pkp1","18772"
"ENSMUSG00000026450",0.228504346281494,0.8900446849828,0.0992136689393919,-0.22177266841561,0.0351559824775272,-0.236022311327056,-0.116088751517402,"Chit1","71884"
"ENSMUSG00000026489",0.202069168891769,0.837029780708093,-0.526040317931946,0.454465759525319,0.670702248988812,-0.27340935318246,-0.0591280511533155,"Coq8a","67426"
"ENSMUSG00000026950",0.11730332926498,0.991632249770507,-0.272849771621488,0.198726992674683,0.387276065171682,-0.173459324754204,-0.127998591850983,"Neb","17996"
"ENSMUSG00000026983",0.185200589028451,0.9878411563599,-0.226621384456716,0.16537643194462,0.363913377200031,-0.236713537539774,-0.0636132681886101,"Il1f5",NA
"ENSMUSG00000027022",0.354889078803674,0.902455827631824,0.0730870567718247,-0.0369276823546161,0.157749603431561,-0.383339187666108,-0.124073254047115,"Xirp2","241431"
"ENSMUSG00000027077",-0.0620615375330718,0.942840966243857,-0.259406378018798,0.105014843015544,0.276291196503913,0.0137319812900437,-0.25812244470793,"Smtnl1","68678"
"ENSMUSG00000027401",0.16107835995356,0.981413158574793,-0.218912085425685,0.151979828014638,0.328804815251659,-0.215184614631732,-0.0340788450983819,"Tgm3","21818"
"ENSMUSG00000027868",0.206197521596189,0.984598917983561,-0.183960070394064,0.127510880784084,0.326204371306073,-0.255786668219687,-0.0295002322670769,"Tbx15","21384"
