,kMEblue,kMEbrown,kMEgreen,kMEgrey,kMEred,kMEturquoise,kMEyellow
ENSMUSG00000026070,0.453325247,-0.27304872,0.811727481,-0.707979908,-0.632657226,-0.363023523,0.112668077
ENSMUSG00000025980,0.333315488,-0.131789659,0.984455769,-0.875387829,-0.807425407,-0.242519977,-0.015367944
ENSMUSG00000073676,0.306441241,-0.054066545,0.97498215,-0.899669176,-0.83641336,-0.218054111,0.016860616
ENSMUSG00000026203,0.59276353,-0.070864826,0.930747317,-0.774355424,-0.682814257,-0.498511938,0.090403921
ENSMUSG00000014226,0.224980291,-0.086102385,0.979059546,-0.92609762,-0.85228375,-0.13048428,-0.123199067
ENSMUSG00000026831,0.224437244,-0.261368035,0.924781733,-0.86107408,-0.722252885,-0.108724341,-0.219887945
ENSMUSG00000026864,0.161495149,-0.33690054,0.958984014,-0.862472243,-0.871952991,-0.058180044,-0.088205297
ENSMUSG00000074793,0.490558193,-0.511449026,0.820038248,-0.603858364,-0.599065536,-0.392230296,0.169052195
ENSMUSG00000067925,0.537786094,-0.282641663,0.872539822,-0.707364476,-0.637489313,-0.44028281,0.225645967
ENSMUSG00000025757,0.321099679,-0.22425242,0.881374907,-0.728401801,-0.632999633,-0.227715697,-0.161148267
ENSMUSG00000028035,-0.023546716,0.057646093,0.822561229,-0.922157657,-0.800464947,0.129116507,-0.385329692
ENSMUSG00000028410,0.302984208,-0.074593525,0.981709141,-0.911906182,-0.82930966,-0.205614812,-0.06981028
ENSMUSG00000028776,0.429508955,-0.174411471,0.87351109,-0.789295685,-0.731409186,-0.332969821,0.151623565
ENSMUSG00000097554,0.377476069,-0.145769398,0.963204192,-0.878589301,-0.838520407,-0.282251339,0.08948042
ENSMUSG00000100801,0.387676249,-0.167229086,0.981407286,-0.828561909,-0.785986327,-0.300470301,0.059490922
ENSMUSG00000037379,0.540546583,-0.231761957,0.853548178,-0.705313127,-0.562388499,-0.420140459,-0.001107973
ENSMUSG00000029126,0.411505932,-0.272189345,0.895239289,-0.847230941,-0.668790623,-0.278989481,-0.06912583
ENSMUSG00000037720,0.151612586,-0.225430087,0.891464987,-0.781891068,-0.775700218,-0.072422101,-0.134202582
ENSMUSG00000009013,0.376976675,-0.123584656,0.957027117,-0.869949911,-0.820600574,-0.288600985,0.110439573
ENSMUSG00000008348,0.391050857,-0.043402358,0.92281952,-0.873622143,-0.768089909,-0.283863925,0.042426163
ENSMUSG00000015944,0.11488725,-0.340721692,0.832774184,-0.669467605,-0.733457835,-0.045837666,-0.070804141
ENSMUSG00000004951,0.36181274,0.001690503,0.972832608,-0.882993871,-0.75842992,-0.25998551,-0.115930523
ENSMUSG00000018143,0.478136327,0.040241251,0.879703335,-0.824781834,-0.690337433,-0.374830636,-0.023922115
ENSMUSG00000029657,0.226946655,-0.148564199,0.969176898,-0.912654593,-0.814708508,-0.121734617,-0.183944567
ENSMUSG00000025823,0.155419571,-0.388670028,0.85530456,-0.678908774,-0.82207292,-0.092542076,0.133700411
ENSMUSG00000029817,0.426802402,-0.09726088,0.930240449,-0.80275538,-0.77355407,-0.348143371,0.071073592
ENSMUSG00000030357,0.633298623,-0.066751796,0.904843713,-0.658646671,-0.626406683,-0.582929987,0.322960812
ENSMUSG00000054499,0.232074654,0.111567183,0.813510171,-0.863787666,-0.69685217,-0.158546673,-0.104812812
ENSMUSG00000058145,0.023178026,-0.421928402,0.842315266,-0.822705829,-0.805750015,0.108083519,-0.148328358
ENSMUSG00000070436,0.065474894,-0.259875642,0.936139264,-0.879929917,-0.883907171,0.033030286,-0.189274881
ENSMUSG00000030878,0.774221487,0.013142173,0.810384031,-0.644469455,-0.419048232,-0.675084356,0.103369031
ENSMUSG00000030847,0.289450776,-0.100658925,0.949703567,-0.905151778,-0.766028335,-0.188951869,-0.076382689
ENSMUSG00000019916,0.316557741,-0.223631792,0.953311967,-0.800658753,-0.790112786,-0.241660942,-0.009466474
ENSMUSG00000037846,0.425008856,-0.20779007,0.857202459,-0.703194391,-0.584588833,-0.318330138,-0.186378189
ENSMUSG00000020048,0.200094612,-0.400854059,0.900365085,-0.739610959,-0.826272322,-0.117219342,0.082349417
ENSMUSG00000020205,0.410050376,-0.133620034,0.894809383,-0.713430636,-0.679878384,-0.350059376,0.249721459
ENSMUSG00000025408,0.12045907,-0.161240503,0.914652463,-0.931335699,-0.800856739,0.014987308,-0.352591325
ENSMUSG00000071072,0.217331139,-0.129107793,0.97144222,-0.936243501,-0.837496194,-0.1070968,-0.181742099
ENSMUSG00000005483,0.269753246,0.032166756,0.920479935,-0.901751257,-0.772598178,-0.184425447,-0.084738786
ENSMUSG00000079003,0.577153422,-0.265970294,0.903843412,-0.651417655,-0.644299298,-0.514252161,0.296694928
ENSMUSG00000003814,0.095308602,-0.428434901,0.841667235,-0.71085765,-0.855030823,-0.026801883,0.116230688
ENSMUSG00000025316,0.361964917,-0.29316578,0.924364241,-0.771461074,-0.741304523,-0.270708583,-0.012648085
ENSMUSG00000039960,0.261746894,-0.315866282,0.9452785,-0.852644937,-0.806395838,-0.166265774,0.045218093
ENSMUSG00000060373,0.563480407,-0.140240457,0.813325178,-0.556743165,-0.617108912,-0.522620568,0.403822622
ENSMUSG00000001774,0.28257227,-0.15593346,0.959611579,-0.860320512,-0.796440425,-0.18994928,-0.123931106
ENSMUSG00000015656,0.406140455,-0.109766326,0.98794629,-0.851084315,-0.805426502,-0.319328852,0.066791474
ENSMUSG00000032115,0.223130296,-0.394306353,0.923774681,-0.762266586,-0.807696199,-0.125270447,0.030955456
ENSMUSG00000032285,0.481952323,0.059110316,0.932976589,-0.796727127,-0.639228577,-0.386129221,-0.087999684
ENSMUSG00000032575,0.279705149,-0.269721547,0.956692986,-0.855901849,-0.846583834,-0.170145154,0.027518527
ENSMUSG00000020482,0.356738208,0.099430113,0.913102576,-0.885744125,-0.703543176,-0.267524107,-0.096151407
ENSMUSG00000020407,0.301909713,-0.174482811,0.945400778,-0.912280185,-0.766478723,-0.16542489,-0.11214967
ENSMUSG00000020288,0.430992928,-0.17401035,0.955759299,-0.814728338,-0.719810653,-0.333035358,-0.048998399
ENSMUSG00000044707,0.688551575,-0.21298124,0.817068758,-0.54934593,-0.503209379,-0.611145058,0.328896927
ENSMUSG00000020363,0.454495192,0.136683598,0.813069366,-0.776777675,-0.511836485,-0.326283904,-0.361966906
ENSMUSG00000018906,0.265206419,-0.475996675,0.824861471,-0.65561747,-0.786108557,-0.176943739,0.120069504
ENSMUSG00000083899,0.318622799,-0.079383468,0.954679062,-0.886338451,-0.755382595,-0.21579111,-0.092375308
ENSMUSG00000018334,0.553482933,-0.087578699,0.817740401,-0.664619623,-0.521976766,-0.465061245,-0.037170459
ENSMUSG00000048878,0.668288597,0.029290056,0.808082491,-0.64677622,-0.549015312,-0.601140144,0.278027232
ENSMUSG00000054517,0.359143928,0.039854902,0.858887611,-0.78297384,-0.625872869,-0.28376456,-0.172678727
ENSMUSG00000058672,-0.040852938,-0.437674281,0.885180427,-0.860275892,-0.879833196,0.14793375,-0.14564441
ENSMUSG00000021411,0.46409553,0.074463576,0.881186754,-0.802275538,-0.729853865,-0.388800799,0.047954919
ENSMUSG00000037933,0.436727535,-0.241979071,0.919615523,-0.782307416,-0.602181197,-0.318788294,-0.131669559
ENSMUSG00000056749,0.411884671,-0.270621422,0.884571884,-0.760495904,-0.744546071,-0.31423667,0.137783506
ENSMUSG00000020571,0.390906639,-0.321678309,0.801166804,-0.553110769,-0.715981598,-0.360373807,0.42644438
ENSMUSG00000014905,0.326433081,-0.175376532,0.97414576,-0.860384847,-0.785210945,-0.230808103,-0.02513604
ENSMUSG00000046768,0.558790722,-0.19285102,0.81408797,-0.698647697,-0.570354948,-0.432121916,0.045838901
ENSMUSG00000059970,-0.057052058,-0.370077265,0.843772237,-0.834419367,-0.908980761,0.141273958,-0.053026286
ENSMUSG00000021037,0.395423403,-0.126907939,0.990433166,-0.87056797,-0.757013297,-0.284432868,-0.053836609
ENSMUSG00000021270,0.391711025,-0.12591042,0.991658063,-0.877268204,-0.777426982,-0.291689989,-0.040703663
ENSMUSG00000022206,0.559921312,0.086244721,0.843033628,-0.760127495,-0.481779643,-0.444133059,-0.106923593
ENSMUSG00000068522,0.404594346,-0.08584893,0.831554721,-0.788793457,-0.551804399,-0.292582412,-0.049042044
ENSMUSG00000022403,0.18529342,-0.289624289,0.930819029,-0.805262232,-0.861724644,-0.109466816,0.024201986
ENSMUSG00000023272,0.354483348,-0.24887262,0.945291407,-0.797453923,-0.790287281,-0.248806841,0.076293505
ENSMUSG00000023000,0.646814522,-0.097148975,0.846508099,-0.587661952,-0.449045364,-0.551517145,0.105024274
ENSMUSG00000008393,0.58668787,-0.086209077,0.923941655,-0.78826197,-0.587020276,-0.475042682,0.079925161
ENSMUSG00000022769,-0.014022599,-0.396639507,0.865380684,-0.81645816,-0.870625672,0.117877622,-0.120110084
ENSMUSG00000089774,0.127508611,-0.09450127,0.874611858,-0.84067207,-0.73846357,-0.038585274,-0.306383034
ENSMUSG00000090877,0.40447914,-0.024717548,0.958283047,-0.865902676,-0.740757011,-0.313793863,0.009797823
ENSMUSG00000091971,0.385240037,-0.016184163,0.958490718,-0.877644938,-0.751731679,-0.29316965,-0.010047217
ENSMUSG00000023944,0.37935726,-0.111159687,0.986363069,-0.842370648,-0.785058141,-0.292672167,0.003443405
ENSMUSG00000040260,0.384312513,-0.268373068,0.841272668,-0.680947282,-0.63888512,-0.293153535,0.029359155
ENSMUSG00000019487,0.770928755,0.022222397,0.832235852,-0.562699992,-0.47449101,-0.716774094,0.336980445
ENSMUSG00000024440,0.465868588,-0.381551116,0.815561743,-0.698855702,-0.589541151,-0.320632239,-0.124750965
ENSMUSG00000024966,0.373250044,-0.138383928,0.99377184,-0.872980872,-0.790216721,-0.272513319,-0.033561318
