"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000000290",-0.960515721254434,-0.205596432811111,-0.347898722609027,0.0556213577227289,-0.118406286282815,0.961026460420243,-0.461065207025855,"Itgb2","16414"
"ENSMUSG00000000318",-0.85259216807265,-0.220987091905479,-0.187146923913246,-0.147017995702568,-0.205305117651965,0.897438440785737,-0.458294828929323,"Clec10a","17312"
"ENSMUSG00000000562",-0.870571947403385,-0.354248421500275,-0.051748107046817,-0.172667729592005,-0.400199736588106,0.869406676963515,-0.234668352837604,"Adora3","11542"
"ENSMUSG00000000594",-0.88119058158757,-0.0704869814957528,-0.381876609099825,0.0800712539031058,-0.0422562075686634,0.880912317248097,-0.439356709342194,"Gm2a","14667"
"ENSMUSG00000000682",-0.771312828420756,-0.00223991694289397,-0.504686388912404,0.14756565443583,0.21050184746908,0.806697310195443,-0.51303725835797,"Cd52","23833"
"ENSMUSG00000000792",-0.794141161212693,-0.289198269569939,-0.196852970383969,-0.163136890121668,-0.107205119767204,0.830965275514648,-0.619146792146572,"Slc5a5","114479"
"ENSMUSG00000000982",-0.844479604770701,-0.35691584086418,-0.00901341473682461,-0.275872990688946,-0.39100443667353,0.904814467790802,-0.484813990397198,"Ccl3","20302"
"ENSMUSG00000001128",-0.919530133914644,-0.251279717263991,-0.0198061287055512,-0.2564790504005,-0.394479073216972,0.948654422488552,-0.570375480369764,"Cfp","18636"
"ENSMUSG00000001131",-0.850515966629382,-0.265372585757985,0.0184470696627491,-0.279973628768502,-0.36092865248407,0.875234698990617,-0.473365880428485,"Timp1","21857"
"ENSMUSG00000001348",-0.970309972647069,-0.168676329190078,-0.310656207221108,0.00622741587394418,-0.163246014687397,0.971038743170957,-0.490386601623244,"Acp5","11433"
"ENSMUSG00000001435",-0.884090604311118,-0.42986506443827,-0.274127798659015,0.0955191966825598,-0.166333917233328,0.836357848109123,-0.147058770034845,"Col18a1","12822"
"ENSMUSG00000001467",-0.754694059462683,-0.238503317992706,0.207823412702328,-0.461422392892552,-0.581364155820311,0.80752520976145,-0.407406126818033,"Cyp51","13121"
"ENSMUSG00000001506",-0.912875071581542,-0.16424030239997,-0.124710884815658,-0.107934911941777,-0.272962000227682,0.9262098919254,-0.527536817887708,"Col1a1","12842"
"ENSMUSG00000001555",-0.914691519328974,-0.240870517561636,-0.386902366349986,0.0719397795630522,-0.130532998517986,0.911487070736217,-0.343014696597223,"Fkbp10","14230"
"ENSMUSG00000001750",-0.847651859497496,-0.276251804467777,-0.361559831441281,0.15651101523803,-0.0740096819945409,0.849332604718654,-0.394834346213067,"Tcirg1","27060"
"ENSMUSG00000001751",-0.956953405524114,-0.174125198464253,-0.380139494737441,0.0801730656432271,-0.0515581767203092,0.964766270523472,-0.517199943832027,"Naglu","27419"
"ENSMUSG00000001865",-0.926538874534344,-0.264865406123149,-0.12815389848773,-0.197435731228595,-0.270921400814282,0.973757790048771,-0.626314903083717,"Cpa3","12873"
"ENSMUSG00000002020",-0.880876147086977,-0.241311107319705,-0.301266894161561,0.0579236999552902,-0.101870461258713,0.900049047743112,-0.442404707560353,"Ltbp2","16997"
"ENSMUSG00000002565",-0.918989625185434,-0.162268514410501,-0.29009219820748,-0.0245234774326597,-0.173310849445479,0.915473471917735,-0.526520892364003,"Scin","20259"
"ENSMUSG00000002699",-0.88868557181335,-0.131041434759928,-0.586441763550037,0.329117383911683,0.166271160174719,0.856171287892869,-0.301897987829857,"Lcp2","16822"
"ENSMUSG00000002847",-0.923491173441071,-0.196929060601149,-0.310329545538425,-0.0223731201994256,-0.0832507507068668,0.959228899711604,-0.629633726921782,"Pla1a","85031"
"ENSMUSG00000002985",-0.937312222002894,-0.296796416734604,-0.0893233092100806,-0.218804417360907,-0.356202864609723,0.968811168980888,-0.459357061269377,"Apoe","11816"
"ENSMUSG00000003363",-0.946885073928983,-0.222218680274458,-0.233447619261397,-0.034205790266593,-0.245759693696871,0.946706935372234,-0.400442266483901,"Pld3","18807"
