"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name.x","EntrezID","Gene.name.y"
"ENSMUSG00000000861","red",89,66,43,172,116,141,255,95,104,142,115,107,95,62,116,"Bcl11a",14025,"Bcl11a"
"ENSMUSG00000001588","red",259,201,180,427,311,332,654,268,243,292,288,226,272,174,340,"Acap1",216859,"Acap1"
"ENSMUSG00000003379","red",295,232,220,821,541,585,1210,583,480,742,477,514,494,283,677,"Cd79a",12518,"Cd79a"
"ENSMUSG00000005540","red",146,108,111,489,313,293,553,277,201,406,301,315,212,205,211,"Fcer2a",14128,"Fcer2a"
"ENSMUSG00000008193","red",227,179,96,334,267,311,609,227,261,320,222,223,350,175,333,"Spib",272382,"Spib"
"ENSMUSG00000008496","red",268,183,196,463,335,347,704,299,259,428,319,330,309,219,445,"Pou2f2",18987,"Pou2f2"
"ENSMUSG00000014030","red",185,155,134,695,468,428,816,209,253,488,313,315,246,147,299,"Pax5",18507,"Pax5"
"ENSMUSG00000014453","red",102,75,62,219,162,172,377,83,105,172,124,112,159,71,165,"Blk",12143,"Blk"
"ENSMUSG00000015314","red",106,89,57,205,164,162,396,141,135,193,163,130,132,126,221,"Slamf6",30925,"Slamf6"
"ENSMUSG00000016756","red",473,423,259,840,593,619,1253,554,571,644,498,520,531,305,832,"Cmah",12763,"Cmah"
"ENSMUSG00000018168","red",224,219,137,485,323,339,684,313,315,390,328,321,345,214,388,"Ikzf3",22780,"Ikzf3"
"ENSMUSG00000018654","red",661,590,476,976,763,847,1594,780,827,1002,939,826,939,711,1010,"Ikzf1",22778,"Ikzf1"
"ENSMUSG00000020423","red",3251,2977,2668,5272,3735,3858,8025,3470,4569,4228,4626,4260,4912,3858,4761,"Btg2",12227,"Btg2"
"ENSMUSG00000021250","red",934,897,804,2470,1255,849,2539,677,1185,2228,1805,1265,1195,882,1537,"Fos",14281,"Fos"
"ENSMUSG00000022416","red",25,28,21,115,72,54,132,31,35,86,47,40,40,18,37,"Cacna1i",239556,"Cacna1i"
"ENSMUSG00000022686","red",173,129,100,252,160,208,310,141,151,201,161,151,178,102,193,"B3gnt5",108105,"B3gnt5"
