gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID	kMEblue	kMEbrown	kMEgreen	kMEgrey	kMEred	kMEturquoise	kMEyellow	degree	betweenness	closeness
ENSMUSG00000025938	turquoise	37	33	16	110	75	110	136	67	82	102	87	83	52	103	203	Slco5a1	240726	-0.467593661	0.373542601	-0.72872423	0.569817314	0.576643445	0.39209253	-0.319519627			
ENSMUSG00000067780	turquoise	356	341	174	247	207	268	468	445	525	339	304	371	629	632	670	Pi15	94227	-0.557769464	-0.088952871	0.398318907	-0.600113563	-0.558178847	0.650915192	-0.682847338			
ENSMUSG00000025776	turquoise	59	76	67	118	55	95	178	117	99	126	139	152	143	250	220	Crispld1	83691	-0.767402869	-0.013152403	-0.372028691	0.055897494	-0.055537056	0.793548088	-0.541540015			
ENSMUSG00000026158	turquoise	523	497	615	764	744	644	1126	991	965	1030	1017	1093	1045	1163	1279	Ogfrl1	70155	-0.935426741	-0.158877192	-0.511174996	0.230991776	0.043078085	0.907596078	-0.275416856			
ENSMUSG00000037447	turquoise	452	425	450	431	468	570	1104	755	781	404	498	821	845	759	1159	Arid5a	214855	-0.551382091	0.163223719	0.081437873	-0.33388853	-0.354669178	0.572239963	-0.426257437			
ENSMUSG00000048234	turquoise	794	696	878	1040	1117	827	1685	1321	1238	1203	1213	1494	1556	1631	1565	Rnf149	67702	-0.90154069	-0.280655672	-0.430736234	0.189487029	-0.049721368	0.862490727	-0.147542654			
ENSMUSG00000050967	turquoise	5	7	5	6	4	6	25	43	21	54	32	67	32	78	36	Creg2	263764	-0.93215637	-0.251321866	-0.271309239	-0.032176806	-0.14802902	0.965339001	-0.566293274			
ENSMUSG00000070942	turquoise	287	210	261	435	420	405	746	487	543	526	569	523	468	580	681	Il1rl2	107527	-0.811609571	0.065255272	-0.757167943	0.481389942	0.390311563	0.744670292	-0.331883764			
ENSMUSG00000026069	turquoise	106	76	59	79	86	125	209	457	361	482	491	449	435	599	589	Il1rl1	17082	-0.941527364	-0.165348922	-0.193609274	-0.12852631	-0.181281209	0.97550481	-0.655359428			
ENSMUSG00000026065	turquoise	172	133	145	139	202	136	239	209	272	184	202	148	258	398	334	Slc9a4	110895	-0.590876886	-0.226695676	0.148150276	-0.288029214	-0.521294286	0.57336421	-0.134240605			
ENSMUSG00000046828	turquoise	48	66	90	87	57	110	210	209	131	108	168	86	115	194	206	Mettl21e	403183	-0.580234332	0.084196169	-0.260532899	-0.074174559	-0.040263642	0.638830105	-0.453368386			
ENSMUSG00000026043	turquoise	6939	5770	4566	5014	4296	5149	7771	11440	12028	10652	9136	12899	13405	13444	14375	Col3a1	12825	-0.831550885	-0.197632171	0.099714053	-0.371131992	-0.428234311	0.894051229	-0.630868293			
