Gene1	Gene2	kMEred	kMEturquoise
Slco5a1	Fcmr	0.576643445	0.39209253
Pi15	Btg2	-0.558178847	0.650915192
Crispld1	Kif21b	-0.055537056	0.793548088
Ogfrl1	Sell	0.043078085	0.907596078
Arid5a	Fcrla	-0.354669178	0.572239963
Rnf149	Slamf6	-0.049721368	0.862490727
Creg2	Traf3ip3	-0.14802902	0.965339001
Il1rl2	Cr2	0.390311563	0.744670292
Il1rl1	Rasgrp1	-0.181281209	0.97550481
Slc9a4	Zc3h6	-0.521294286	0.57336421
Mettl21e	Zfp831	-0.040263642	0.638830105
Col3a1	Arhgap4	-0.428234311	0.894051229
Col5a2	Gpr174	-0.295190626	0.957226163
Slc40a1	Fcrl1	-0.086790131	0.922231963
Nabp1	Bank1	-0.303091069	0.848631031
Stk17b	Pax5	0.028972386	0.61876515
Coq10b	Cd38	-0.371931928	0.707315557
Nrp2	Gimap3	-0.046235164	0.96329401
Adam23	Herc3	-0.089607138	0.804936749
Fn1	Vamp1	-0.147253236	0.892132914
Mreg	Cd69	-0.388683773	0.800617994
Igfbp2	Cd79a	-0.395201043	0.880474136
C530043A13Rik	Pou2f2	-0.161862857	0.829637067
Rufy4	Siglecg	-0.17157781	0.814664969
Cxcr1	Spib	-0.019948691	0.824828388
Slc11a1	Cd19	-0.174577004	0.961403568
Kcne4	Coro1a	0.052034571	0.855574162
Serpine2	Scml4	-0.421876176	0.87511375
Col4a3	Tet1	-0.188867702	0.816222732
B3gnt7	Cirbp	-0.090536187	0.415858458
Ugt1a7c	Fcer2a	-0.087746328	0.896228722
Ackr3	Carmil2	-0.131058615	0.596692481
Col6a3	Blk	-0.189764343	0.744677212
Mlph	Rubcnl	0.002269855	0.601359864
Hes6	Pcdh17	-0.283892458	0.911617012
Kif1a	Cxcr5	-0.182408563	0.975940347
Pdcd1	Col6a4	-0.424167735	0.740549015
St8sia4	Ikzf1	0.62964335	0.55522959
Rnf152	Bcl11a	-0.015526687	0.836592876
Tnfrsf11a	Acap1	-0.092811992	0.795007033
Inhbb	Ikzf3	-0.150228791	0.316614647
Ptpn4	Ccr7	0.435564618	0.616128137
Tmem37	Cd79b	0.067057561	0.609146353
Steap3	Cmah	0.084438273	0.880410273
Marco	Ripor2	-0.150183426	0.708551567
Zranb3	Fos	-0.222058561	0.961234484
C4bp	Ighd	-0.232369908	0.840152999
AA986860	Cacna1i	-0.692224853	0.383466297
Rab7b	Tnfrsf13c	-0.141475541	0.967434776
Klhdc8a	B3gnt5	-0.169850738	0.75265413
Plekha6	Btla	0.571145064	0.420852046
Lax1	Nfkbiz	0.463112338	0.518026553
Fmod	Dnah8	-0.293633394	0.847170454
Adora1	H2-Ob	0.135152263	0.341214751
Ppp1r12b	Ptprcap	-0.005905591	0.612160072
Ptprv	Tbc1d10c	0.069006119	0.901243798
Ptpn7	Ms4a1	0.009077672	0.918517033
Phlda3	Ms4a4b	-0.530230783	0.866087715
Nr5a2	Gm8369	-0.035145956	0.895442694
B3galt2		-0.090427675	0.307681891
Rgs2		0.332206417	0.614116297
Rgs1		0.048483717	0.942987754
Ncf2		-0.0542559	0.754809613
Lamc1		-0.385169578	0.880925339
Rgs16		-0.107047512	0.901962429
Mr1		0.351988498	0.768837641
Soat1		-0.310740308	0.706079768
Pappa2		-0.1969515	0.971602746
Dnm3		-0.136362206	0.928433656
Prrx1		-0.055591019	0.805212999
Sele		-0.305950205	0.93686805
Selp		-0.203069988	0.924710198
Dpt		-0.512408895	0.663490928
Creg1		-0.234806134	0.914559341
Ildr2		-0.118749021	0.973387858
Rgs5		-0.158306842	0.891526854
Hsd17b7		-0.256384436	0.901881879
Fcgr2b		-0.240937812	0.938231356
Fcgr4		-0.137379671	0.842967094
Fcgr3		-0.429926688	0.942497077
Pcp4l1		-0.351945	0.847333429
Fcer1g		-0.233841127	0.900493969
Adamts4		-0.487888355	0.738005267
Itln1		-0.196645287	0.776319075
Ly9		0.083361865	0.924049404
Slamf7		0.03235312	0.934236646
Cd84		-0.016179035	0.931126215
Kcnj10		-0.185974899	0.908226959
Fcer1a		-0.263031126	0.953198469
Ackr1		0.023329733	0.926759696
Aim2		0.561201945	0.593212955
Ifi207		0.01436705	0.890001197
Ifi202b		-0.284727173	0.888068013
Ephx1		0.048486566	0.85929392
Mark1		-0.330962259	0.834084055
Tgfb2		0.14927388	0.797263868
Atf3		-0.281314225	0.610430937
Lpgat1		0.022685687	0.827029748
Syt14		0.26814328	0.696866955
Lamb3		-0.133035986	0.490096601
Cd34		-0.183101307	0.96908292
Camk1d		0.201963494	0.814256762
Itih5		-0.141763297	0.727305156
Vim		-0.268108773	0.961135224
Mrc1		-0.109191471	0.901872297
Apbb1ip		0.373344926	0.673774151
Il1rn		-0.107631865	0.883123348
Pnpla7		0.106281485	0.858182972
Dpp7		-0.261340996	0.853823365
Uap1l1		-0.092888615	0.767052867
Adamtsl2		-0.644131823	0.718113121
Col5a1		-0.417163885	0.344900356
Pkn3		-0.522589501	0.720167307
Lamc3		-0.238512269	0.841939862
Lcn2		-0.194463083	0.59504948
Ak1		-0.061431842	0.834058797
Angptl2		0.667261612	0.448922757
Ptgs1		-0.081986634	0.773386574
Nek6		-0.352402115	0.6545071
Kynu		-0.071379579	0.864477345
Cd302		-0.322240944	0.895773882
Ly75		0.057223181	0.852638837
Gm13571		-0.13359641	0.912583946
Itgb6		-0.347940485	0.832614803
Dhrs9		-0.254203664	0.89708017
Lrp2		-0.12757753	0.614871414
Hoxd8		-0.262887798	0.926402316
Gm14461		-0.132152558	0.90214372
Frzb		-0.150426063	0.886090983
Serping1		-0.296862011	0.848557493
Spi1		-0.091213905	0.680814605
Mdk		-0.323499094	0.959349839
Syt13		-0.226297977	0.522820568
Fjx1		0.144568995	0.550641143
Cd44		-0.211216902	0.830324496
Cd59a		-0.160407307	0.867013935
D430041D05Rik		0.048639586	0.859481729
Bdnf		-0.427930138	0.652550729
Ano3		-0.111662899	0.9475634
Grem1		-0.092782732	0.610470432
3110099E03Rik		-0.283722234	0.886031802
Thbs1		-0.367290981	0.72422127
Gpr176		-0.180102278	0.906771987
Plcb2		0.311010864	0.668733238
Disp2		-0.384663347	0.462370199
Sord		0.315218111	0.821636926
Gatm		-0.345078111	0.937647455
AA467197		-0.156909686	0.979838349
Fbn1		-0.331834672	0.781682717
Hdc		-0.546931131	0.63889622
Mal		-0.181274973	0.602551985
Mertk		-0.246884699	0.86802898
Sirpa		-0.095920068	0.956317048
Pdyn		-0.231824057	0.950922205
Cpxm1		-0.308788006	0.96904876
Siglec1		0.006684997	0.870947001
Prnp		-0.262734191	0.864225146
Prnd		-0.350043653	0.965059681
Rassf2		-0.664886151	0.697223988
Gpcpd1		0.331707161	0.725258539
Gm14066		-0.381985485	0.837625147
Ism1		-0.515203231	0.865051437
Abhd12		-0.047601237	0.898253694
Srxn1		-0.156593636	0.903824328
Mylk2		0.008217754	0.726526332
Bpifb5		-0.101659792	0.715116902
Procr		-0.298226913	0.989535792
Mafb		-0.174069162	0.978350476
