gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID
ENSMUSG00000025938	turquoise	37	33	16	110	75	110	136	67	82	102	87	83	52	103	203	Slco5a1	240726
ENSMUSG00000067780	turquoise	356	341	174	247	207	268	468	445	525	339	304	371	629	632	670	Pi15	94227
ENSMUSG00000025776	turquoise	59	76	67	118	55	95	178	117	99	126	139	152	143	250	220	Crispld1	83691
ENSMUSG00000026158	turquoise	523	497	615	764	744	644	1126	991	965	1030	1017	1093	1045	1163	1279	Ogfrl1	70155
ENSMUSG00000037447	turquoise	452	425	450	431	468	570	1104	755	781	404	498	821	845	759	1159	Arid5a	214855
ENSMUSG00000048234	turquoise	794	696	878	1040	1117	827	1685	1321	1238	1203	1213	1494	1556	1631	1565	Rnf149	67702
ENSMUSG00000050967	turquoise	5	7	5	6	4	6	25	43	21	54	32	67	32	78	36	Creg2	263764
ENSMUSG00000070942	turquoise	287	210	261	435	420	405	746	487	543	526	569	523	468	580	681	Il1rl2	107527
ENSMUSG00000026069	turquoise	106	76	59	79	86	125	209	457	361	482	491	449	435	599	589	Il1rl1	17082
ENSMUSG00000026065	turquoise	172	133	145	139	202	136	239	209	272	184	202	148	258	398	334	Slc9a4	110895
ENSMUSG00000046828	turquoise	48	66	90	87	57	110	210	209	131	108	168	86	115	194	206	Mettl21e	403183
ENSMUSG00000026043	turquoise	6939	5770	4566	5014	4296	5149	7771	11440	12028	10652	9136	12899	13405	13444	14375	Col3a1	12825
ENSMUSG00000026042	turquoise	1719	1461	1270	1675	1436	1376	2715	3211	3251	2831	2622	4259	3493	3700	4348	Col5a2	12832
ENSMUSG00000025993	turquoise	268	276	464	665	479	393	897	852	956	989	1210	1262	1093	1637	1326	Slc40a1	53945
ENSMUSG00000026107	turquoise	715	581	649	749	766	642	1204	931	975	802	1013	1187	1046	1523	1491	Nabp1	109019
ENSMUSG00000026094	turquoise	1248	955	1089	1645	1469	1785	3286	1934	2461	1409	1447	2128	2366	2413	3090	Stk17b	98267
ENSMUSG00000025981	turquoise	618	635	619	631	748	818	1467	931	1204	738	770	1084	1234	1239	1925	Coq10b	67876
ENSMUSG00000025969	turquoise	3003	2574	2266	3610	3307	2881	6002	4308	4865	4510	4371	5362	5435	5853	6800	Nrp2	18187
ENSMUSG00000025964	turquoise	243	166	140	257	208	241	456	254	489	330	343	389	423	453	571	Adam23	23792
ENSMUSG00000026193	turquoise	23189	19686	12863	20804	19262	19884	37982	30871	31641	29938	28700	39606	35084	38576	50900	Fn1	14268
ENSMUSG00000039395	turquoise	165	109	92	93	111	143	195	207	165	181	148	228	260	339	258	Mreg	381269
ENSMUSG00000039323	turquoise	4503	5117	6495	5824	6795	4403	12052	10175	10628	7892	10267	10767	14395	13999	13653	Igfbp2	16008
ENSMUSG00000100444	turquoise	27	11	11	19	17	14	53	43	69	40	59	51	47	48	86	C530043A13Rik	102633705
ENSMUSG00000061815	turquoise	64	67	103	116	103	59	168	138	99	160	188	208	169	348	198	Rufy4	435626
ENSMUSG00000048480	turquoise	112	52	55	79	143	132	134	205	113	205	204	188	185	334	219	Cxcr1	227288
ENSMUSG00000026177	turquoise	154	141	204	181	258	152	404	600	317	483	470	670	470	734	573	Slc11a1	18173
ENSMUSG00000047330	turquoise	165	155	177	308	154	221	404	387	314	306	438	533	392	436	415	Kcne4	57814
ENSMUSG00000026249	turquoise	1922	1881	1944	2016	2220	1953	3073	2965	3096	2583	2380	3186	3661	3394	3965	Serpine2	20720
ENSMUSG00000079465	turquoise	5485	4613	4278	6781	5497	4068	10896	8048	9757	6415	6638	8759	10012	8220	10263	Col4a3	12828
ENSMUSG00000079445	turquoise	397	348	605	514	936	412	647	604	569	657	635	632	608	1087	713	B3gnt7	227327
ENSMUSG00000090124	turquoise	121	83	118	144	147	141	209	253	201	241	223	309	228	395	232	Ugt1a7c	394432
ENSMUSG00000044337	turquoise	692	614	645	969	803	833	1924	1178	1340	692	794	1224	1380	1353	1731	Ackr3	12778
ENSMUSG00000048126	turquoise	3808	3189	2195	3601	2724	2552	5270	3862	4601	4203	4295	4526	4974	4599	6847	Col6a3	12835
ENSMUSG00000026303	turquoise	513	456	569	651	853	528	1002	656	784	707	758	858	859	1003	912	Mlph	171531
ENSMUSG00000067071	turquoise	491	510	592	597	660	560	1060	772	989	848	754	925	1137	1012	1193	Hes6	55927
ENSMUSG00000014602	turquoise	397	290	281	383	400	291	814	792	799	868	817	1201	911	1133	1194	Kif1a	16560
ENSMUSG00000026285	turquoise	39	35	22	24	35	45	78	84	63	36	36	108	115	121	106	Pdcd1	18566
ENSMUSG00000040710	turquoise	1014	854	724	1620	1167	1267	2414	1207	1611	1693	1361	1683	1613	1503	2025	St8sia4	20452
ENSMUSG00000047496	turquoise	69	61	44	88	58	63	151	86	108	108	157	141	133	152	191	Rnf152	320311
ENSMUSG00000026321	turquoise	186	144	182	210	226	158	309	213	235	274	274	363	300	362	344	Tnfrsf11a	21934
ENSMUSG00000037035	turquoise	815	751	1406	1225	1185	1173	2910	2316	2022	941	897	1827	2379	1299	2287	Inhbb	16324
ENSMUSG00000026384	turquoise	929	770	636	1380	1025	1078	2281	1090	1662	1461	1271	1315	1560	1451	2198	Ptpn4	19258
ENSMUSG00000050777	turquoise	345	377	569	706	561	394	971	657	662	594	684	755	821	795	759	Tmem37	170706
ENSMUSG00000026389	turquoise	1296	1004	1049	1639	1300	1506	2845	1641	2316	1995	1934	2121	2432	2374	2972	Steap3	68428
ENSMUSG00000026390	turquoise	445	251	506	431	383	354	1095	567	429	490	737	980	659	997	1089	Marco	17167
ENSMUSG00000036086	turquoise	141	100	101	107	154	145	194	485	255	397	398	687	399	786	426	Zranb3	226409
ENSMUSG00000026405	turquoise	2	3	18	6	12	4	7	24	15	36	27	22	25	35	41	C4bp	12269
ENSMUSG00000042510	turquoise	2346	1977	1996	1940	2046	2071	4096	2849	3683	1602	2394	2497	3806	3501	3716	AA986860	212439
ENSMUSG00000052688	turquoise	288	257	219	281	289	347	543	549	557	560	511	729	621	698	726	Rab7b	226421
ENSMUSG00000042115	turquoise	238	202	273	288	213	207	454	415	355	333	322	477	498	353	390	Klhdc8a	213417
ENSMUSG00000041757	turquoise	1256	1118	827	1636	1819	1455	2608	1502	1886	1684	1668	1615	1933	1674	2452	Plekha6	240753
ENSMUSG00000051998	turquoise	75	102	77	174	119	140	366	272	196	216	192	172	178	118	343	Lax1	240754
ENSMUSG00000041559	turquoise	432	350	331	342	348	370	589	731	576	534	568	774	788	693	624	Fmod	14264
ENSMUSG00000042429	turquoise	155	157	241	335	382	168	415	231	362	242	277	416	332	336	339	Adora1	11539
ENSMUSG00000073557	turquoise	2399	2030	1430	2628	2213	2478	4654	2906	3932	2496	2614	2739	3909	3324	4831	Ppp1r12b	329251
ENSMUSG00000097993	turquoise	54	53	44	83	72	69	190	115	142	124	145	162	158	140	201	Ptprv	13924
ENSMUSG00000031506	turquoise	172	157	181	228	178	225	381	324	306	297	309	351	339	364	372	Ptpn7	320139
ENSMUSG00000041801	turquoise	1223	995	1084	967	910	977	1948	1981	2361	1710	1629	1777	2773	2210	2984	Phlda3	27280
ENSMUSG00000026398	turquoise	19	26	40	70	45	48	72	106	45	123	106	166	97	229	169	Nr5a2	26424
ENSMUSG00000033849	turquoise	81	41	19	68	25	59	107	75	134	65	41	80	137	53	152	B3galt2	26878
ENSMUSG00000026360	turquoise	867	715	922	1510	1001	870	1595	1062	1135	1825	1582	1630	1293	1546	1628	Rgs2	19735
ENSMUSG00000026358	turquoise	46	43	43	94	61	88	180	260	125	257	217	425	196	318	211	Rgs1	50778
ENSMUSG00000026480	turquoise	648	509	748	781	712	693	1379	912	905	989	938	945	1106	1417	1103	Ncf2	17970
ENSMUSG00000026478	turquoise	5839	5009	4155	5769	4894	4487	9999	7132	7909	6121	6858	7184	9334	8938	11019	Lamc1	226519
ENSMUSG00000026475	turquoise	69	77	74	75	122	93	175	192	119	218	200	333	219	235	437	Rgs16	19734
ENSMUSG00000026471	turquoise	698	681	655	1123	838	947	1759	1022	1329	1144	1071	1209	1325	1285	1548	Mr1	15064
ENSMUSG00000026600	turquoise	2710	2539	2525	3033	3445	2332	4456	3257	3625	3160	3018	4197	4166	4894	4852	Soat1	20652
ENSMUSG00000073530	turquoise	67	48	33	51	33	56	135	281	266	321	260	456	226	387	401	Pappa2	23850
ENSMUSG00000040265	turquoise	230	222	243	289	276	222	542	361	403	428	460	409	500	518	652	Dnm3	103967
ENSMUSG00000026586	turquoise	338	289	225	376	278	407	653	421	651	463	436	594	585	566	790	Prrx1	18933
ENSMUSG00000026582	turquoise	30	31	24	19	12	22	47	140	51	111	111	226	94	223	267	Sele	20339
ENSMUSG00000026580	turquoise	67	62	65	74	54	61	140	201	110	181	158	373	231	222	307	Selp	20344
ENSMUSG00000026574	turquoise	2729	2339	2264	2532	2124	2638	4566	3343	4185	2987	2903	2759	4943	3846	5181	Dpt	56429
ENSMUSG00000040713	turquoise	2727	2125	2466	2867	2508	2485	4967	3897	3869	3550	3598	4009	4692	5248	4547	Creg1	433375
ENSMUSG00000040612	turquoise	332	278	211	318	314	323	686	1029	915	1030	902	1186	856	1080	1057	Ildr2	100039795
ENSMUSG00000026678	turquoise	373	467	449	594	687	636	1026	1014	1689	1006	1208	2203	1105	1690	1843	Rgs5	19737
ENSMUSG00000026675	turquoise	198	234	209	244	219	215	458	379	348	369	319	408	584	448	463	Hsd17b7	15490
ENSMUSG00000026656	turquoise	436	273	235	305	325	349	766	819	791	723	644	825	975	860	1175	Fcgr2b	14130
ENSMUSG00000059089	turquoise	124	82	126	157	126	136	222	226	161	210	203	379	216	461	267	Fcgr4	246256
ENSMUSG00000059498	turquoise	576	505	620	525	570	525	959	1092	984	951	855	1212	1254	1531	1343	Fcgr3	14131
ENSMUSG00000038370	turquoise	1238	1034	1247	1358	1168	1166	2632	1527	2092	1659	1622	1738	2618	1990	2898	Pcp4l1	66425
ENSMUSG00000058715	turquoise	515	360	495	416	504	470	904	824	636	837	776	798	935	1136	975	Fcer1g	14127
ENSMUSG00000006403	turquoise	63	35	35	33	59	14	33	127	71	60	74	104	145	115	88	Adamts4	240913
ENSMUSG00000038209	turquoise	53	55	50	72	78	98	131	240	359	294	298	217	665	188	529	Itln1	16429
ENSMUSG00000004707	turquoise	145	133	127	194	177	190	341	325	219	350	319	402	294	429	364	Ly9	17085
ENSMUSG00000038179	turquoise	114	111	76	149	104	132	266	287	268	289	272	311	255	279	306	Slamf7	75345
ENSMUSG00000038147	turquoise	732	556	681	915	905	863	1651	1412	1139	1597	1596	1633	1614	2408	1790	Cd84	12523
ENSMUSG00000044708	turquoise	24	41	29	34	22	47	60	89	70	67	88	103	83	88	122	Kcnj10	16513
ENSMUSG00000005339	turquoise	14	11	11	6	10	5	42	112	64	104	112	75	84	136	140	Fcer1a	14125
ENSMUSG00000037872	turquoise	9	7	6	16	8	18	29	33	21	38	50	61	34	62	42	Ackr1	13349
ENSMUSG00000037860	turquoise	139	121	100	224	178	182	293	216	160	236	234	252	189	228	269	Aim2	383619
ENSMUSG00000073490	turquoise	200	123	116	189	153	139	333	244	233	281	284	349	272	310	381	Ifi207	226691
ENSMUSG00000026535	turquoise	169	90	125	145	89	98	223	221	223	233	224	248	259	269	348	Ifi202b	26388
ENSMUSG00000038776	turquoise	3095	2472	2750	3690	3535	3587	7102	4353	5486	4401	4325	4524	5871	4996	7712	Ephx1	13849
