"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000025931","yellow",1015,1030,981,1183,1624,896,1405,838,1186,869,788,1033,1272,1044,1302,"Paqr8","74229"
"ENSMUSG00000064294","yellow",3507,3315,3220,4223,4186,2986,6197,2201,3406,2290,2442,2916,3386,2947,3488,"Aox3","71724"
"ENSMUSG00000026175","yellow",7,17,36,35,139,8,33,13,29,24,26,22,31,21,39,"Vil1","22349"
"ENSMUSG00000026380","yellow",1002,838,871,985,1302,836,1360,553,806,493,651,737,924,831,777,"Tfcp2l1","81879"
"ENSMUSG00000042268","yellow",957,1249,1526,1734,2474,820,1443,727,1233,789,853,1169,1159,1012,1078,"Slc26a9","320718"
"ENSMUSG00000041782","yellow",167,161,252,261,342,293,315,158,173,144,165,165,223,169,233,"Lad1","16763"
"ENSMUSG00000016262","yellow",119,183,220,268,429,108,185,103,209,92,99,161,178,179,213,"Sertad4","214791"
"ENSMUSG00000037254","yellow",168,194,291,324,463,143,281,180,279,148,150,159,241,160,266,"Itih2","16425"
"ENSMUSG00000001864","yellow",91,110,204,205,326,151,181,111,187,99,107,140,151,127,173,"Aif1l","108897"
"ENSMUSG00000027030","yellow",434,575,840,678,1308,381,592,357,588,389,314,371,568,424,635,"Stk39","53416"
"ENSMUSG00000027186","yellow",331,412,455,595,703,384,654,296,405,318,329,296,361,323,424,"Elf5","13711"
"ENSMUSG00000000308","yellow",442,537,903,766,1185,455,817,589,700,559,485,560,845,683,758,"Ckmt1","12716"
"ENSMUSG00000016024","yellow",800,906,1202,1238,1407,812,1567,1236,1241,918,1007,1064,1548,1153,1480,"Lbp","16803"
"ENSMUSG00000017950","yellow",1,7,24,20,146,0,12,6,19,9,5,8,4,2,2,"Hnf4a","15378"
"ENSMUSG00000047797","yellow",104,127,272,127,263,71,100,97,131,85,76,95,136,98,93,"Gjb1","14618"
"ENSMUSG00000042750","yellow",208,282,402,368,608,235,319,56,166,28,37,32,92,40,111,"Bex2","12069"
"ENSMUSG00000047844","yellow",307,309,518,437,613,258,408,88,221,71,52,46,140,67,184,"Bex4","406217"
"ENSMUSG00000047230","yellow",14,108,268,336,616,9,57,70,124,63,57,69,109,68,61,"Cldn2","12738"
